ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level,firmware_version,protocol
192.168.175.44,Prot-1087,49:49:5D:15:36:16,Protocol_Converter,Generic,Unknown,true,true,false,true,true,Basic,2,0,2025-11-03,66,v4.5.2,BACnet
192.168.65.166,DEVICE-192-168-65-166,E:56:16:4B:15:5A,Smart_Transmitter,Siemens,Smart_Transmitter-540,true,true,false,false,true,Role-Based,2,0,2025-11-06,91,R4.03,Unknown
192.168.18.117,RTU-170,47:5F:5B:52:2F:F,RTU,Honeywell,Model-4239,true,true,true,true,true,Basic,3,0,2025-11-09,95,v1.2.3,Proprietary
192.168.20.137,Anal-1512,5E:60:29:44:23:B,Analyzer,ABB,Analyzer-226,true,true,false,false,true,Role-Based,2,0,2025-11-10,97,v14.3,BACnet
192.168.161.49,,23:53:1E:62:63:44,HMI,Yokogawa,Model-2239,true,true,false,true,true,Basic,1,0,2025-11-05,76,v2.8.1,Proprietary
192.168.51.76,DEV-594,37:D:58:2B:2B:4A,Historian,Honeywell,Model-2822,true,true,false,true,true,Role-Based,1,0,2025-11-08,78,v2.8.1,Profinet
192.168.224.211,VFD-1307,4A:33:45:30:2B:48,VFD,Rosemount,VFD-617,true,true,false,false,false,Role-Based,1,0,2025-11-08,93,v4.5.2,Modbus TCP
192.168.58.30,DEVICE-192-168-58-30,3D:60:57:1D:E:C,Switch,Siemens,Switch-174,true,true,false,false,true,Role-Based,3,1,2025-11-04,63,v3.1.0,Modbus TCP
192.168.143.234,DEV-485,27:1C:26:37:16:1E,Historian,Generic,Unknown,true,true,true,false,false,Role-Based,1,0,2025-11-06,93,v5.0,Proprietary
192.168.64.69,VFD-1306,48:26:38:22:4B:1A,VFD,Emerson,VFD-864,true,true,false,false,false,Basic,2,1,2025-11-08,78,v20.19,HART-IP
192.168.16.172,,35:2C:2A:3D:61:2D,Historian,ABB,Model-2909,true,true,false,true,true,Basic,2,1,2025-11-05,60,v4.5.2,Profinet
192.168.85.60,DEV-107,15:10:49:31:2E:F,Historian,Allen-Bradley,Model-8821,true,true,false,true,true,Role-Based,2,1,2025-11-09,92,v5.0,Profinet
192.168.235.78,DEVICE-192-168-235-78,57:1F:37:11:26:46,Gateway,Schneider,Gateway-316,true,true,false,false,true,Role-Based,3,1,2025-11-03,67,v4.5.2,BACnet
192.168.250.246,DEVICE-192-168-250-246,B:22:58:33:58:17,Safety_Controller,Schneider,Safety_Controller-987,true,true,false,false,true,Role-Based,3,0,2025-11-07,97,R4.03,BACnet
192.168.51.137,DEVICE-192-168-51-137,10:32:2E:27:10:47,Switch,ABB,Switch-808,true,true,true,false,true,Role-Based,2,0,2025-11-10,78,Unknown,BACnet
192.168.100.156,,4C:F:29:5C:47:2A,Analyzer,Rosemount,Analyzer-381,true,true,false,true,true,Basic,3,1,2025-11-03,76,v2.8.3,HART-IP
192.168.117.88,RTU-474,26:19:33:59:10:3F,RTU,Unknown,Unknown,true,true,true,true,true,Role-Based,2,1,2025-11-10,92,R4.03,Profinet
192.168.177.61,DCS-144,42:44:1F:54:23:61,DCS,Emerson,Model-3125,true,true,false,true,true,Role-Based,2,1,2025-11-10,66,v4.5.2,Modbus TCP
192.168.154.211,Swit-1060,39:2D:E:18:42:3D,Switch,Schneider,Switch-661,false,false,false,false,true,None,4,0,2025-11-10,89,v21.11,Modbus TCP
192.168.211.245,DEV-560,58:52:35:16:A:1A,Engineering_Workstation,GE,Model-3681,true,true,false,true,false,Role-Based,3,0,2025-11-08,60,Unknown,Proprietary
192.168.140.221,DEVICE-192-168-140-221,4F:23:54:40:55:1A,HMI,Generic,Unknown,true,true,false,true,true,Role-Based,1,0,2025-11-03,66,v21.11,Profinet
192.168.175.76,,12:43:15:4E:21:24,Analyzer,ABB,Analyzer-402,true,true,false,false,false,Basic,0,0,2025-11-03,96,R511.5,BACnet
192.168.31.109,,2D:2A:5F:3A:16:21,HMI,Unknown,Unknown,true,true,false,false,true,Basic,1,0,2025-11-04,92,v14.3,Modbus TCP
192.168.88.79,DEVICE-192-168-88-79,D:A:5D:48:1C:42,Safety_Controller,Endress+Hauser,Safety_Controller-831,true,true,false,true,true,Basic,2,0,2025-11-09,60,v2.8.3,BACnet
192.168.152.238,DEVICE-192-168-152-238,14:42:41:22:2A:5C,Smart_Transmitter,Siemens,Smart_Transmitter-622,false,false,false,true,true,None,9,0,2025-11-07,89,v16.0,Modbus TCP
192.168.248.184,RTU-039,48:1C:5E:24:4B:26,RTU,Honeywell,Model-9588,true,true,false,false,true,Role-Based,0,0,2025-11-09,85,v5.0,Profinet
192.168.84.156,Prot-1813,34:4B:4B:20:38:2B,Protocol_Converter,ABB,Protocol_Converter-555,true,true,false,false,false,Role-Based,1,0,2025-11-08,96,v2.8.1,Modbus TCP
192.168.137.143,DEV-009,5A:36:25:C:4B:20,Engineering_Workstation,GE,Model-9657,true,true,false,true,true,Basic,1,0,2025-11-10,84,Unknown,EtherNet/IP
192.168.198.153,PLC-468,25:57:47:E:4A:28,PLC,Honeywell,Model-6941,true,true,true,true,true,Basic,2,0,2025-11-08,68,R4.03,Modbus TCP
192.168.177.213,DEV-011,36:27:2D:5E:33:22,Engineering_Workstation,Generic,Unknown,true,true,true,true,false,Role-Based,3,0,2025-11-08,65,R511.5,EtherNet/IP
192.168.66.157,VFD-1838,1C:15:2C:4E:2A:2E,VFD,ABB,VFD-363,true,true,false,false,true,Role-Based,0,0,2025-11-06,95,v2.8.1,Modbus TCP
192.168.82.185,DEV-382,1C:45:12:14:2A:16,Controller,Generic,Unknown,true,true,true,false,true,Basic,3,1,2025-11-05,72,v20.19,Modbus TCP
192.168.164.215,DEVICE-192-168-164-215,40:B:3F:55:5B:49,HMI,Schneider,Model-5867,true,true,false,true,true,Role-Based,0,0,2025-11-10,71,R4.03,EtherNet/IP
192.168.77.56,Safe-1837,21:13:59:40:58:31,Safety_Controller,Siemens,Safety_Controller-326,true,true,false,false,true,Role-Based,2,1,2025-11-07,70,v16.0,Modbus TCP
192.168.21.243,,4D:57:48:11:14:14,VFD,Rosemount,VFD-416,false,false,false,false,true,None,3,1,2025-11-05,94,v20.19,BACnet
192.168.226.93,DEVICE-192-168-226-93,5A:40:3A:D:22:15,Engineering_Workstation,Allen-Bradley,Model-8600,true,true,false,true,true,Basic,2,0,2025-11-10,100,v14.3,Proprietary
192.168.79.163,HMI-487,49:1F:C:27:51:38,HMI,Emerson,Model-3801,true,true,false,true,true,Role-Based,3,0,2025-11-04,71,v2.8.1,EtherNet/IP
192.168.205.229,DCS-201,3C:3A:52:32:5E:3F,DCS,Generic,Unknown,true,true,true,true,false,Role-Based,3,0,2025-11-05,78,v3.1.0,Proprietary
192.168.80.44,DEVICE-192-168-80-44,18:30:3E:39:2E:4E,DCS,Schneider,Model-6250,true,true,false,true,true,Basic,1,0,2025-11-04,65,v5.0,Proprietary
192.168.164.180,DEVICE-192-168-164-180,26:38:59:54:14:3A,RTU,ABB,Model-9163,true,true,true,true,false,Role-Based,1,0,2025-11-05,93,v14.3,Modbus TCP
192.168.232.96,DEV-557,36:26:5E:16:29:1F,SCADA,Honeywell,Model-9785,true,true,false,true,true,Role-Based,0,0,2025-11-06,100,v20.19,EtherNet/IP
192.168.58.11,DEV-565,2D:23:1B:12:51:48,Historian,Emerson,Model-7662,true,true,false,false,true,Role-Based,3,1,2025-11-07,87,v4.5.2,Modbus TCP
192.168.221.96,DEV-337,3E:39:1A:19:27:34,Engineering_Workstation,Allen-Bradley,Model-8391,true,true,false,true,true,Role-Based,1,0,2025-11-03,64,v5.0,Modbus TCP
192.168.176.216,DEV-380,52:41:46:A:22:A,Server,GE,Model-4705,true,true,false,true,true,Basic,1,0,2025-11-07,79,v2.8.1,EtherNet/IP
192.168.248.240,DEV-507,52:2A:17:36:42:18,Controller,ABB,Model-9135,true,true,false,true,true,Basic,1,0,2025-11-06,99,v2.8.3,EtherNet/IP
192.168.158.160,IP_C-0950,37:4E:1B:C:21:36,IP_Camera,ABB,IP_Camera-723,true,true,false,true,true,Basic,2,1,2025-11-08,90,v4.5.2,BACnet
192.168.63.140,,5F:F:10:18:36:4F,HMI,Yokogawa,Model-6709,true,true,true,true,false,Role-Based,1,0,2025-11-07,67,v2.8.3,Modbus TCP
192.168.181.23,,25:25:57:43:48:2F,IP_Camera,ABB,IP_Camera-527,true,true,false,true,true,Role-Based,2,0,2025-11-03,76,v16.0,Unknown
192.168.70.113,Swit-1790,2F:10:12:62:1A:59,Switch,ABB,Switch-948,true,true,false,false,true,Basic,2,0,2025-11-05,68,v20.19,Unknown
192.168.174.204,DEVICE-192-168-174-204,D:1E:27:49:39:63,Server,Schneider,Model-5882,true,true,false,true,true,Role-Based,3,1,2025-11-04,90,v14.3,EtherNet/IP
192.168.103.138,DEVICE-192-168-103-138,5A:41:61:34:15:27,Gateway,Rosemount,Gateway-250,true,true,false,true,true,Basic,0,0,2025-11-10,83,v2.8.3,HART-IP
192.168.75.236,DEVICE-192-168-75-236,10:C:58:32:54:3F,Smart_Transmitter,Schneider,Smart_Transmitter-234,true,true,false,false,false,Basic,3,1,2025-11-03,93,v4.5.2,Modbus TCP
192.168.162.212,DEV-268,47:49:B:4D:B:A,Server,Siemens,Model-6013,true,true,true,true,true,Role-Based,1,0,2025-11-09,66,Unknown,Profinet
192.168.114.59,DEVICE-192-168-114-59,33:13:5D:E:20:1B,Switch,Emerson,Switch-376,true,true,false,true,true,Basic,3,1,2025-11-09,100,v16.0,Unknown
192.168.44.134,Safe-1499,29:44:34:31:4E:A,Safety_Controller,Siemens,Safety_Controller-150,false,false,true,false,true,None,9,0,2025-11-08,81,v20.19,Modbus TCP
192.168.25.24,Anal-1836,21:22:4C:32:1C:1F,Analyzer,Emerson,Analyzer-357,true,true,false,true,true,Role-Based,2,0,2025-11-06,74,v20.19,BACnet
192.168.204.188,,15:37:1E:26:39:1E,Gateway,Schneider,Gateway-238,true,true,false,false,false,Role-Based,2,1,2025-11-06,67,v2.8.1,BACnet
192.168.89.138,PLC-157,20:4B:55:4A:44:56,PLC,Generic,Unknown,true,true,true,true,false,Role-Based,0,0,2025-11-08,87,v16.0,EtherNet/IP
192.168.229.102,DEV-440,2B:53:43:31:A:10,Historian,GE,Model-1775,true,true,false,true,false,Role-Based,0,0,2025-11-08,95,v21.11,EtherNet/IP
192.168.229.69,DEV-532,59:20:3D:2E:37:3E,Engineering_Workstation,ABB,Model-2754,true,true,true,true,true,Role-Based,3,0,2025-11-04,96,Unknown,Proprietary
192.168.32.87,Gate-1224,40:26:1F:15:47:1B,Gateway,Endress+Hauser,Gateway-258,true,true,false,false,true,Role-Based,0,0,2025-11-08,78,v2.8.1,Modbus TCP
192.168.83.62,PLC-478,5C:57:5B:1B:56:3E,PLC,Emerson,Model-5495,true,true,false,true,true,Role-Based,0,0,2025-11-06,92,v4.5.2,EtherNet/IP
192.168.64.156,DEV-486,27:A:57:4B:5A:33,SCADA,GE,Model-3012,true,true,true,true,true,Role-Based,3,1,2025-11-07,90,Unknown,EtherNet/IP
192.168.129.11,DEV-496,55:48:4B:1A:24:C,Engineering_Workstation,Siemens,Model-5980,true,true,true,true,true,Basic,3,0,2025-11-06,82,R4.03,Proprietary
192.168.227.64,Safe-0607,63:3B:15:2A:1B:34,Safety_Controller,Rosemount,Safety_Controller-597,true,true,false,false,false,Role-Based,0,0,2025-11-06,71,v16.0,Modbus TCP
192.168.191.222,DEVICE-192-168-191-222,37:4E:1E:3D:42:1B,Switch,Schneider,Switch-804,true,true,true,false,true,Basic,1,0,2025-11-10,82,v3.1.0,BACnet
192.168.37.137,Smar-1408,5B:47:45:54:4D:2C,Smart_Transmitter,Siemens,Smart_Transmitter-143,false,false,false,false,false,None,8,1,2025-11-03,87,v16.0,BACnet
192.168.123.214,DEVICE-192-168-123-214,63:14:27:20:19:3B,DCS,Emerson,Model-7007,true,true,true,true,false,Role-Based,0,0,2025-11-04,94,Unknown,EtherNet/IP
192.168.63.216,DEVICE-192-168-63-216,2B:58:5A:A:2A:24,Analyzer,ABB,Analyzer-859,true,true,false,false,false,Role-Based,1,0,2025-11-07,84,v1.2.3,HART-IP
192.168.250.201,DEVICE-192-168-250-201,25:E:11:32:4C:1E,Switch,Rosemount,Switch-439,false,false,false,false,true,None,3,0,2025-11-07,76,v5.0,BACnet
192.168.77.107,Smar-1008,33:16:45:3A:48:51,Smart_Transmitter,Unknown,Unknown,true,true,false,false,true,Basic,2,0,2025-11-10,78,v2.8.3,BACnet
192.168.115.222,Gate-1329,19:1E:36:5E:4B:41,Gateway,Rosemount,Gateway-895,true,true,false,false,true,Basic,2,0,2025-11-08,98,R511.5,Modbus TCP
192.168.189.14,RTU-493,4F:13:4A:A:2B:1E,RTU,Yokogawa,Model-4696,false,false,false,true,false,None,11,5,2025-11-05,70,v2.8.3,Profinet
192.168.80.39,DEVICE-192-168-80-39,1C:2F:52:59:2F:27,Switch,Endress+Hauser,Switch-690,true,true,false,false,true,Role-Based,1,0,2025-11-09,79,v1.2.3,BACnet
192.168.86.249,DEVICE-192-168-86-249,18:13:16:3A:16:1A,Historian,Siemens,Model-8225,true,true,false,true,true,Basic,1,0,2025-11-06,79,v20.19,Profinet
192.168.87.124,Smar-1797,49:59:E:19:59:47,Smart_Transmitter,Emerson,Smart_Transmitter-260,true,true,false,false,true,Basic,0,0,2025-11-04,74,v5.0,BACnet
192.168.216.40,DEVICE-192-168-216-40,25:2D:40:1C:5C:E,Gateway,Yokogawa,Gateway-536,true,true,false,false,false,Role-Based,1,0,2025-11-05,93,v4.5.2,BACnet
192.168.88.75,DEVICE-192-168-88-75,C:3F:58:4D:48:2D,Switch,Unknown,Unknown,true,true,false,true,true,Role-Based,3,0,2025-11-10,85,v14.3,Unknown
192.168.50.244,DEVICE-192-168-50-244,38:51:10:2D:4C:5D,Controller,Yokogawa,Model-8687,true,true,true,true,true,Basic,1,0,2025-11-08,67,v16.0,Profinet
192.168.101.239,Safe-1774,48:39:4A:1D:1F:2E,Safety_Controller,Generic,Unknown,true,false,false,false,false,Role-Based,0,0,2025-11-04,91,Unknown,BACnet
192.168.76.240,DEV-058,29:24:56:34:15:4A,Engineering_Workstation,ABB,Model-2511,true,true,true,false,false,Basic,0,0,2025-11-07,66,v4.5.2,EtherNet/IP
192.168.75.198,IP_C-1903,40:13:32:28:49:32,IP_Camera,Schneider,IP_Camera-906,false,false,false,true,true,None,10,0,2025-11-07,100,v5.0,Modbus TCP
192.168.68.22,DEVICE-192-168-68-22,43:38:40:48:21:54,VFD,Siemens,VFD-555,false,false,false,false,true,None,5,2,2025-11-10,61,R4.03,Modbus TCP
192.168.221.94,Smar-1851,1D:57:39:10:35:1E,Smart_Transmitter,Yokogawa,Smart_Transmitter-380,true,false,false,false,false,Basic,0,0,2025-11-06,67,R511.5,BACnet
192.168.212.22,Prot-0938,27:2A:45:30:2A:47,Protocol_Converter,Rosemount,Protocol_Converter-796,false,false,false,false,true,None,9,0,2025-11-07,81,Unknown,BACnet
192.168.188.42,DEVICE-192-168-188-42,27:56:32:1A:51:49,Analyzer,Emerson,Analyzer-997,true,true,false,false,false,Role-Based,0,0,2025-11-10,85,R511.5,Unknown
192.168.209.192,DEV-386,61:52:33:5F:B:16,Historian,Emerson,Model-4651,true,true,false,false,true,Basic,0,0,2025-11-09,63,R4.03,Profinet
192.168.139.42,DEVICE-192-168-139-42,2A:12:E:19:46:41,Protocol_Converter,Endress+Hauser,Protocol_Converter-621,true,true,true,true,true,Role-Based,2,1,2025-11-09,100,R511.5,Modbus TCP
192.168.70.137,,F:63:39:26:2B:2C,DCS,Honeywell,Model-3363,false,false,false,false,false,None,7,3,2025-11-07,60,v2.8.3,Proprietary
192.168.195.41,,1C:62:33:49:4B:59,Safety_Controller,Endress+Hauser,Safety_Controller-584,true,true,false,false,false,Basic,0,0,2025-11-03,62,v3.1.0,Unknown
192.168.126.115,Anal-1828,56:1D:45:39:2B:48,Analyzer,Schneider,Analyzer-134,true,true,false,true,true,Role-Based,1,0,2025-11-03,67,v14.3,HART-IP
192.168.14.105,DEV-024,2D:22:32:39:15:39,Controller,GE,Model-8596,true,true,true,false,true,Basic,1,0,2025-11-09,69,v2.8.1,Modbus TCP
192.168.98.242,VFD-1991,25:12:4C:35:39:61,VFD,Schneider,VFD-477,true,true,false,false,true,Role-Based,2,0,2025-11-08,98,R511.5,HART-IP
192.168.64.195,DEVICE-192-168-64-195,4F:3F:4F:27:22:5A,Analyzer,Yokogawa,Analyzer-343,true,true,false,false,false,Role-Based,1,0,2025-11-09,76,v1.2.3,HART-IP
192.168.72.89,Gate-1793,46:10:E:62:5D:25,Gateway,Siemens,Gateway-334,true,true,false,false,true,Basic,3,0,2025-11-05,86,v3.1.0,Modbus TCP
192.168.154.62,VFD-0916,15:5D:5C:12:12:2A,VFD,Siemens,VFD-686,true,true,false,false,false,Basic,1,0,2025-11-06,78,v14.3,Modbus TCP
192.168.236.45,Swit-4166,27:54:46:3E:42:49,Switch,Yokogawa,Switch-501,true,true,false,false,true,Basic,1,0,2025-11-05,60,v4.5.2,BACnet
192.168.90.112,,63:4B:2D:40:F:37,Protocol_Converter,Unknown,Unknown,false,false,false,false,true,None,12,6,2025-11-07,67,v2.8.1,HART-IP
192.168.208.72,DEVICE-192-168-208-72,5A:34:59:1D:24:48,Controller,Yokogawa,Model-9521,true,true,true,true,true,Role-Based,2,0,2025-11-05,76,v4.5.2,Proprietary
192.168.161.40,DEVICE-192-168-161-40,C:45:34:22:16:43,Switch,Endress+Hauser,Switch-624,true,true,false,false,true,Role-Based,0,0,2025-11-04,67,v16.0,BACnet
192.168.249.229,DEVICE-192-168-249-229,B:27:3C:31:24:39,Gateway,Yokogawa,Gateway-894,true,true,false,false,true,Basic,0,0,2025-11-08,88,v2.8.1,BACnet
192.168.232.162,DEV-331,43:1D:1D:56:2F:41,Controller,Allen-Bradley,Model-4773,true,true,true,true,true,Role-Based,3,0,2025-11-08,65,v3.1.0,EtherNet/IP
192.168.170.79,,56:40:F:46:4F:E,IP_Camera,ABB,IP_Camera-679,true,true,false,false,true,Role-Based,0,0,2025-11-10,67,v14.3,BACnet
192.168.160.104,DEVICE-192-168-160-104,26:46:3C:3E:C:F,DCS,Honeywell,Model-3673,true,true,false,true,false,Basic,3,1,2025-11-05,83,v5.0,Modbus TCP
192.168.68.59,Gate-2144,21:51:22:61:4F:50,Gateway,Schneider,Gateway-966,true,true,false,false,true,Basic,2,0,2025-11-07,60,v2.8.1,Unknown
192.168.107.84,,54:F:2A:4C:29:36,IP_Camera,Schneider,IP_Camera-817,false,false,false,true,false,None,8,1,2025-11-09,100,v2.8.1,HART-IP
192.168.239.236,Prot-2143,2D:E:1B:11:3C:4A,Protocol_Converter,Endress+Hauser,Protocol_Converter-760,true,true,true,true,true,Basic,2,0,2025-11-10,64,v3.1.0,BACnet
192.168.21.97,,3F:4F:2C:55:58:15,Engineering_Workstation,Emerson,Model-8544,true,true,false,true,true,Basic,0,0,2025-11-08,76,v20.19,Profinet
192.168.68.181,DEVICE-192-168-68-181,D:53:5B:28:10:27,Smart_Transmitter,Rosemount,Smart_Transmitter-216,true,true,false,true,true,Basic,2,1,2025-11-04,74,v16.0,HART-IP
192.168.108.29,Swit-1877,10:3D:62:17:19:E,Switch,ABB,Switch-766,true,true,false,false,false,Basic,2,0,2025-11-05,82,R4.03,Unknown
192.168.210.170,VFD-2166,48:4D:50:19:D:1F,VFD,ABB,VFD-386,true,true,false,false,false,Basic,3,0,2025-11-05,70,Unknown,Modbus TCP
192.168.176.102,DEVICE-192-168-176-102,5D:2B:55:53:5D:A,DCS,Siemens,Model-8017,true,true,false,true,true,Basic,2,1,2025-11-03,65,v21.11,EtherNet/IP
192.168.108.102,VFD-1880,1B:4C:40:2B:3B:5E,VFD,Unknown,Unknown,false,false,false,false,false,None,10,1,2025-11-04,82,R4.03,HART-IP
192.168.10.25,IP_C-2941,11:37:3A:60:47:61,IP_Camera,Emerson,IP_Camera-373,true,true,false,false,false,Role-Based,3,0,2025-11-03,83,v16.0,Modbus TCP
192.168.139.214,Anal-3039,33:17:60:29:2B:44,Analyzer,Yokogawa,Analyzer-509,true,true,false,false,true,Role-Based,3,0,2025-11-03,78,v20.19,Modbus TCP
192.168.156.29,HMI-102,39:2F:16:62:1A:48,HMI,Honeywell,Model-6305,true,false,false,true,true,Basic,0,0,2025-11-04,73,v21.11,EtherNet/IP
192.168.177.126,,5D:41:15:1B:2C:41,Gateway,Schneider,Gateway-994,false,false,true,false,false,None,3,1,2025-11-05,93,v16.0,HART-IP
192.168.250.171,DEVICE-192-168-250-171,35:5C:60:45:2D:5E,Server,Allen-Bradley,Model-2328,true,true,false,true,false,Role-Based,0,0,2025-11-10,70,v3.1.0,Modbus TCP
192.168.126.162,,51:2C:60:5D:63:53,VFD,ABB,VFD-597,true,true,false,true,true,Basic,3,1,2025-11-09,94,v21.11,HART-IP
192.168.214.237,Prot-3148,50:36:63:53:4C:62,Protocol_Converter,Generic,Unknown,true,true,false,false,true,Role-Based,1,0,2025-11-07,80,v1.2.3,Unknown
192.168.203.78,DEVICE-192-168-203-78,49:18:29:35:3A:3D,Analyzer,Yokogawa,Analyzer-314,true,true,false,true,true,Basic,0,0,2025-11-08,82,Unknown,Modbus TCP
192.168.92.133,DEV-320,A:13:37:34:37:A,Historian,Generic,Unknown,true,true,true,true,true,Role-Based,1,0,2025-11-05,89,v3.1.0,Profinet
192.168.137.161,,33:5C:57:13:B:39,Analyzer,ABB,Analyzer-751,true,false,false,true,true,Role-Based,2,0,2025-11-07,71,v5.0,BACnet
192.168.22.114,IP_C-0829,44:19:12:11:52:32,IP_Camera,Yokogawa,IP_Camera-197,true,true,false,true,false,Role-Based,1,0,2025-11-03,71,v1.2.3,Modbus TCP
192.168.119.95,Anal-2966,5B:12:60:1D:2C:4F,Analyzer,Schneider,Analyzer-492,true,true,false,false,true,Role-Based,1,0,2025-11-06,65,v16.0,BACnet
192.168.18.221,,35:26:5B:21:5A:54,Smart_Transmitter,Unknown,Unknown,true,true,false,false,false,Basic,1,0,2025-11-05,75,v21.11,Unknown
192.168.173.31,VFD-3176,3A:1E:4D:4F:63:3E,VFD,ABB,VFD-301,true,true,false,false,true,Role-Based,3,1,2025-11-10,89,v1.2.3,Modbus TCP
192.168.133.222,Safe-1355,47:39:5D:1B:4C:48,Safety_Controller,Unknown,Unknown,false,false,false,false,true,None,7,4,2025-11-04,82,Unknown,Modbus TCP
192.168.90.25,DEVICE-192-168-90-25,3F:15:1E:36:41:C,Server,Siemens,Model-8593,true,true,false,true,false,Basic,1,0,2025-11-06,74,R511.5,Proprietary
192.168.48.32,DEV-185,21:13:1E:12:37:3B,Historian,GE,Model-4961,true,true,true,true,false,Role-Based,3,1,2025-11-09,62,v4.5.2,EtherNet/IP
192.168.149.245,,2D:1B:1C:5A:53:2D,IP_Camera,Endress+Hauser,IP_Camera-148,true,true,false,true,true,Role-Based,1,0,2025-11-07,73,R511.5,Modbus TCP
192.168.80.201,DEVICE-192-168-80-201,22:1C:63:63:4D:59,Safety_Controller,Endress+Hauser,Safety_Controller-395,true,true,false,true,true,Role-Based,1,0,2025-11-08,77,v4.5.2,Modbus TCP
192.168.184.198,DEV-167,43:2E:42:21:16:27,SCADA,Siemens,Model-5817,true,true,true,true,false,Role-Based,3,1,2025-11-08,76,v4.5.2,Modbus TCP
192.168.212.79,DEVICE-192-168-212-79,12:5A:1F:12:4B:21,Switch,ABB,Switch-702,true,true,false,false,true,Basic,3,1,2025-11-06,61,v4.5.2,HART-IP
192.168.56.218,DEVICE-192-168-56-218,49:40:30:42:4F:C,Protocol_Converter,Schneider,Protocol_Converter-595,true,true,false,false,true,Basic,0,0,2025-11-04,72,v2.8.1,Unknown
192.168.53.86,IP_C-2177,30:58:48:50:61:56,IP_Camera,ABB,IP_Camera-826,false,false,false,true,false,None,12,0,2025-11-08,93,v14.3,BACnet
192.168.219.75,Safe-2678,D:20:3E:2D:2F:53,Safety_Controller,Unknown,Unknown,true,true,false,false,false,Role-Based,2,1,2025-11-09,83,v5.0,BACnet
192.168.186.249,,27:11:27:3C:49:18,RTU,Generic,Unknown,true,true,true,true,true,Basic,2,0,2025-11-09,90,Unknown,Modbus TCP
192.168.236.65,DEVICE-192-168-236-65,1D:47:B:52:62:1E,RTU,ABB,Model-2100,true,false,false,false,true,Basic,0,0,2025-11-05,72,v21.11,EtherNet/IP
192.168.174.51,DEVICE-192-168-174-51,D:52:25:46:29:5D,Analyzer,Yokogawa,Analyzer-730,true,true,false,false,true,Role-Based,0,0,2025-11-07,62,v3.1.0,BACnet
192.168.144.204,HMI-088,42:5C:58:30:2F:59,HMI,Siemens,Model-8423,true,true,true,true,true,Role-Based,0,0,2025-11-03,64,R511.5,EtherNet/IP
192.168.56.163,DEVICE-192-168-56-163,10:D:4A:19:4B:63,Smart_Transmitter,ABB,Smart_Transmitter-109,false,false,false,false,true,None,7,1,2025-11-05,60,R511.5,BACnet
192.168.86.193,DEVICE-192-168-86-193,5D:62:3F:5B:A:23,Smart_Transmitter,ABB,Smart_Transmitter-620,true,true,false,false,true,Role-Based,1,0,2025-11-05,91,R511.5,HART-IP
192.168.208.58,Smar-2675,14:12:42:26:1C:15,Smart_Transmitter,Emerson,Smart_Transmitter-505,true,true,false,true,true,Role-Based,1,0,2025-11-08,60,R4.03,Unknown
