tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,installation_date,expected_ip,expected_protocol
"PAI-024","Toyota Georgetown","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","ABB","ConveyorController-7799","Paint Shop - Station 24","2025-01-19","192.168.87.146","Profinet"
"PAI-025","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","ABB","SafetyPLC-1460","Paint Shop - Station 25","2025-10-09","192.168.227.142","Profinet"
"PAI-026","Toyota Georgetown","Paint Shop","HMI Station","Critical","HMI Station for Paint Shop operations","Fanuc","HMIStation-9257","Paint Shop - Station 26","2025-08-01","192.168.148.134","Ethernet/IP"
"PAI-027","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","KUKA","SCADASystem-9672","Paint Shop - Station 27","2025-06-15","192.168.38.126","Ethernet/IP"
"PAI-028","Toyota Georgetown","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","KUKA","PaintController-8367","Paint Shop - Station 28","2024-12-29","192.168.53.210","Ethernet/IP"
"PAI-029","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Siemens","SCADASystem-2835","Paint Shop - Station 29","2025-02-18","192.168.60.12","OPC UA"
"PAI-030","Toyota Georgetown","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","Siemens","WeldingController-5502","Paint Shop - Station 30","2025-09-20","192.168.9.101","Modbus TCP"
"PAI-031","Toyota Georgetown","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","ABB","PaintController-1622","Paint Shop - Station 31","2025-08-22","192.168.114.128","OPC UA"
"PAI-032","Toyota Georgetown","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","KUKA","WeldingController-7939","Paint Shop - Station 32","2024-12-27","192.168.66.247","Profinet"
"PAI-033","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Fanuc","SCADASystem-3536","Paint Shop - Station 33","2025-07-11","192.168.114.190","Profinet"
"PAI-034","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Siemens","SafetyPLC-1914","Paint Shop - Station 34","2025-01-19","192.168.47.91","Modbus TCP"
"PAI-035","Toyota Georgetown","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Fanuc","ConveyorController-5208","Paint Shop - Station 35","2025-06-04","192.168.29.238","Ethernet/IP"
"PAI-036","Toyota Georgetown","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","Fanuc","WeldingController-1875","Paint Shop - Station 36","2025-10-15","192.168.37.78","Modbus TCP"
"PAI-037","Toyota Georgetown","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","KUKA","ConveyorController-3244","Paint Shop - Station 37","2025-03-29","192.168.235.199","OPC UA"
"PAI-038","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","ABB","SafetyPLC-1551","Paint Shop - Station 38","2024-11-24","192.168.126.14","Profinet"
"PAI-039","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Fanuc","SafetyPLC-8125","Paint Shop - Station 39","2025-08-05","192.168.152.116","OPC UA"
"PAI-040","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Siemens","AssemblyRobot-2708","Paint Shop - Station 40","2025-05-16","192.168.127.216","Ethernet/IP"
"PAI-041","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Fanuc","AssemblyRobot-2555","Paint Shop - Station 41","2025-06-01","192.168.75.58","OPC UA"
"PAI-042","Toyota Georgetown","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","ABB","WeldingController-9097","Paint Shop - Station 42","2025-07-18","192.168.248.116","Profinet"
"PAI-043","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Fanuc","SCADASystem-1149","Paint Shop - Station 43","2025-01-23","192.168.97.94","OPC UA"
"ASS-001","Toyota Georgetown","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Siemens","VisionSystem-3655","Assembly Line - Station 1","2025-01-08","192.168.249.205","Modbus TCP"
"ASS-002","Toyota Georgetown","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","KUKA","PaintController-6005","Assembly Line - Station 2","2025-10-05","192.168.213.93","Ethernet/IP"
"ASS-003","Toyota Georgetown","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-7707","Assembly Line - Station 3","2025-08-14","192.168.181.0","Modbus TCP"
"ASS-004","Toyota Georgetown","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","Siemens","HMIStation-2801","Assembly Line - Station 4","2024-12-16","192.168.182.29","Profinet"
"ASS-005","Toyota Georgetown","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","Rockwell","HMIStation-7453","Assembly Line - Station 5","2024-12-14","192.168.118.15","OPC UA"
"ASS-006","Toyota Georgetown","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","ABB","SCADASystem-1374","Assembly Line - Station 6","2025-07-24","192.168.46.39","Ethernet/IP"
"ASS-007","Toyota Georgetown","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","KUKA","SafetyPLC-8948","Assembly Line - Station 7","2024-10-25","192.168.69.44","Ethernet/IP"
"ASS-008","Toyota Georgetown","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","KUKA","SCADASystem-6799","Assembly Line - Station 8","2025-04-29","192.168.121.156","Modbus TCP"
"ASS-009","Toyota Georgetown","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","ABB","HMIStation-3602","Assembly Line - Station 9","2025-09-08","192.168.128.174","OPC UA"
"ASS-010","Toyota Georgetown","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-3898","Assembly Line - Station 10","2025-01-31","192.168.73.65","OPC UA"
"ASS-011","Toyota Georgetown","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Fanuc","PaintController-3139","Assembly Line - Station 11","2025-09-04","192.168.119.247","Ethernet/IP"
"ASS-012","Toyota Georgetown","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Fanuc","PaintController-8066","Assembly Line - Station 12","2025-04-08","192.168.114.141","Ethernet/IP"
"ASS-013","Toyota Georgetown","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Rockwell","SafetyPLC-6690","Assembly Line - Station 13","2025-05-19","192.168.201.183","OPC UA"
"ASS-014","Toyota Georgetown","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","Fanuc","HMIStation-2948","Assembly Line - Station 14","2025-04-06","192.168.193.136","OPC UA"
"ASS-015","Toyota Georgetown","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","KUKA","WeldingController-5097","Assembly Line - Station 15","2025-08-10","192.168.94.3","Modbus TCP"
"ASS-016","Toyota Georgetown","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Fanuc","PaintController-3520","Assembly Line - Station 16","2025-01-08","192.168.243.226","Profinet"
"ASS-017","Toyota Georgetown","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","ABB","ConveyorController-1126","Assembly Line - Station 17","2025-05-12","192.168.138.175","Modbus TCP"
"ASS-018","Toyota Georgetown","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","ABB","PaintController-9872","Assembly Line - Station 18","2025-01-06","192.168.155.118","Modbus TCP"
"POW-001","Toyota Georgetown","Powertrain","SCADA System","Medium","SCADA System for Powertrain operations","Fanuc","SCADASystem-7993","Powertrain - Station 1","2025-05-21","192.168.3.205","Ethernet/IP"
"POW-002","Toyota Georgetown","Powertrain","SCADA System","Medium","SCADA System for Powertrain operations","Fanuc","SCADASystem-6020","Powertrain - Station 2","2025-05-26","192.168.73.36","OPC UA"
"POW-003","Toyota Georgetown","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Fanuc","AssemblyRobot-9096","Powertrain - Station 3","2025-08-03","192.168.75.120","Modbus TCP"
"POW-004","Toyota Georgetown","Powertrain","Vision System","Medium","Vision System for Powertrain operations","Fanuc","VisionSystem-7833","Powertrain - Station 4","2024-12-20","192.168.122.85","OPC UA"
"POW-005","Toyota Georgetown","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Rockwell","SafetyPLC-2807","Powertrain - Station 5","2025-09-03","192.168.65.12","OPC UA"
"POW-006","Toyota Georgetown","Powertrain","Conveyor Controller","Medium","Conveyor Controller for Powertrain operations","ABB","ConveyorController-8435","Powertrain - Station 6","2025-01-15","192.168.13.165","Ethernet/IP"
"POW-007","Toyota Georgetown","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","Rockwell","PaintController-5269","Powertrain - Station 7","2025-02-16","192.168.244.130","OPC UA"
"POW-008","Toyota Georgetown","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","KUKA","WeldingController-3523","Powertrain - Station 8","2025-07-15","192.168.53.93","Ethernet/IP"
"POW-009","Toyota Georgetown","Powertrain","Conveyor Controller","Medium","Conveyor Controller for Powertrain operations","ABB","ConveyorController-2713","Powertrain - Station 9","2025-07-17","192.168.144.124","Profinet"
"POW-010","Toyota Georgetown","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","KUKA","SafetyPLC-7214","Powertrain - Station 10","2024-11-06","192.168.84.131","Modbus TCP"
"POW-011","Toyota Georgetown","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","Siemens","WeldingController-1532","Powertrain - Station 11","2025-09-13","192.168.157.41","Profinet"
"POW-012","Toyota Georgetown","Powertrain","Conveyor Controller","Medium","Conveyor Controller for Powertrain operations","Rockwell","ConveyorController-6404","Powertrain - Station 12","2025-10-06","192.168.89.166","OPC UA"
"POW-013","Toyota Georgetown","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","KUKA","SafetyPLC-8884","Powertrain - Station 13","2025-05-23","192.168.209.240","OPC UA"
"POW-014","Toyota Georgetown","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","Fanuc","WeldingController-9752","Powertrain - Station 14","2024-11-11","192.168.220.204","Ethernet/IP"
"POW-015","Toyota Georgetown","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","ABB","PaintController-8628","Powertrain - Station 15","2025-08-21","192.168.25.133","OPC UA"
"POW-016","Toyota Georgetown","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","KUKA","WeldingController-2830","Powertrain - Station 16","2025-01-30","192.168.163.67","Modbus TCP"
"POW-017","Toyota Georgetown","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","ABB","WeldingController-8933","Powertrain - Station 17","2024-12-28","192.168.252.195","Ethernet/IP"
"POW-018","Toyota Georgetown","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Rockwell","SafetyPLC-8870","Powertrain - Station 18","2025-01-11","192.168.226.67","Ethernet/IP"
"POW-019","Toyota Georgetown","Powertrain","SCADA System","Medium","SCADA System for Powertrain operations","ABB","SCADASystem-1466","Powertrain - Station 19","2025-06-10","192.168.90.218","Modbus TCP"
"POW-020","Toyota Georgetown","Powertrain","Vision System","Medium","Vision System for Powertrain operations","ABB","VisionSystem-5047","Powertrain - Station 20","2024-11-07","192.168.20.159","Ethernet/IP"
"QUA-001","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","KUKA","SafetyPLC-9449","Quality Control - Station 1","2025-08-02","192.168.90.131","Ethernet/IP"
"QUA-002","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Siemens","SCADASystem-9923","Quality Control - Station 2","2025-08-20","192.168.143.158","Profinet"
"QUA-003","Toyota Georgetown","Quality Control","Paint Controller","High","Paint Controller for Quality Control operations","KUKA","PaintController-4501","Quality Control - Station 3","2024-11-02","192.168.16.228","Modbus TCP"
"QUA-004","Toyota Georgetown","Quality Control","Welding Controller","High","Welding Controller for Quality Control operations","Siemens","WeldingController-2462","Quality Control - Station 4","2025-06-07","192.168.253.36","Modbus TCP"
"QUA-005","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","ABB","ConveyorController-7765","Quality Control - Station 5","2025-02-18","192.168.124.64","OPC UA"
"QUA-006","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","ABB","SCADASystem-8045","Quality Control - Station 6","2024-12-12","192.168.6.5","OPC UA"
"QUA-007","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Rockwell","SCADASystem-3079","Quality Control - Station 7","2025-09-27","192.168.242.243","Ethernet/IP"
"QUA-008","Toyota Georgetown","Quality Control","Welding Controller","High","Welding Controller for Quality Control operations","Fanuc","WeldingController-8086","Quality Control - Station 8","2025-04-18","192.168.215.77","Ethernet/IP"
"QUA-009","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control operations","Rockwell","VisionSystem-8873","Quality Control - Station 9","2025-08-05","192.168.250.122","OPC UA"
"QUA-010","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Siemens","SafetyPLC-4657","Quality Control - Station 10","2025-04-29","192.168.108.249","Modbus TCP"
"QUA-011","Toyota Georgetown","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","Rockwell","AssemblyRobot-7386","Quality Control - Station 11","2025-08-10","192.168.104.210","Ethernet/IP"
"QUA-012","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Rockwell","SafetyPLC-7560","Quality Control - Station 12","2025-01-25","192.168.15.64","Profinet"
"QUA-013","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","KUKA","ConveyorController-2681","Quality Control - Station 13","2025-08-17","192.168.243.248","Profinet"
"QUA-014","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","Siemens","ConveyorController-2124","Quality Control - Station 14","2025-05-09","192.168.1.230","Ethernet/IP"
"QUA-015","Toyota Georgetown","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","Rockwell","AssemblyRobot-3698","Quality Control - Station 15","2024-11-02","192.168.142.101","Profinet"
"QUA-016","Toyota Georgetown","Quality Control","HMI Station","High","HMI Station for Quality Control operations","Siemens","HMIStation-9006","Quality Control - Station 16","2024-10-30","192.168.124.128","Profinet"
"QUA-017","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","KUKA","SCADASystem-9344","Quality Control - Station 17","2024-10-31","192.168.86.72","Profinet"
"QUA-018","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Rockwell","SafetyPLC-5088","Quality Control - Station 18","2024-12-19","192.168.226.168","Profinet"
"QUA-019","Toyota Georgetown","Quality Control","HMI Station","High","HMI Station for Quality Control operations","ABB","HMIStation-3908","Quality Control - Station 19","2025-06-16","192.168.45.61","OPC UA"
"QUA-020","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","Rockwell","ConveyorController-3530","Quality Control - Station 20","2024-10-30","192.168.19.12","Ethernet/IP"
"QUA-021","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Fanuc","SCADASystem-9148","Quality Control - Station 21","2025-08-05","192.168.143.111","Profinet"
"QUA-022","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Rockwell","SafetyPLC-5053","Quality Control - Station 22","2025-06-12","192.168.159.58","Modbus TCP"
"QUA-023","Toyota Georgetown","Quality Control","HMI Station","High","HMI Station for Quality Control operations","Rockwell","HMIStation-1519","Quality Control - Station 23","2025-02-05","192.168.202.77","OPC UA"
"QUA-024","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","ABB","SafetyPLC-9751","Quality Control - Station 24","2024-12-05","192.168.122.9","Profinet"
"QUA-025","Toyota Georgetown","Quality Control","HMI Station","High","HMI Station for Quality Control operations","Fanuc","HMIStation-3411","Quality Control - Station 25","2025-05-17","192.168.238.43","Ethernet/IP"
"QUA-026","Toyota Georgetown","Quality Control","HMI Station","High","HMI Station for Quality Control operations","Siemens","HMIStation-5077","Quality Control - Station 26","2024-11-13","192.168.114.61","OPC UA"
"QUA-027","Toyota Georgetown","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","ABB","AssemblyRobot-5017","Quality Control - Station 27","2024-11-09","192.168.251.95","Profinet"
"QUA-028","Toyota Georgetown","Quality Control","HMI Station","High","HMI Station for Quality Control operations","KUKA","HMIStation-8629","Quality Control - Station 28","2025-09-16","192.168.47.157","OPC UA"
"QUA-029","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control operations","KUKA","VisionSystem-6449","Quality Control - Station 29","2025-08-11","192.168.145.30","OPC UA"
"QUA-030","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control operations","ABB","VisionSystem-5892","Quality Control - Station 30","2025-05-02","192.168.111.143","Profinet"
"QUA-031","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Fanuc","SCADASystem-7918","Quality Control - Station 31","2025-07-21","192.168.166.247","Ethernet/IP"
"QUA-032","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","Siemens","ConveyorController-8847","Quality Control - Station 32","2025-04-29","192.168.81.227","Modbus TCP"
