tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"GEN-0015","Pacific Power","Generation Unit","HMI","High","ABB","HMI-3273","Generation Unit - Station 15","HMI for Generation Unit operations","2020-11-29","192.168.206.84","OPC UA"
"GEN-0016","Pacific Power","Generation Unit","EMS","High","Schneider","EMS-2801","Generation Unit - Station 16","EMS for Generation Unit operations","2022-08-03","192.168.214.30","Modbus TCP"
"GEN-0017","Pacific Power","Generation Unit","EMS","High","Schneider","EMS-5078","Generation Unit - Station 17","EMS for Generation Unit operations","2021-12-07","192.168.122.165","DNP3"
"GEN-0018","Pacific Power","Generation Unit","SCADA","Low","ABB","SCADA-5986","Generation Unit - Station 18","SCADA for Generation Unit operations","2025-02-17","192.168.220.46","Profinet"
"GEN-0019","Pacific Power","Generation Unit","Arc Flash Monitor","Low","Schneider","ArcFlashMonitor-5300","Generation Unit - Station 19","Arc Flash Monitor for Generation Unit operations","2021-09-29","192.168.191.74","OPC UA"
"GEN-0020","Pacific Power","Generation Unit","Protection Relay","Low","Schneider","ProtectionRelay-4850","Generation Unit - Station 20","Protection Relay for Generation Unit operations","2024-07-20","192.168.166.121","Ethernet/IP"
"GEN-0021","Pacific Power","Generation Unit","Arc Flash Monitor","Critical","ABB","ArcFlashMonitor-9459","Generation Unit - Station 21","Arc Flash Monitor for Generation Unit operations","2022-03-31","192.168.49.81","Ethernet/IP"
"GEN-0022","Pacific Power","Generation Unit","HMI","Critical","Honeywell","HMI-1998","Generation Unit - Station 22","HMI for Generation Unit operations","2022-02-21","192.168.67.240","OPC UA"
"GEN-0023","Pacific Power","Generation Unit","SCADA","Medium","Siemens","SCADA-1071","Generation Unit - Station 23","SCADA for Generation Unit operations","2021-10-05","192.168.48.132","DNP3"
"GEN-0024","Pacific Power","Generation Unit","Grid Controller","Critical","Rockwell","GridController-2305","Generation Unit - Station 24","Grid Controller for Generation Unit operations","2023-09-29","192.168.71.184","DNP3"
"GEN-0025","Pacific Power","Generation Unit","HMI","High","Schneider","HMI-6991","Generation Unit - Station 25","HMI for Generation Unit operations","2023-11-04","192.168.50.169","Ethernet/IP"
"GEN-0026","Pacific Power","Generation Unit","RTU","High","Schneider","RTU-6082","Generation Unit - Station 26","RTU for Generation Unit operations","2025-08-01","192.168.71.37","DNP3"
"GEN-0027","Pacific Power","Generation Unit","Arc Flash Monitor","Critical","Honeywell","ArcFlashMonitor-8017","Generation Unit - Station 27","Arc Flash Monitor for Generation Unit operations","2025-04-09","192.168.243.125","Profinet"
"GEN-0028","Pacific Power","Generation Unit","HMI","Medium","Emerson","HMI-8203","Generation Unit - Station 28","HMI for Generation Unit operations","2025-04-07","192.168.19.252","OPC UA"
"GEN-0029","Pacific Power","Generation Unit","Protection Relay","Medium","Rockwell","ProtectionRelay-4958","Generation Unit - Station 29","Protection Relay for Generation Unit operations","2022-03-27","192.168.87.120","OPC UA"
"GEN-0030","Pacific Power","Generation Unit","Grid Controller","Low","Siemens","GridController-6927","Generation Unit - Station 30","Grid Controller for Generation Unit operations","2022-06-16","192.168.115.117","Profinet"
"GEN-0031","Pacific Power","Generation Unit","Grid Controller","Low","ABB","GridController-4385","Generation Unit - Station 31","Grid Controller for Generation Unit operations","2023-08-05","192.168.39.94","OPC UA"
"GEN-0032","Pacific Power","Generation Unit","DMS","Medium","Honeywell","DMS-5910","Generation Unit - Station 32","DMS for Generation Unit operations","2023-11-04","192.168.62.51","Modbus TCP"
"GEN-0033","Pacific Power","Generation Unit","Grid Controller","Medium","Emerson","GridController-6222","Generation Unit - Station 33","Grid Controller for Generation Unit operations","2024-11-17","192.168.141.31","Ethernet/IP"
"GEN-0034","Pacific Power","Generation Unit","Arc Flash Monitor","Low","Schneider","ArcFlashMonitor-1826","Generation Unit - Station 34","Arc Flash Monitor for Generation Unit operations","2021-04-26","192.168.117.173","Ethernet/IP"
"GEN-0035","Pacific Power","Generation Unit","RTU","Medium","Honeywell","RTU-4371","Generation Unit - Station 35","RTU for Generation Unit operations","2021-12-17","192.168.1.176","Ethernet/IP"
"GEN-0036","Pacific Power","Generation Unit","DMS","Low","Schneider","DMS-7700","Generation Unit - Station 36","DMS for Generation Unit operations","2025-09-11","192.168.138.153","OPC UA"
"GEN-0037","Pacific Power","Generation Unit","IED","Critical","ABB","IED-3521","Generation Unit - Station 37","IED for Generation Unit operations","2023-06-23","192.168.106.68","OPC UA"
"GEN-0038","Pacific Power","Generation Unit","Arc Flash Monitor","Critical","Siemens","ArcFlashMonitor-7816","Generation Unit - Station 38","Arc Flash Monitor for Generation Unit operations","2024-09-25","192.168.46.230","OPC UA"
"GEN-0039","Pacific Power","Generation Unit","HMI","Medium","Schneider","HMI-2338","Generation Unit - Station 39","HMI for Generation Unit operations","2022-07-10","192.168.24.169","Ethernet/IP"
"TRA-0040","Pacific Power","Transmission","DMS","Medium","Honeywell","DMS-5006","Transmission - Station 1","DMS for Transmission operations","2023-08-19","192.168.21.193","Ethernet/IP"
"TRA-0041","Pacific Power","Transmission","RTU","Critical","Honeywell","RTU-2144","Transmission - Station 2","RTU for Transmission operations","2022-11-30","192.168.164.10","Modbus TCP"
"TRA-0042","Pacific Power","Transmission","SCADA","High","Schneider","SCADA-7246","Transmission - Station 3","SCADA for Transmission operations","2025-04-06","192.168.53.106","Modbus TCP"
"TRA-0043","Pacific Power","Transmission","SCADA","Critical","Rockwell","SCADA-5217","Transmission - Station 4","SCADA for Transmission operations","2024-03-15","192.168.18.12","Ethernet/IP"
"TRA-0044","Pacific Power","Transmission","Arc Flash Monitor","High","ABB","ArcFlashMonitor-9983","Transmission - Station 5","Arc Flash Monitor for Transmission operations","2024-10-05","192.168.208.155","OPC UA"
"TRA-0045","Pacific Power","Transmission","HMI","Low","Honeywell","HMI-3727","Transmission - Station 6","HMI for Transmission operations","2021-10-16","192.168.120.89","Modbus TCP"
"TRA-0046","Pacific Power","Transmission","RTU","Critical","Schneider","RTU-8750","Transmission - Station 7","RTU for Transmission operations","2022-06-10","192.168.44.85","OPC UA"
"TRA-0047","Pacific Power","Transmission","RTU","High","Honeywell","RTU-8576","Transmission - Station 8","RTU for Transmission operations","2025-03-08","192.168.228.249","DNP3"
"TRA-0048","Pacific Power","Transmission","Environmental Monitor","Medium","Emerson","EnvironmentalMonitor-2108","Transmission - Station 9","Environmental Monitor for Transmission operations","2025-07-24","192.168.33.111","Ethernet/IP"
"TRA-0049","Pacific Power","Transmission","Grid Controller","Low","Rockwell","GridController-9939","Transmission - Station 10","Grid Controller for Transmission operations","2022-03-11","192.168.82.160","Profinet"
"TRA-0050","Pacific Power","Transmission","Environmental Monitor","High","Honeywell","EnvironmentalMonitor-6872","Transmission - Station 11","Environmental Monitor for Transmission operations","2020-11-09","192.168.13.62","Ethernet/IP"
"TRA-0051","Pacific Power","Transmission","Arc Flash Monitor","High","Emerson","ArcFlashMonitor-1801","Transmission - Station 12","Arc Flash Monitor for Transmission operations","2023-08-03","192.168.212.81","Profinet"
"TRA-0052","Pacific Power","Transmission","Environmental Monitor","High","ABB","EnvironmentalMonitor-2104","Transmission - Station 13","Environmental Monitor for Transmission operations","2024-11-21","192.168.246.110","Modbus TCP"
"TRA-0053","Pacific Power","Transmission","RTU","Low","Rockwell","RTU-7330","Transmission - Station 14","RTU for Transmission operations","2022-04-20","192.168.167.190","DNP3"
"TRA-0054","Pacific Power","Transmission","Grid Controller","Critical","ABB","GridController-5608","Transmission - Station 15","Grid Controller for Transmission operations","2025-07-07","192.168.3.78","DNP3"
"TRA-0055","Pacific Power","Transmission","HMI","Medium","Honeywell","HMI-8011","Transmission - Station 16","HMI for Transmission operations","2023-07-18","192.168.151.82","Modbus TCP"
"TRA-0056","Pacific Power","Transmission","EMS","Low","Emerson","EMS-3650","Transmission - Station 17","EMS for Transmission operations","2023-04-14","192.168.172.219","DNP3"
"TRA-0057","Pacific Power","Transmission","HMI","Critical","Emerson","HMI-4403","Transmission - Station 18","HMI for Transmission operations","2023-01-03","192.168.181.200","OPC UA"
"TRA-0058","Pacific Power","Transmission","Arc Flash Monitor","Critical","Honeywell","ArcFlashMonitor-7943","Transmission - Station 19","Arc Flash Monitor for Transmission operations","2024-07-17","192.168.191.144","Ethernet/IP"
"TRA-0059","Pacific Power","Transmission","Arc Flash Monitor","Critical","Honeywell","ArcFlashMonitor-7491","Transmission - Station 20","Arc Flash Monitor for Transmission operations","2022-12-06","192.168.184.78","Modbus TCP"
"TRA-0060","Pacific Power","Transmission","HMI","High","Rockwell","HMI-4399","Transmission - Station 21","HMI for Transmission operations","2021-12-25","192.168.99.79","Modbus TCP"
"TRA-0061","Pacific Power","Transmission","Protection Relay","Medium","Rockwell","ProtectionRelay-7569","Transmission - Station 22","Protection Relay for Transmission operations","2023-08-11","192.168.251.9","Ethernet/IP"
"TRA-0062","Pacific Power","Transmission","Protection Relay","Medium","Honeywell","ProtectionRelay-4812","Transmission - Station 23","Protection Relay for Transmission operations","2023-10-24","192.168.75.144","DNP3"
"TRA-0063","Pacific Power","Transmission","Arc Flash Monitor","Medium","Honeywell","ArcFlashMonitor-9065","Transmission - Station 24","Arc Flash Monitor for Transmission operations","2023-08-23","192.168.42.211","OPC UA"
"TRA-0064","Pacific Power","Transmission","IED","Medium","Honeywell","IED-1326","Transmission - Station 25","IED for Transmission operations","2023-01-10","192.168.54.205","Modbus TCP"
"TRA-0065","Pacific Power","Transmission","DMS","High","Emerson","DMS-1504","Transmission - Station 26","DMS for Transmission operations","2021-07-30","192.168.227.230","DNP3"
"TRA-0066","Pacific Power","Transmission","IED","Medium","Siemens","IED-2932","Transmission - Station 27","IED for Transmission operations","2023-11-30","192.168.38.206","DNP3"
"TRA-0067","Pacific Power","Transmission","Protection Relay","Medium","Emerson","ProtectionRelay-4326","Transmission - Station 28","Protection Relay for Transmission operations","2024-04-15","192.168.185.39","Ethernet/IP"
"TRA-0068","Pacific Power","Transmission","HMI","Critical","Schneider","HMI-1283","Transmission - Station 29","HMI for Transmission operations","2024-02-29","192.168.138.225","Ethernet/IP"
"TRA-0069","Pacific Power","Transmission","HMI","Medium","Schneider","HMI-5368","Transmission - Station 30","HMI for Transmission operations","2022-09-08","192.168.212.209","Ethernet/IP"
"TRA-0070","Pacific Power","Transmission","HMI","Critical","Siemens","HMI-5313","Transmission - Station 31","HMI for Transmission operations","2021-08-23","192.168.80.172","Modbus TCP"
"TRA-0071","Pacific Power","Transmission","IED","Critical","Honeywell","IED-4670","Transmission - Station 32","IED for Transmission operations","2024-01-14","192.168.243.132","Modbus TCP"
"TRA-0072","Pacific Power","Transmission","DMS","Low","ABB","DMS-8084","Transmission - Station 33","DMS for Transmission operations","2025-08-10","192.168.62.47","Profinet"
"TRA-0073","Pacific Power","Transmission","EMS","Critical","ABB","EMS-8761","Transmission - Station 34","EMS for Transmission operations","2022-01-24","192.168.250.158","DNP3"
"DIS-0074","Pacific Power","Distribution","DMS","Critical","ABB","DMS-2131","Distribution - Station 1","DMS for Distribution operations","2025-01-24","192.168.117.174","Profinet"
"DIS-0075","Pacific Power","Distribution","SCADA","High","Rockwell","SCADA-1272","Distribution - Station 2","SCADA for Distribution operations","2024-04-12","192.168.105.127","Profinet"
"DIS-0076","Pacific Power","Distribution","Grid Controller","Low","Rockwell","GridController-1841","Distribution - Station 3","Grid Controller for Distribution operations","2020-12-01","192.168.160.29","DNP3"
"DIS-0077","Pacific Power","Distribution","SCADA","High","Siemens","SCADA-4242","Distribution - Station 4","SCADA for Distribution operations","2021-02-08","192.168.150.194","DNP3"
"DIS-0078","Pacific Power","Distribution","Arc Flash Monitor","Low","Siemens","ArcFlashMonitor-1194","Distribution - Station 5","Arc Flash Monitor for Distribution operations","2024-11-10","192.168.208.235","Profinet"
"DIS-0079","Pacific Power","Distribution","Grid Controller","Low","Rockwell","GridController-5597","Distribution - Station 6","Grid Controller for Distribution operations","2025-06-10","192.168.156.18","OPC UA"
"DIS-0080","Pacific Power","Distribution","Grid Controller","Medium","ABB","GridController-6948","Distribution - Station 7","Grid Controller for Distribution operations","2021-03-25","192.168.8.32","Modbus TCP"
"DIS-0081","Pacific Power","Distribution","SCADA","Critical","ABB","SCADA-3776","Distribution - Station 8","SCADA for Distribution operations","2025-01-05","192.168.125.161","Profinet"
"DIS-0082","Pacific Power","Distribution","HMI","Medium","Honeywell","HMI-9832","Distribution - Station 9","HMI for Distribution operations","2020-11-23","192.168.58.252","DNP3"
"DIS-0083","Pacific Power","Distribution","RTU","Medium","Rockwell","RTU-7761","Distribution - Station 10","RTU for Distribution operations","2024-08-05","192.168.137.22","DNP3"
"DIS-0084","Pacific Power","Distribution","Environmental Monitor","Critical","Emerson","EnvironmentalMonitor-8716","Distribution - Station 11","Environmental Monitor for Distribution operations","2021-07-09","192.168.131.3","Modbus TCP"
"DIS-0085","Pacific Power","Distribution","DMS","Low","Honeywell","DMS-9186","Distribution - Station 12","DMS for Distribution operations","2022-12-06","192.168.92.191","OPC UA"
"DIS-0086","Pacific Power","Distribution","Grid Controller","Low","Siemens","GridController-4222","Distribution - Station 13","Grid Controller for Distribution operations","2023-07-13","192.168.46.242","DNP3"
"DIS-0087","Pacific Power","Distribution","Environmental Monitor","High","Siemens","EnvironmentalMonitor-5839","Distribution - Station 14","Environmental Monitor for Distribution operations","2025-09-04","192.168.5.152","Modbus TCP"
"DIS-0088","Pacific Power","Distribution","EMS","Medium","Honeywell","EMS-5296","Distribution - Station 15","EMS for Distribution operations","2023-11-23","192.168.214.7","OPC UA"
"DIS-0089","Pacific Power","Distribution","Protection Relay","Low","Schneider","ProtectionRelay-9534","Distribution - Station 16","Protection Relay for Distribution operations","2022-12-30","192.168.239.19","DNP3"
"DIS-0090","Pacific Power","Distribution","Grid Controller","High","Rockwell","GridController-9199","Distribution - Station 17","Grid Controller for Distribution operations","2023-07-27","192.168.215.223","OPC UA"
"DIS-0091","Pacific Power","Distribution","SCADA","Low","ABB","SCADA-9788","Distribution - Station 18","SCADA for Distribution operations","2023-03-14","192.168.36.112","OPC UA"
"DIS-0092","Pacific Power","Distribution","SCADA","High","Siemens","SCADA-2035","Distribution - Station 19","SCADA for Distribution operations","2024-06-11","192.168.4.140","Profinet"
"DIS-0093","Pacific Power","Distribution","Protection Relay","Medium","Emerson","ProtectionRelay-7722","Distribution - Station 20","Protection Relay for Distribution operations","2024-11-15","192.168.50.135","OPC UA"
"DIS-0094","Pacific Power","Distribution","IED","Medium","Schneider","IED-7397","Distribution - Station 21","IED for Distribution operations","2025-10-06","192.168.114.165","OPC UA"
"DIS-0095","Pacific Power","Distribution","DMS","Medium","ABB","DMS-2075","Distribution - Station 22","DMS for Distribution operations","2021-02-05","192.168.198.127","DNP3"
"DIS-0096","Pacific Power","Distribution","SCADA","Critical","Schneider","SCADA-1899","Distribution - Station 23","SCADA for Distribution operations","2024-01-19","192.168.1.153","Ethernet/IP"
"DIS-0097","Pacific Power","Distribution","Grid Controller","Low","Emerson","GridController-4486","Distribution - Station 24","Grid Controller for Distribution operations","2021-07-01","192.168.157.69","Modbus TCP"
"DIS-0098","Pacific Power","Distribution","EMS","High","Schneider","EMS-9327","Distribution - Station 25","EMS for Distribution operations","2025-02-03","192.168.17.21","Modbus TCP"
"DIS-0099","Pacific Power","Distribution","Grid Controller","Critical","Rockwell","GridController-9088","Distribution - Station 26","Grid Controller for Distribution operations","2024-08-06","192.168.17.224","Profinet"
"DIS-0100","Pacific Power","Distribution","DMS","Critical","ABB","DMS-8148","Distribution - Station 27","DMS for Distribution operations","2023-08-30","192.168.212.243","DNP3"
"DIS-0101","Pacific Power","Distribution","SCADA","High","Schneider","SCADA-8557","Distribution - Station 28","SCADA for Distribution operations","2025-10-10","192.168.133.238","DNP3"
"CON-0102","Pacific Power","Control Center","DMS","Low","ABB","DMS-8226","Control Center - Station 1","DMS for Control Center operations","2021-06-05","192.168.0.206","Ethernet/IP"
"CON-0103","Pacific Power","Control Center","EMS","High","Rockwell","EMS-9135","Control Center - Station 2","EMS for Control Center operations","2021-03-30","192.168.40.140","Ethernet/IP"
"CON-0104","Pacific Power","Control Center","Grid Controller","High","Rockwell","GridController-9562","Control Center - Station 3","Grid Controller for Control Center operations","2021-05-08","192.168.130.163","Profinet"
"CON-0105","Pacific Power","Control Center","EMS","Critical","Siemens","EMS-8137","Control Center - Station 4","EMS for Control Center operations","2021-08-28","192.168.102.35","Ethernet/IP"
"CON-0106","Pacific Power","Control Center","IED","Medium","Honeywell","IED-6843","Control Center - Station 5","IED for Control Center operations","2024-06-23","192.168.136.77","Modbus TCP"
"CON-0107","Pacific Power","Control Center","IED","High","Siemens","IED-4959","Control Center - Station 6","IED for Control Center operations","2025-03-16","192.168.133.102","Ethernet/IP"
"CON-0108","Pacific Power","Control Center","HMI","High","Siemens","HMI-3363","Control Center - Station 7","HMI for Control Center operations","2025-04-06","192.168.233.142","Profinet"
"CON-0109","Pacific Power","Control Center","DMS","Critical","Schneider","DMS-2979","Control Center - Station 8","DMS for Control Center operations","2023-01-06","192.168.171.236","Modbus TCP"
"CON-0110","Pacific Power","Control Center","EMS","High","Schneider","EMS-6715","Control Center - Station 9","EMS for Control Center operations","2025-08-30","192.168.50.9","DNP3"
"CON-0111","Pacific Power","Control Center","IED","Low","Siemens","IED-7107","Control Center - Station 10","IED for Control Center operations","2022-09-07","192.168.167.116","OPC UA"
"CON-0112","Pacific Power","Control Center","RTU","Medium","Emerson","RTU-6933","Control Center - Station 11","RTU for Control Center operations","2022-09-29","192.168.218.50","DNP3"
"CON-0113","Pacific Power","Control Center","Grid Controller","Low","ABB","GridController-2479","Control Center - Station 12","Grid Controller for Control Center operations","2021-03-21","192.168.56.246","Modbus TCP"
"CON-0114","Pacific Power","Control Center","IED","High","Rockwell","IED-1772","Control Center - Station 13","IED for Control Center operations","2023-01-05","192.168.1.69","DNP3"
"CON-0115","Pacific Power","Control Center","Environmental Monitor","Low","Siemens","EnvironmentalMonitor-3652","Control Center - Station 14","Environmental Monitor for Control Center operations","2025-09-27","192.168.245.10","DNP3"
"CON-0116","Pacific Power","Control Center","SCADA","Critical","Rockwell","SCADA-8154","Control Center - Station 15","SCADA for Control Center operations","2024-05-28","192.168.142.21","Ethernet/IP"
"CON-0117","Pacific Power","Control Center","RTU","High","ABB","RTU-7996","Control Center - Station 16","RTU for Control Center operations","2022-12-04","192.168.122.127","DNP3"
"CON-0118","Pacific Power","Control Center","EMS","Medium","Honeywell","EMS-5378","Control Center - Station 17","EMS for Control Center operations","2023-05-06","192.168.6.113","DNP3"
"CON-0119","Pacific Power","Control Center","IED","High","ABB","IED-2941","Control Center - Station 18","IED for Control Center operations","2022-04-12","192.168.72.15","OPC UA"
"CON-0120","Pacific Power","Control Center","Environmental Monitor","Medium","ABB","EnvironmentalMonitor-9820","Control Center - Station 19","Environmental Monitor for Control Center operations","2022-03-16","192.168.53.133","OPC UA"
"CON-0121","Pacific Power","Control Center","Environmental Monitor","Critical","Siemens","EnvironmentalMonitor-2324","Control Center - Station 20","Environmental Monitor for Control Center operations","2025-04-05","192.168.173.64","Modbus TCP"
"CON-0122","Pacific Power","Control Center","Arc Flash Monitor","High","Emerson","ArcFlashMonitor-2695","Control Center - Station 21","Arc Flash Monitor for Control Center operations","2024-07-09","192.168.122.11","DNP3"
"CON-0123","Pacific Power","Control Center","DMS","Critical","Emerson","DMS-9747","Control Center - Station 22","DMS for Control Center operations","2023-01-31","192.168.252.242","Ethernet/IP"
"CON-0124","Pacific Power","Control Center","RTU","Low","Honeywell","RTU-1708","Control Center - Station 23","RTU for Control Center operations","2023-11-17","192.168.165.23","OPC UA"
"CON-0125","Pacific Power","Control Center","Environmental Monitor","Low","Emerson","EnvironmentalMonitor-6056","Control Center - Station 24","Environmental Monitor for Control Center operations","2024-03-21","192.168.244.157","Ethernet/IP"
"CON-0126","Pacific Power","Control Center","DMS","Low","Honeywell","DMS-9895","Control Center - Station 25","DMS for Control Center operations","2025-04-25","192.168.178.184","Ethernet/IP"
"CON-0127","Pacific Power","Control Center","Grid Controller","Critical","Schneider","GridController-7430","Control Center - Station 26","Grid Controller for Control Center operations","2022-11-25","192.168.49.208","DNP3"
"CON-0128","Pacific Power","Control Center","EMS","High","Schneider","EMS-6090","Control Center - Station 27","EMS for Control Center operations","2024-05-21","192.168.127.9","DNP3"
"CON-0129","Pacific Power","Control Center","HMI","Low","Emerson","HMI-2639","Control Center - Station 28","HMI for Control Center operations","2024-07-29","192.168.87.2","Modbus TCP"
"CON-0130","Pacific Power","Control Center","Arc Flash Monitor","Medium","Honeywell","ArcFlashMonitor-6883","Control Center - Station 29","Arc Flash Monitor for Control Center operations","2022-02-03","192.168.224.197","Ethernet/IP"
"CON-0131","Pacific Power","Control Center","RTU","High","Rockwell","RTU-4832","Control Center - Station 30","RTU for Control Center operations","2021-06-26","192.168.95.168","OPC UA"
"SUB-0132","Pacific Power","Substation","Protection Relay","Medium","Honeywell","ProtectionRelay-8659","Substation - Station 1","Protection Relay for Substation operations","2021-02-24","192.168.134.225","OPC UA"
"SUB-0133","Pacific Power","Substation","SCADA","High","Rockwell","SCADA-2573","Substation - Station 2","SCADA for Substation operations","2021-10-28","192.168.147.135","OPC UA"
"SUB-0134","Pacific Power","Substation","HMI","Low","ABB","HMI-3670","Substation - Station 3","HMI for Substation operations","2023-09-26","192.168.0.182","Ethernet/IP"
"SUB-0135","Pacific Power","Substation","HMI","High","Emerson","HMI-7127","Substation - Station 4","HMI for Substation operations","2021-11-23","192.168.221.44","Modbus TCP"
"SUB-0136","Pacific Power","Substation","EMS","Critical","Schneider","EMS-7183","Substation - Station 5","EMS for Substation operations","2024-05-13","192.168.160.176","Ethernet/IP"
"SUB-0137","Pacific Power","Substation","Grid Controller","High","Honeywell","GridController-2841","Substation - Station 6","Grid Controller for Substation operations","2023-11-29","192.168.86.200","Profinet"
"SUB-0138","Pacific Power","Substation","Grid Controller","Low","Emerson","GridController-9119","Substation - Station 7","Grid Controller for Substation operations","2021-10-19","192.168.94.219","Ethernet/IP"
"SUB-0139","Pacific Power","Substation","Environmental Monitor","High","ABB","EnvironmentalMonitor-5266","Substation - Station 8","Environmental Monitor for Substation operations","2021-02-15","192.168.28.183","Ethernet/IP"
"SUB-0140","Pacific Power","Substation","RTU","Medium","Schneider","RTU-5277","Substation - Station 9","RTU for Substation operations","2022-04-07","192.168.11.61","Profinet"
"SUB-0141","Pacific Power","Substation","Arc Flash Monitor","Medium","Rockwell","ArcFlashMonitor-4024","Substation - Station 10","Arc Flash Monitor for Substation operations","2023-07-07","192.168.156.139","Ethernet/IP"
"SUB-0142","Pacific Power","Substation","Grid Controller","Medium","Emerson","GridController-7240","Substation - Station 11","Grid Controller for Substation operations","2024-07-19","192.168.56.86","Profinet"
"SUB-0143","Pacific Power","Substation","HMI","Low","Siemens","HMI-7183","Substation - Station 12","HMI for Substation operations","2024-02-06","192.168.34.14","OPC UA"
"SUB-0144","Pacific Power","Substation","EMS","High","Siemens","EMS-4020","Substation - Station 13","EMS for Substation operations","2024-10-01","192.168.121.201","OPC UA"
"SUB-0145","Pacific Power","Substation","SCADA","Low","ABB","SCADA-1369","Substation - Station 14","SCADA for Substation operations","2023-06-10","192.168.104.171","Ethernet/IP"
"SUB-0146","Pacific Power","Substation","Protection Relay","Critical","Siemens","ProtectionRelay-6766","Substation - Station 15","Protection Relay for Substation operations","2024-04-20","192.168.40.74","Profinet"
"SUB-0147","Pacific Power","Substation","DMS","Critical","Honeywell","DMS-5737","Substation - Station 16","DMS for Substation operations","2020-11-19","192.168.23.6","Modbus TCP"
"SUB-0148","Pacific Power","Substation","Grid Controller","High","Honeywell","GridController-6122","Substation - Station 17","Grid Controller for Substation operations","2022-07-15","192.168.4.156","Modbus TCP"
"SUB-0149","Pacific Power","Substation","IED","Medium","ABB","IED-2026","Substation - Station 18","IED for Substation operations","2023-03-10","192.168.12.246","Ethernet/IP"
"SUB-0150","Pacific Power","Substation","Arc Flash Monitor","Medium","ABB","ArcFlashMonitor-5196","Substation - Station 19","Arc Flash Monitor for Substation operations","2024-12-14","192.168.1.187","Modbus TCP"
"SUB-0151","Pacific Power","Substation","DMS","Low","Honeywell","DMS-2025","Substation - Station 20","DMS for Substation operations","2021-10-07","192.168.22.15","DNP3"
"SUB-0152","Pacific Power","Substation","HMI","Medium","ABB","HMI-7261","Substation - Station 21","HMI for Substation operations","2025-01-16","192.168.84.79","Modbus TCP"
"SUB-0153","Pacific Power","Substation","EMS","High","Siemens","EMS-2865","Substation - Station 22","EMS for Substation operations","2025-02-02","192.168.200.197","Ethernet/IP"
"SUB-0154","Pacific Power","Substation","Arc Flash Monitor","Medium","Rockwell","ArcFlashMonitor-6239","Substation - Station 23","Arc Flash Monitor for Substation operations","2022-09-23","192.168.253.116","Modbus TCP"
"SUB-0155","Pacific Power","Substation","SCADA","Medium","Siemens","SCADA-4063","Substation - Station 24","SCADA for Substation operations","2025-03-23","192.168.195.9","OPC UA"
