asset_id,device_name,device_type,manufacturer,model,ip_address,mac_address,subnet,vlan,protocol,plant_unit,location,criticality,security_zone,firmware_version,last_seen,network_status,patch_level
OT0019,HDS-SAFETY_PLC-019,SAFETY_PLC,Yokogawa,Yokogawa_SAFETY_PLC_794,10.3.47.11,96:59:9b:0a:4d:37,10.3.0.0/16,2008,Modbus_TCP,HDS,HDS-X45,Medium,Level_1_Control,v7.8.8,2025-09-23T19:31:30.869Z,Online,Outdated
OT0020,FCC-HISTORIAN-020,HISTORIAN,Invensys,Invensys_HISTORIAN_452,10.2.218.169,c5:28:68:c2:14:f9,10.2.0.0/16,3033,Ethernet_IP,FCC,FCC-C8,Medium,Corporate,v4.1.78,2025-09-23T12:07:20.722Z,Online,Current
OT0021,CDU-SAFETY_PLC-021,SAFETY_PLC,Yokogawa,Yokogawa_SAFETY_PLC_589,10.1.76.26,77:f1:f9:de:8c:19,10.1.0.0/16,1863,IEC_61850,CDU,CDU-S88,Low,DMZ,v3.6.7,2025-09-23T12:13:18.843Z,Online,Critical
OT0022,CDU-SAFETY_PLC-022,SAFETY_PLC,Foxboro,Foxboro_SAFETY_PLC_806,10.1.50.1,e4:f2:c8:d2:29:6f,10.1.0.0/16,3105,Profinet,CDU,CDU-J98,High,Level_2_Supervision,v6.2.21,2025-09-23T17:20:01.382Z,Online,Current
OT0023,CCR-SWITCH-023,SWITCH,Invensys,Invensys_SWITCH_469,10.4.239.181,19:29:f8:4c:25:a4,10.4.0.0/16,1817,DNP3,CCR,CCR-T5,Medium,Level_2_Supervision,v1.3.83,2025-09-23T07:41:32.852Z,Online,Current
OT0024,TANK_FARM-SAFETY_PLC-024,SAFETY_PLC,Siemens,Siemens_SAFETY_PLC_890,10.6.142.7,2c:c0:e8:d2:ac:15,10.6.0.0/16,196,Profibus,TANK_FARM,TANK_FARM-M36,High,Level_1_Control,v5.8.78,2025-09-23T06:30:39.470Z,Online,Current
OT0025,HDS-ROUTER-025,ROUTER,Foxboro,Foxboro_ROUTER_541,10.3.6.209,ed:07:8a:8d:d5:b2,10.3.0.0/16,4052,IEC_61850,HDS,HDS-Q44,Critical,Level_0_Process,v6.1.9,2025-09-23T06:56:00.991Z,Online,Current
OT0026,CDU-SENSOR_GATEWAY-026,SENSOR_GATEWAY,Siemens,Siemens_SENSOR_GATEWAY_983,10.1.77.44,af:a8:c4:d8:35:dd,10.1.0.0/16,2780,IEC_61850,CDU,CDU-Y60,Critical,Level_1_Control,v1.2.34,2025-09-23T02:10:49.189Z,Online,Critical
OT0027,ALKYL-SWITCH-027,SWITCH,ABB,ABB_SWITCH_122,10.5.232.100,06:08:30:92:36:e0,10.5.0.0/16,207,OPC_UA,ALKYL,ALKYL-D86,Low,Level_2_Supervision,v9.4.51,2025-09-23T03:10:50.221Z,Online,Outdated
OT0028,ALKYL-PLC-028,PLC,Honeywell,Honeywell_PLC_674,10.5.7.86,31:c0:50:8f:c5:15,10.5.0.0/16,3254,HART,ALKYL,ALKYL-R23,Medium,Level_0_Process,v1.4.48,2025-09-23T14:53:32.189Z,Online,Outdated
OT0029,FCC-SENSOR_GATEWAY-029,SENSOR_GATEWAY,ABB,ABB_SENSOR_GATEWAY_505,10.2.119.248,61:62:b8:96:f7:12,10.2.0.0/16,732,IEC_61850,FCC,FCC-J54,High,Level_2_Supervision,v2.6.92,2025-09-23T10:36:12.460Z,Online,Current
OT0030,ALKYL-FIREWALL-030,FIREWALL,Yokogawa,Yokogawa_FIREWALL_263,10.5.61.28,5d:3d:78:15:bd:b4,10.5.0.0/16,2665,Profibus,ALKYL,ALKYL-Y20,Low,Level_2_Supervision,v6.3.84,2025-09-23T19:43:58.134Z,Online,Current
OT0031,ALKYL-HMI-031,HMI,Foxboro,Foxboro_HMI_245,10.5.55.187,c5:a3:37:10:54:63,10.5.0.0/16,2423,Foundation_Fieldbus,ALKYL,ALKYL-B48,Low,Level_2_Supervision,v8.6.9,2025-09-23T15:14:24.833Z,Online,Critical
OT0032,TANK_FARM-PLC-032,PLC,Honeywell,Honeywell_PLC_103,10.6.117.167,41:20:e6:c6:d9:fc,10.6.0.0/16,3724,Ethernet_IP,TANK_FARM,TANK_FARM-K68,Low,Level_0_Process,v9.3.65,2025-09-23T03:33:48.142Z,Online,Current
OT0033,CCR-WIRELESS_AP-033,WIRELESS_AP,Rockwell,Rockwell_WIRELESS_AP_873,10.4.32.243,fd:cb:a2:6c:61:a5,10.4.0.0/16,2006,Profinet,CCR,CCR-R49,High,DMZ,v1.5.23,2025-09-22T21:13:11.130Z,Online,Current
OT0034,UTILITIES-SENSOR_GATEWAY-034,SENSOR_GATEWAY,Honeywell,Honeywell_SENSOR_GATEWAY_684,10.7.23.246,1d:36:22:c5:dd:cb,10.7.0.0/16,1260,Foundation_Fieldbus,UTILITIES,UTILITIES-J34,Low,Level_3_Operations,v2.1.72,2025-09-23T02:19:55.778Z,Online,Critical
OT0035,FCC-HISTORIAN-035,HISTORIAN,Yokogawa,Yokogawa_HISTORIAN_783,10.2.76.221,37:c3:52:cd:19:27,10.2.0.0/16,3391,Modbus_TCP,FCC,FCC-J8,Low,Level_3_Operations,v5.4.29,2025-09-23T17:45:52.340Z,Warning,Outdated
OT0036,HDS-HISTORIAN-036,HISTORIAN,Schneider,Schneider_HISTORIAN_669,10.3.60.220,b7:9b:cc:ce:dd:91,10.3.0.0/16,3591,Profibus,HDS,HDS-S75,Critical,DMZ,v2.4.71,2025-09-22T21:30:36.513Z,Warning,Outdated
OT0037,FCC-HISTORIAN-037,HISTORIAN,Emerson,Emerson_HISTORIAN_970,10.2.152.49,18:f9:fc:25:19:be,10.2.0.0/16,1808,DNP3,FCC,FCC-T81,Low,DMZ,v3.3.0,2025-09-22T23:33:11.158Z,Online,Current
OT0038,CDU-SENSOR_GATEWAY-038,SENSOR_GATEWAY,Honeywell,Honeywell_SENSOR_GATEWAY_508,10.1.37.190,03:2d:a1:fe:a2:8e,10.1.0.0/16,2269,IEC_61850,CDU,CDU-L12,Medium,Corporate,v9.6.25,2025-09-23T05:32:47.892Z,Offline,Critical
OT0039,ALKYL-SENSOR_GATEWAY-039,SENSOR_GATEWAY,GE,GE_SENSOR_GATEWAY_375,10.5.204.14,7b:e9:73:70:e0:4b,10.5.0.0/16,2808,Profinet,ALKYL,ALKYL-E84,Medium,DMZ,v1.8.37,2025-09-22T22:46:03.669Z,Online,Critical
OT0040,CCR-HISTORIAN-040,HISTORIAN,ABB,ABB_HISTORIAN_203,10.4.131.168,a9:3f:b7:fd:f9:a0,10.4.0.0/16,2924,Modbus_TCP,CCR,CCR-D89,High,Corporate,v6.6.49,2025-09-23T17:30:08.182Z,Online,Outdated
OT0041,UTILITIES-WIRELESS_AP-041,WIRELESS_AP,Foxboro,Foxboro_WIRELESS_AP_863,10.7.197.203,cd:6f:c3:00:f0:98,10.7.0.0/16,3173,Profinet,UTILITIES,UTILITIES-D30,Critical,Level_2_Supervision,v5.7.67,2025-09-23T05:26:26.470Z,Online,Current
OT0042,UTILITIES-WIRELESS_AP-042,WIRELESS_AP,Emerson,Emerson_WIRELESS_AP_675,10.7.149.48,24:3d:e9:2b:c9:52,10.7.0.0/16,2558,IEC_61850,UTILITIES,UTILITIES-H74,Medium,Corporate,v9.7.66,2025-09-23T13:34:14.869Z,Online,Current
OT0043,HDS-ROUTER-043,ROUTER,Honeywell,Honeywell_ROUTER_541,10.3.105.18,e0:a4:8a:b8:ed:df,10.3.0.0/16,2380,Ethernet_IP,HDS,HDS-K14,Medium,Level_2_Supervision,v3.4.46,2025-09-23T16:12:18.007Z,Warning,Outdated
OT0044,HDS-HMI-044,HMI,Schneider,Schneider_HMI_547,10.3.175.6,b8:b1:db:b6:da:15,10.3.0.0/16,2336,HART,HDS,HDS-C29,Medium,Corporate,v3.8.98,2025-09-22T21:55:14.321Z,Online,Current
OT0045,FCC-SWITCH-045,SWITCH,GE,GE_SWITCH_671,10.2.223.58,56:57:22:ac:8d:57,10.2.0.0/16,3755,IEC_61850,FCC,FCC-U16,Critical,Level_2_Supervision,v2.5.41,2025-09-23T01:18:10.891Z,Online,Current
OT0046,CCR-HMI-046,HMI,Emerson,Emerson_HMI_207,10.4.99.12,88:19:99:73:66:cf,10.4.0.0/16,3539,OPC_UA,CCR,CCR-P93,Low,Level_1_Control,v5.2.88,2025-09-23T02:25:56.523Z,Warning,Current
OT0047,FCC-WIRELESS_AP-047,WIRELESS_AP,Invensys,Invensys_WIRELESS_AP_572,10.2.113.25,7c:1c:67:aa:e3:e7,10.2.0.0/16,2975,Ethernet_IP,FCC,FCC-A76,Low,Level_0_Process,v1.2.38,2025-09-23T02:32:57.831Z,Online,Current
OT0048,ALKYL-PLC-048,PLC,Invensys,Invensys_PLC_720,10.5.185.197,7e:0f:a2:73:a9:d9,10.5.0.0/16,2335,Ethernet_IP,ALKYL,ALKYL-J36,Low,Corporate,v2.6.40,2025-09-23T07:02:07.570Z,Online,Outdated
OT0049,ALKYL-FIREWALL-049,FIREWALL,Schneider,Schneider_FIREWALL_615,10.5.11.155,ce:96:0e:1f:e3:dd,10.5.0.0/16,378,DNP3,ALKYL,ALKYL-X64,High,DMZ,v8.8.12,2025-09-23T11:52:24.146Z,Online,Current
OT0050,CDU-ROUTER-050,ROUTER,Invensys,Invensys_ROUTER_388,10.1.161.215,ba:aa:8f:19:02:55,10.1.0.0/16,732,HART,CDU,CDU-W55,Low,Level_1_Control,v4.7.72,2025-09-23T14:22:47.424Z,Online,Critical
OT0051,CCR-HMI-051,HMI,Honeywell,Honeywell_HMI_910,10.4.134.247,55:47:0a:bc:87:f5,10.4.0.0/16,2425,Ethernet_IP,CCR,CCR-I84,High,Level_3_Operations,v6.2.69,2025-09-23T02:10:26.072Z,Warning,Current
OT0052,ALKYL-RTU-052,RTU,ABB,ABB_RTU_949,10.5.103.109,35:57:7b:94:bb:36,10.5.0.0/16,3796,OPC_UA,ALKYL,ALKYL-R55,Medium,Level_1_Control,v3.0.4,2025-09-23T19:32:18.834Z,Online,Outdated
OT0053,ALKYL-ANALYZER-053,ANALYZER,Schneider,Schneider_ANALYZER_928,10.5.116.236,f5:f9:ba:e9:3d:ec,10.5.0.0/16,2066,Ethernet_IP,ALKYL,ALKYL-R45,Critical,Level_3_Operations,v8.5.96,2025-09-22T23:22:48.892Z,Online,Outdated
OT0054,TANK_FARM-SENSOR_GATEWAY-054,SENSOR_GATEWAY,Rockwell,Rockwell_SENSOR_GATEWAY_478,10.6.67.52,6f:62:c0:2b:dc:a7,10.6.0.0/16,100,Profibus,TANK_FARM,TANK_FARM-A21,High,Level_2_Supervision,v1.2.10,2025-09-23T15:53:42.864Z,Warning,Critical
OT0055,CDU-FIREWALL-055,FIREWALL,Yokogawa,Yokogawa_FIREWALL_375,10.1.149.194,67:b9:e9:a6:bd:a6,10.1.0.0/16,3375,Profinet,CDU,CDU-N13,Critical,DMZ,v5.1.0,2025-09-23T04:08:47.834Z,Warning,Current
OT0056,CCR-ROUTER-056,ROUTER,Emerson,Emerson_ROUTER_431,10.4.14.111,fa:95:26:24:8f:eb,10.4.0.0/16,834,Ethernet_IP,CCR,CCR-P66,Low,Level_2_Supervision,v9.0.75,2025-09-23T11:20:48.323Z,Warning,Outdated
OT0057,TANK_FARM-FIREWALL-057,FIREWALL,Honeywell,Honeywell_FIREWALL_598,10.6.32.122,ea:f0:c2:63:0b:72,10.6.0.0/16,608,Ethernet_IP,TANK_FARM,TANK_FARM-Q22,High,Corporate,v5.5.88,2025-09-22T22:52:34.479Z,Online,Outdated
OT0058,HDS-HMI-058,HMI,Emerson,Emerson_HMI_340,10.3.37.160,56:ca:9c:74:7e:71,10.3.0.0/16,794,HART,HDS,HDS-Y84,High,DMZ,v9.4.62,2025-09-22T21:51:04.039Z,Online,Current
OT0059,CDU-FIREWALL-059,FIREWALL,Foxboro,Foxboro_FIREWALL_196,10.1.215.170,91:fa:7f:5d:4a:48,10.1.0.0/16,1773,Profibus,CDU,CDU-Q92,Critical,Level_2_Supervision,v1.4.91,2025-09-22T23:40:17.017Z,Online,Current
OT0060,UTILITIES-WIRELESS_AP-060,WIRELESS_AP,Schneider,Schneider_WIRELESS_AP_977,10.7.28.127,d7:b6:6b:91:06:e8,10.7.0.0/16,1090,Profibus,UTILITIES,UTILITIES-S26,High,Level_0_Process,v4.7.31,2025-09-23T18:53:23.015Z,Online,Critical
OT0061,CDU-HISTORIAN-061,HISTORIAN,Invensys,Invensys_HISTORIAN_907,10.1.31.173,ef:38:5a:fc:0c:a3,10.1.0.0/16,1596,Profinet,CDU,CDU-J32,Critical,Level_3_Operations,v3.2.81,2025-09-23T05:25:31.237Z,Online,Critical
OT0062,CCR-ROUTER-062,ROUTER,Yokogawa,Yokogawa_ROUTER_947,10.4.200.41,bd:2a:a8:11:6d:65,10.4.0.0/16,799,OPC_UA,CCR,CCR-S85,High,Level_2_Supervision,v6.1.50,2025-09-22T22:53:37.630Z,Online,Outdated
OT0063,ALKYL-HISTORIAN-063,HISTORIAN,ABB,ABB_HISTORIAN_1084,10.5.250.180,97:b0:d2:a9:71:1b,10.5.0.0/16,2301,OPC_UA,ALKYL,ALKYL-L60,Low,Level_0_Process,v1.1.84,2025-09-22T21:06:59.521Z,Online,Outdated
OT0064,UTILITIES-SENSOR_GATEWAY-064,SENSOR_GATEWAY,Schneider,Schneider_SENSOR_GATEWAY_116,10.7.62.231,35:ae:53:0b:ed:37,10.7.0.0/16,2652,DNP3,UTILITIES,UTILITIES-I40,Low,Level_0_Process,v6.3.6,2025-09-23T20:04:46.182Z,Online,Outdated
OT0065,CCR-ANALYZER-065,ANALYZER,ABB,ABB_ANALYZER_432,10.4.254.24,b8:c3:d3:75:31:98,10.4.0.0/16,2966,DNP3,CCR,CCR-H16,Medium,Level_3_Operations,v8.7.15,2025-09-23T04:19:49.158Z,Online,Outdated
OT0066,TANK_FARM-FIREWALL-066,FIREWALL,ABB,ABB_FIREWALL_729,10.6.140.14,52:e3:22:7e:a3:c8,10.6.0.0/16,4066,OPC_UA,TANK_FARM,TANK_FARM-O79,Medium,Level_1_Control,v3.5.47,2025-09-23T08:07:18.472Z,Online,Current
OT0067,HDS-SAFETY_PLC-067,SAFETY_PLC,Schneider,Schneider_SAFETY_PLC_971,10.3.252.202,c3:23:dd:f2:b2:1f,10.3.0.0/16,657,Ethernet_IP,HDS,HDS-Z74,Low,DMZ,v8.3.55,2025-09-23T08:46:24.613Z,Online,Outdated
OT0068,TANK_FARM-ROUTER-068,ROUTER,Honeywell,Honeywell_ROUTER_460,10.6.68.35,4d:dd:e2:8c:70:eb,10.6.0.0/16,568,DNP3,TANK_FARM,TANK_FARM-A31,High,Level_2_Supervision,v8.1.27,2025-09-23T20:08:31.177Z,Online,Critical
OT0069,CDU-ROUTER-069,ROUTER,Yokogawa,Yokogawa_ROUTER_261,10.1.174.165,f1:f4:3c:f9:fd:ed,10.1.0.0/16,2162,OPC_UA,CDU,CDU-N97,Critical,Level_2_Supervision,v6.2.5,2025-09-23T02:16:01.798Z,Online,Critical
OT0070,CDU-RTU-070,RTU,Rockwell,Rockwell_RTU_885,10.1.72.131,6c:44:de:a3:f4:68,10.1.0.0/16,1466,Profinet,CDU,CDU-R31,Medium,Level_3_Operations,v6.3.24,2025-09-22T22:34:41.622Z,Online,Outdated
OT0071,ALKYL-ANALYZER-071,ANALYZER,Foxboro,Foxboro_ANALYZER_695,10.5.57.48,b6:5f:20:34:e9:ec,10.5.0.0/16,196,DNP3,ALKYL,ALKYL-Z18,Critical,Level_1_Control,v4.7.43,2025-09-23T09:31:02.756Z,Warning,Outdated
OT0072,UTILITIES-SENSOR_GATEWAY-072,SENSOR_GATEWAY,Schneider,Schneider_SENSOR_GATEWAY_589,10.7.134.23,46:6b:37:f5:c2:3b,10.7.0.0/16,3520,OPC_UA,UTILITIES,UTILITIES-K47,Low,Level_0_Process,v7.4.57,2025-09-23T11:27:38.852Z,Online,Outdated
OT0073,CCR-DRIVE-073,DRIVE,ABB,ABB_DRIVE_935,10.4.4.126,d6:e8:4b:74:6b:60,10.4.0.0/16,723,Ethernet_IP,CCR,CCR-L85,Critical,Level_0_Process,v6.8.38,2025-09-23T05:03:12.281Z,Online,Current
OT0074,FCC-HISTORIAN-074,HISTORIAN,Siemens,Siemens_HISTORIAN_869,10.2.165.88,b7:4b:83:95:d1:d0,10.2.0.0/16,261,Modbus_TCP,FCC,FCC-X24,Medium,Corporate,v3.6.34,2025-09-22T23:43:29.770Z,Online,Critical
OT0075,ALKYL-SWITCH-075,SWITCH,GE,GE_SWITCH_739,10.5.218.216,d4:4c:a6:3e:8b:ee,10.5.0.0/16,2497,Ethernet_IP,ALKYL,ALKYL-F89,Low,DMZ,v3.3.97,2025-09-23T19:19:27.794Z,Offline,Current
OT0076,ALKYL-RTU-076,RTU,ABB,ABB_RTU_388,10.5.91.71,5e:96:f4:0b:00:09,10.5.0.0/16,261,Foundation_Fieldbus,ALKYL,ALKYL-R1,Medium,DMZ,v6.7.21,2025-09-23T14:53:14.086Z,Online,Current
OT0077,HDS-SWITCH-077,SWITCH,Rockwell,Rockwell_SWITCH_415,10.3.217.10,58:51:e3:d1:64:5c,10.3.0.0/16,757,Ethernet_IP,HDS,HDS-W29,Low,Corporate,v7.6.23,2025-09-23T12:11:42.950Z,Online,Outdated
OT0078,TANK_FARM-ROUTER-078,ROUTER,Schneider,Schneider_ROUTER_373,10.6.244.233,56:0f:d9:07:e6:7e,10.6.0.0/16,4090,Profinet,TANK_FARM,TANK_FARM-L67,Critical,Corporate,v3.2.48,2025-09-23T00:11:46.516Z,Online,Outdated
OT0079,CCR-SAFETY_PLC-079,SAFETY_PLC,ABB,ABB_SAFETY_PLC_762,10.4.239.14,7d:e2:7b:a2:4a:49,10.4.0.0/16,2181,Profibus,CCR,CCR-V55,High,Level_2_Supervision,v2.4.94,2025-09-23T02:50:47.208Z,Online,Outdated
OT0080,HDS-HMI-080,HMI,Schneider,Schneider_HMI_132,10.3.132.149,52:d5:7b:e5:3f:59,10.3.0.0/16,2082,Modbus_TCP,HDS,HDS-T96,Low,Level_2_Supervision,v6.3.58,2025-09-23T08:02:36.889Z,Online,Outdated
OT0081,UTILITIES-SAFETY_PLC-081,SAFETY_PLC,Schneider,Schneider_SAFETY_PLC_204,10.7.26.193,2c:8a:52:99:84:71,10.7.0.0/16,3804,Foundation_Fieldbus,UTILITIES,UTILITIES-F88,Critical,Level_0_Process,v6.2.90,2025-09-23T01:39:27.771Z,Online,Outdated
OT0082,FCC-FIREWALL-082,FIREWALL,Foxboro,Foxboro_FIREWALL_1001,10.2.59.235,61:12:6f:8b:36:f5,10.2.0.0/16,502,DNP3,FCC,FCC-O65,High,DMZ,v4.3.29,2025-09-23T00:16:04.169Z,Online,Current
OT0083,TANK_FARM-FIREWALL-083,FIREWALL,Schneider,Schneider_FIREWALL_327,10.6.144.16,9d:fd:29:27:15:6a,10.6.0.0/16,3777,IEC_61850,TANK_FARM,TANK_FARM-J58,Low,Level_1_Control,v9.5.96,2025-09-23T00:05:20.194Z,Online,Outdated
OT0084,TANK_FARM-DRIVE-084,DRIVE,Invensys,Invensys_DRIVE_529,10.6.97.63,7a:ad:38:82:0e:61,10.6.0.0/16,779,Ethernet_IP,TANK_FARM,TANK_FARM-T80,High,Corporate,v2.1.57,2025-09-23T10:30:18.083Z,Online,Outdated
OT0085,HDS-RTU-085,RTU,Invensys,Invensys_RTU_639,10.3.33.48,a7:be:0f:dd:8e:2d,10.3.0.0/16,1433,OPC_UA,HDS,HDS-K14,Medium,Level_3_Operations,v6.5.4,2025-09-23T08:07:43.245Z,Online,Critical
OT0086,FCC-ANALYZER-086,ANALYZER,Emerson,Emerson_ANALYZER_773,10.2.152.155,68:dd:d5:48:e7:9a,10.2.0.0/16,2165,Profinet,FCC,FCC-D81,High,Level_2_Supervision,v2.1.41,2025-09-23T03:58:03.411Z,Online,Current
OT0087,ALKYL-ANALYZER-087,ANALYZER,Invensys,Invensys_ANALYZER_1018,10.5.214.74,d7:9e:4f:bd:6c:0e,10.5.0.0/16,977,IEC_61850,ALKYL,ALKYL-Q77,High,Level_0_Process,v8.4.45,2025-09-23T12:22:18.473Z,Online,Current
OT0088,UTILITIES-PLC-088,PLC,Rockwell,Rockwell_PLC_1078,10.7.212.248,2c:c6:2a:9e:cb:d4,10.7.0.0/16,481,Modbus_TCP,UTILITIES,UTILITIES-E29,Low,Level_3_Operations,v6.2.83,2025-09-23T03:18:25.322Z,Online,Current
OT0089,CCR-RTU-089,RTU,Honeywell,Honeywell_RTU_334,10.4.29.30,d6:98:76:99:14:6f,10.4.0.0/16,3200,Profinet,CCR,CCR-I50,Critical,Corporate,v8.5.26,2025-09-23T02:03:08.482Z,Online,Current
OT0090,ALKYL-HISTORIAN-090,HISTORIAN,Rockwell,Rockwell_HISTORIAN_691,10.5.122.201,9f:58:c1:41:38:42,10.5.0.0/16,1919,HART,ALKYL,ALKYL-C50,Critical,Corporate,v2.7.33,2025-09-23T18:30:32.633Z,Online,Outdated
OT0091,CCR-SENSOR_GATEWAY-091,SENSOR_GATEWAY,Emerson,Emerson_SENSOR_GATEWAY_858,10.4.102.149,65:7e:83:e9:a3:80,10.4.0.0/16,2551,Foundation_Fieldbus,CCR,CCR-D77,High,Level_2_Supervision,v6.5.93,2025-09-23T01:19:58.795Z,Online,Outdated
OT0092,FCC-RTU-092,RTU,ABB,ABB_RTU_416,10.2.27.42,2d:9f:87:55:73:9e,10.2.0.0/16,950,Profinet,FCC,FCC-Z67,Low,Level_1_Control,v9.1.37,2025-09-23T14:24:07.852Z,Online,Outdated
OT0093,FCC-FIREWALL-093,FIREWALL,Foxboro,Foxboro_FIREWALL_568,10.2.82.243,8e:f8:85:cd:8c:37,10.2.0.0/16,2644,OPC_UA,FCC,FCC-W5,Critical,DMZ,v3.3.78,2025-09-23T04:13:16.763Z,Online,Critical
OT0094,CDU-HMI-094,HMI,Rockwell,Rockwell_HMI_603,10.1.150.226,4c:0e:e5:52:8a:d9,10.1.0.0/16,3925,DNP3,CDU,CDU-V64,Critical,Level_2_Supervision,v4.8.96,2025-09-22T22:34:00.452Z,Online,Outdated
OT0095,CDU-PLC-095,PLC,Foxboro,Foxboro_PLC_855,10.1.226.202,cd:15:72:cc:5e:6b,10.1.0.0/16,718,Profibus,CDU,CDU-I99,Medium,DMZ,v8.4.48,2025-09-23T06:51:07.504Z,Online,Current
