tag_id,plant,unit,device_type,ip_address,compliance_status,last_audit,audit_findings,remediation_required,policy_violations,certification_status,documentation_complete,change_management,backup_configured
"GEN-014","Pacific Power","Generation Unit","SCADA","192.168.167.239","Non-Compliant","2025-09-07T06:00:37.108Z","3","false","2","Certified","true","true","true"
"GEN-015","Pacific Power","Generation Unit","DMS","192.168.142.239","Unknown","2025-10-01T10:28:53.943Z","2","true","1","Expired","true","true","true"
"GEN-016","Pacific Power","Generation Unit","Environmental Monitor","192.168.54.88","Unknown","2025-09-18T17:56:37.787Z","1","false","2","Expired","true","true","true"
"GEN-017","Pacific Power","Generation Unit","RTU","192.168.74.180","Under Review","2025-09-21T18:27:19.131Z","3","false","2","Expired","false","true","true"
"GEN-018","Pacific Power","Generation Unit","EMS","192.168.58.12","Under Review","2025-09-01T08:37:40.074Z","3","true","1","Pending","false","true","true"
"GEN-019","Pacific Power","Generation Unit","Grid Controller","192.168.95.137","Non-Compliant","2025-10-11T22:52:23.329Z","1","true","0","Not Required","false","false","false"
"GEN-020","Pacific Power","Generation Unit","RTU","192.168.185.58","Compliant","2025-08-08T04:29:59.439Z","0","false","1","Not Required","true","true","true"
"GEN-021","Pacific Power","Generation Unit","Protection Relay","192.168.161.78","Compliant","2025-09-14T12:49:57.932Z","1","false","2","Certified","true","false","true"
"GEN-022","Pacific Power","Generation Unit","DMS","192.168.156.61","Under Review","2025-08-05T17:47:25.256Z","2","false","1","Certified","true","false","false"
"GEN-023","Pacific Power","Generation Unit","IED","192.168.32.82","Compliant","2025-10-14T07:34:21.841Z","1","true","1","Expired","true","false","true"
"GEN-024","Pacific Power","Generation Unit","IED","192.168.20.141","Unknown","2025-08-17T03:30:29.886Z","1","true","0","Certified","true","false","true"
"GEN-025","Pacific Power","Generation Unit","Environmental Monitor","192.168.71.100","Non-Compliant","2025-09-11T22:00:21.416Z","4","false","0","Not Required","true","false","true"
"GEN-026","Pacific Power","Generation Unit","RTU","192.168.237.51","Non-Compliant","2025-09-27T18:38:39.046Z","4","true","1","Expired","true","true","false"
"GEN-027","Pacific Power","Generation Unit","Grid Controller","192.168.116.38","Compliant","2025-10-20T02:39:30.300Z","2","false","0","Expired","false","false","true"
"GEN-028","Pacific Power","Generation Unit","Environmental Monitor","192.168.16.64","Non-Compliant","2025-08-30T16:26:42.269Z","2","false","2","Expired","false","true","true"
"GEN-029","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.204.232","Non-Compliant","2025-08-18T02:06:32.612Z","3","false","1","Certified","true","true","false"
"GEN-030","Pacific Power","Generation Unit","Grid Controller","192.168.209.82","Under Review","2025-08-08T06:50:50.550Z","1","false","0","Expired","true","true","false"
"GEN-031","Pacific Power","Generation Unit","Grid Controller","192.168.253.202","Under Review","2025-10-14T20:08:56.434Z","1","true","2","Not Required","false","true","false"
"GEN-032","Pacific Power","Generation Unit","Grid Controller","192.168.166.9","Compliant","2025-10-19T20:14:58.007Z","2","false","2","Certified","true","false","true"
"GEN-033","Pacific Power","Generation Unit","HMI","192.168.126.213","Compliant","2025-10-23T15:31:05.204Z","1","false","0","Not Required","false","false","true"
"GEN-034","Pacific Power","Generation Unit","Environmental Monitor","192.168.58.12","Unknown","2025-10-01T07:44:43.266Z","1","true","0","Not Required","true","false","true"
"GEN-035","Pacific Power","Generation Unit","HMI","192.168.24.186","Under Review","2025-10-05T04:26:51.096Z","0","true","1","Expired","true","false","false"
"GEN-036","Pacific Power","Generation Unit","DMS","192.168.187.153","Non-Compliant","2025-08-02T01:22:39.285Z","1","true","0","Certified","true","true","true"
"GEN-037","Pacific Power","Generation Unit","EMS","192.168.180.106","Unknown","2025-09-05T23:49:29.021Z","3","false","2","Expired","true","false","true"
"GEN-038","Pacific Power","Generation Unit","Environmental Monitor","192.168.116.124","Under Review","2025-10-09T08:47:02.793Z","2","false","1","Pending","false","true","true"
"GEN-039","Pacific Power","Generation Unit","HMI","192.168.136.75","Unknown","2025-09-20T11:24:11.357Z","4","true","1","Not Required","false","true","false"
"GEN-040","Pacific Power","Generation Unit","Grid Controller","192.168.37.98","Unknown","2025-09-01T14:36:09.682Z","4","false","0","Not Required","false","false","true"
"GEN-041","Pacific Power","Generation Unit","IED","192.168.132.57","Compliant","2025-09-08T08:43:56.050Z","0","false","0","Expired","false","true","true"
"GEN-042","Pacific Power","Generation Unit","Protection Relay","192.168.12.140","Unknown","2025-08-12T15:42:29.696Z","4","true","2","Not Required","true","false","false"
"GEN-043","Pacific Power","Generation Unit","SCADA","192.168.45.108","Under Review","2025-09-02T20:55:23.447Z","2","false","0","Expired","false","false","true"
"GEN-044","Pacific Power","Generation Unit","DMS","192.168.46.33","Non-Compliant","2025-08-11T02:49:33.192Z","4","true","0","Expired","true","true","true"
"GEN-045","Pacific Power","Generation Unit","SCADA","192.168.254.251","Non-Compliant","2025-08-10T18:27:44.653Z","0","false","2","Certified","false","false","true"
"GEN-046","Pacific Power","Generation Unit","IED","192.168.160.212","Compliant","2025-08-27T01:27:29.370Z","2","true","0","Certified","true","true","true"
"GEN-047","Pacific Power","Generation Unit","SCADA","192.168.114.103","Non-Compliant","2025-09-04T05:09:35.178Z","0","false","0","Pending","true","true","false"
"TRA-001","Pacific Power","Transmission","Environmental Monitor","192.168.183.94","Compliant","2025-10-05T00:46:23.148Z","2","false","2","Expired","true","true","true"
"TRA-002","Pacific Power","Transmission","IED","192.168.216.115","Unknown","2025-08-17T00:27:02.747Z","0","true","2","Expired","true","true","true"
"TRA-003","Pacific Power","Transmission","Protection Relay","192.168.190.156","Unknown","2025-09-20T02:04:27.357Z","4","true","2","Not Required","true","false","true"
"TRA-004","Pacific Power","Transmission","Grid Controller","192.168.180.228","Compliant","2025-10-17T19:09:59.093Z","4","false","0","Certified","true","true","true"
"TRA-005","Pacific Power","Transmission","HMI","192.168.16.63","Under Review","2025-09-21T20:03:25.163Z","0","true","2","Expired","true","true","true"
"TRA-006","Pacific Power","Transmission","HMI","192.168.106.80","Non-Compliant","2025-09-27T06:45:58.425Z","1","true","2","Not Required","true","false","false"
"TRA-007","Pacific Power","Transmission","RTU","192.168.224.83","Under Review","2025-09-27T08:36:33.201Z","4","true","0","Expired","false","false","true"
"TRA-008","Pacific Power","Transmission","Arc Flash Monitor","192.168.107.44","Compliant","2025-07-28T04:19:49.984Z","1","false","1","Not Required","true","true","false"
"TRA-009","Pacific Power","Transmission","Arc Flash Monitor","192.168.79.161","Under Review","2025-08-03T11:22:33.387Z","4","false","0","Certified","true","false","false"
"TRA-010","Pacific Power","Transmission","Grid Controller","192.168.234.56","Compliant","2025-08-22T07:22:05.687Z","4","true","2","Pending","true","false","true"
"TRA-011","Pacific Power","Transmission","DMS","192.168.96.17","Under Review","2025-10-13T10:05:31.540Z","3","false","0","Certified","true","false","true"
"TRA-012","Pacific Power","Transmission","EMS","192.168.180.203","Unknown","2025-08-30T00:40:27.018Z","1","true","0","Certified","true","true","true"
"TRA-013","Pacific Power","Transmission","HMI","192.168.166.148","Under Review","2025-09-25T03:29:46.692Z","3","true","2","Certified","false","false","true"
"TRA-014","Pacific Power","Transmission","Arc Flash Monitor","192.168.80.234","Unknown","2025-09-10T15:27:59.993Z","3","true","2","Expired","true","true","true"
"TRA-015","Pacific Power","Transmission","Arc Flash Monitor","192.168.0.69","Compliant","2025-08-17T12:53:00.331Z","0","true","2","Certified","false","false","false"
"TRA-016","Pacific Power","Transmission","Environmental Monitor","192.168.172.39","Under Review","2025-09-15T06:44:16.363Z","2","true","2","Pending","false","true","true"
"TRA-017","Pacific Power","Transmission","SCADA","192.168.168.176","Under Review","2025-10-11T02:54:25.346Z","0","false","0","Expired","true","false","false"
"TRA-018","Pacific Power","Transmission","IED","192.168.150.44","Unknown","2025-10-21T12:43:29.186Z","1","false","1","Not Required","false","false","true"
"TRA-019","Pacific Power","Transmission","Arc Flash Monitor","192.168.38.72","Non-Compliant","2025-08-07T09:05:12.443Z","1","false","2","Expired","false","false","true"
"TRA-020","Pacific Power","Transmission","RTU","192.168.181.1","Under Review","2025-09-01T00:11:46.475Z","1","false","2","Not Required","true","false","false"
"TRA-021","Pacific Power","Transmission","Protection Relay","192.168.190.203","Unknown","2025-08-23T10:09:26.622Z","4","true","1","Expired","true","false","true"
"TRA-022","Pacific Power","Transmission","Arc Flash Monitor","192.168.252.124","Unknown","2025-09-06T03:31:21.199Z","0","false","2","Expired","false","true","true"
"TRA-023","Pacific Power","Transmission","Arc Flash Monitor","192.168.0.147","Non-Compliant","2025-10-05T04:51:57.915Z","0","false","0","Pending","false","true","false"
"TRA-024","Pacific Power","Transmission","EMS","192.168.74.91","Compliant","2025-09-11T17:42:48.170Z","3","false","1","Pending","true","true","true"
"TRA-025","Pacific Power","Transmission","Protection Relay","192.168.10.205","Compliant","2025-10-10T11:30:32.934Z","1","false","0","Not Required","true","true","true"
"TRA-026","Pacific Power","Transmission","DMS","192.168.128.240","Unknown","2025-09-11T12:05:27.183Z","1","true","2","Not Required","true","false","false"
"TRA-027","Pacific Power","Transmission","IED","192.168.29.70","Compliant","2025-08-03T03:31:33.656Z","0","false","0","Pending","false","true","false"
"TRA-028","Pacific Power","Transmission","SCADA","192.168.26.83","Non-Compliant","2025-09-03T23:03:02.763Z","0","true","2","Pending","false","false","true"
"TRA-029","Pacific Power","Transmission","RTU","192.168.185.164","Unknown","2025-10-06T00:57:47.723Z","2","true","2","Pending","false","false","true"
"TRA-030","Pacific Power","Transmission","Environmental Monitor","192.168.110.169","Non-Compliant","2025-08-19T18:58:29.362Z","2","true","0","Pending","false","false","true"
"TRA-031","Pacific Power","Transmission","IED","192.168.210.91","Compliant","2025-08-22T15:56:47.576Z","1","false","1","Certified","false","false","false"
"TRA-032","Pacific Power","Transmission","Arc Flash Monitor","192.168.34.251","Non-Compliant","2025-07-31T04:24:55.896Z","2","false","1","Certified","true","true","true"
"TRA-033","Pacific Power","Transmission","RTU","192.168.152.81","Unknown","2025-09-29T17:43:50.037Z","3","true","1","Expired","true","false","false"
"TRA-034","Pacific Power","Transmission","Arc Flash Monitor","192.168.210.252","Under Review","2025-09-26T03:50:49.249Z","0","false","0","Not Required","true","true","true"
"TRA-035","Pacific Power","Transmission","Environmental Monitor","192.168.206.126","Non-Compliant","2025-08-29T16:26:08.701Z","2","true","1","Not Required","false","false","false"
"TRA-036","Pacific Power","Transmission","DMS","192.168.24.62","Non-Compliant","2025-10-21T03:34:59.124Z","1","false","1","Certified","true","false","true"
"TRA-037","Pacific Power","Transmission","SCADA","192.168.83.45","Non-Compliant","2025-09-05T09:21:14.580Z","4","true","2","Expired","false","true","true"
"TRA-038","Pacific Power","Transmission","EMS","192.168.83.118","Non-Compliant","2025-08-25T20:26:02.655Z","4","true","2","Certified","true","true","false"
"TRA-039","Pacific Power","Transmission","Environmental Monitor","192.168.13.187","Under Review","2025-08-05T08:22:24.398Z","1","true","0","Expired","false","true","false"
"TRA-040","Pacific Power","Transmission","Environmental Monitor","192.168.91.170","Non-Compliant","2025-08-15T07:43:53.374Z","4","true","0","Pending","true","false","true"
"TRA-041","Pacific Power","Transmission","SCADA","192.168.232.94","Under Review","2025-09-07T02:10:59.745Z","0","false","0","Certified","true","false","true"
"TRA-042","Pacific Power","Transmission","DMS","192.168.15.172","Non-Compliant","2025-08-26T07:38:34.037Z","2","true","2","Expired","true","false","true"
"TRA-043","Pacific Power","Transmission","IED","192.168.193.34","Under Review","2025-10-13T20:48:53.516Z","4","false","2","Not Required","true","true","true"
"TRA-044","Pacific Power","Transmission","EMS","192.168.85.103","Non-Compliant","2025-09-30T08:04:54.022Z","0","false","1","Pending","false","true","false"
"TRA-045","Pacific Power","Transmission","SCADA","192.168.8.142","Under Review","2025-10-14T13:34:54.644Z","4","true","2","Expired","true","false","false"
"TRA-046","Pacific Power","Transmission","IED","192.168.102.143","Non-Compliant","2025-07-27T07:17:20.278Z","1","false","1","Expired","false","false","true"
"DIS-001","Pacific Power","Distribution","Protection Relay","192.168.239.237","Unknown","2025-09-08T20:12:19.725Z","3","false","1","Expired","false","true","false"
"DIS-002","Pacific Power","Distribution","Environmental Monitor","192.168.1.187","Non-Compliant","2025-10-07T12:30:30.281Z","0","true","0","Not Required","true","true","true"
"DIS-003","Pacific Power","Distribution","EMS","192.168.184.193","Compliant","2025-08-25T15:24:38.595Z","2","true","2","Pending","false","true","true"
"DIS-004","Pacific Power","Distribution","HMI","192.168.204.34","Non-Compliant","2025-10-14T07:22:42.057Z","1","false","2","Certified","true","true","false"
"DIS-005","Pacific Power","Distribution","IED","192.168.23.21","Non-Compliant","2025-09-20T13:59:54.797Z","3","false","1","Pending","false","false","true"
"DIS-006","Pacific Power","Distribution","EMS","192.168.208.53","Unknown","2025-10-18T10:30:14.335Z","1","false","1","Certified","true","false","false"
"DIS-007","Pacific Power","Distribution","SCADA","192.168.9.174","Non-Compliant","2025-08-21T12:36:21.154Z","4","true","2","Pending","false","true","true"
"DIS-008","Pacific Power","Distribution","IED","192.168.147.130","Under Review","2025-09-22T17:48:54.842Z","1","false","1","Certified","true","true","false"
"DIS-009","Pacific Power","Distribution","IED","192.168.8.2","Compliant","2025-08-18T11:11:38.664Z","0","true","1","Not Required","true","true","true"
"DIS-010","Pacific Power","Distribution","Grid Controller","192.168.118.208","Under Review","2025-08-10T20:13:40.408Z","3","true","2","Pending","true","false","true"
"DIS-011","Pacific Power","Distribution","DMS","192.168.221.124","Unknown","2025-09-03T20:20:35.096Z","1","false","1","Certified","false","false","false"
"DIS-012","Pacific Power","Distribution","Grid Controller","192.168.216.237","Unknown","2025-10-21T01:05:26.102Z","4","false","0","Expired","true","false","true"
"DIS-013","Pacific Power","Distribution","DMS","192.168.159.133","Unknown","2025-08-18T07:40:04.714Z","2","true","1","Expired","false","false","true"
"DIS-014","Pacific Power","Distribution","DMS","192.168.80.105","Unknown","2025-10-18T12:17:57.796Z","4","false","1","Expired","true","false","false"
"DIS-015","Pacific Power","Distribution","IED","192.168.116.28","Under Review","2025-08-12T16:36:43.128Z","1","false","1","Expired","true","false","true"
"DIS-016","Pacific Power","Distribution","DMS","192.168.112.223","Under Review","2025-10-08T19:32:22.729Z","2","false","1","Not Required","true","true","false"
"DIS-017","Pacific Power","Distribution","Grid Controller","192.168.48.183","Non-Compliant","2025-10-02T04:45:17.945Z","2","true","1","Not Required","false","false","false"
"DIS-018","Pacific Power","Distribution","DMS","192.168.109.31","Compliant","2025-10-13T13:26:26.608Z","1","true","0","Expired","true","true","true"
"DIS-019","Pacific Power","Distribution","Protection Relay","192.168.225.148","Compliant","2025-09-12T03:20:17.664Z","4","true","2","Not Required","true","false","true"
"DIS-020","Pacific Power","Distribution","EMS","192.168.86.176","Under Review","2025-09-09T03:04:49.838Z","0","false","1","Pending","true","false","true"
"DIS-021","Pacific Power","Distribution","HMI","192.168.75.208","Unknown","2025-08-28T22:46:09.891Z","3","false","0","Pending","false","true","false"
"DIS-022","Pacific Power","Distribution","EMS","192.168.167.195","Compliant","2025-10-09T15:51:25.719Z","3","false","1","Pending","false","false","true"
"DIS-023","Pacific Power","Distribution","HMI","192.168.83.234","Unknown","2025-08-25T20:21:08.251Z","3","false","1","Expired","false","false","true"
"DIS-024","Pacific Power","Distribution","SCADA","192.168.35.0","Non-Compliant","2025-08-12T09:11:01.463Z","0","false","0","Pending","false","true","true"
"DIS-025","Pacific Power","Distribution","SCADA","192.168.125.30","Under Review","2025-08-09T06:59:34.541Z","4","false","2","Pending","true","true","false"
"DIS-026","Pacific Power","Distribution","Environmental Monitor","192.168.95.168","Unknown","2025-08-10T21:49:18.356Z","3","false","0","Certified","true","true","true"
"DIS-027","Pacific Power","Distribution","Arc Flash Monitor","192.168.225.233","Compliant","2025-09-29T07:05:32.175Z","1","true","2","Pending","false","true","true"
"DIS-028","Pacific Power","Distribution","SCADA","192.168.196.138","Non-Compliant","2025-10-09T11:10:37.869Z","1","false","0","Not Required","true","false","false"
"CON-001","Pacific Power","Control Center","Arc Flash Monitor","192.168.16.139","Compliant","2025-08-03T09:30:13.677Z","1","true","1","Certified","false","false","true"
"CON-002","Pacific Power","Control Center","EMS","192.168.244.133","Non-Compliant","2025-08-10T22:26:28.266Z","3","false","2","Certified","false","false","true"
"CON-003","Pacific Power","Control Center","EMS","192.168.229.61","Under Review","2025-09-17T05:20:56.799Z","1","false","0","Certified","false","false","false"
"CON-004","Pacific Power","Control Center","HMI","192.168.236.86","Unknown","2025-08-01T00:43:07.827Z","1","false","1","Pending","false","false","false"
"CON-005","Pacific Power","Control Center","HMI","192.168.84.133","Under Review","2025-08-28T19:57:21.800Z","2","true","1","Not Required","true","true","true"
"CON-006","Pacific Power","Control Center","SCADA","192.168.94.208","Non-Compliant","2025-08-23T05:09:51.571Z","0","true","0","Certified","false","true","true"
"CON-007","Pacific Power","Control Center","Grid Controller","192.168.91.28","Unknown","2025-07-31T11:36:51.353Z","4","true","1","Certified","false","false","true"
"CON-008","Pacific Power","Control Center","DMS","192.168.29.69","Compliant","2025-08-22T01:57:03.925Z","3","false","0","Pending","true","false","false"
"CON-009","Pacific Power","Control Center","IED","192.168.94.11","Compliant","2025-09-30T21:23:17.143Z","1","true","2","Expired","true","false","true"
"CON-010","Pacific Power","Control Center","Arc Flash Monitor","192.168.168.215","Unknown","2025-09-16T03:28:17.392Z","1","false","1","Certified","false","false","true"
"CON-011","Pacific Power","Control Center","HMI","192.168.177.116","Non-Compliant","2025-09-24T13:40:03.376Z","3","false","1","Pending","true","true","false"
"CON-012","Pacific Power","Control Center","HMI","192.168.171.190","Under Review","2025-09-12T02:24:14.229Z","0","true","2","Not Required","true","false","true"
"CON-013","Pacific Power","Control Center","RTU","192.168.25.111","Compliant","2025-08-07T11:24:09.872Z","0","false","1","Pending","true","false","false"
"CON-014","Pacific Power","Control Center","Protection Relay","192.168.72.96","Under Review","2025-09-04T15:26:31.439Z","1","true","2","Certified","false","false","true"
"CON-015","Pacific Power","Control Center","DMS","192.168.77.215","Unknown","2025-10-13T09:44:49.936Z","0","false","0","Pending","true","true","false"
"CON-016","Pacific Power","Control Center","RTU","192.168.47.230","Unknown","2025-08-17T17:43:57.115Z","3","true","1","Expired","true","true","true"
"CON-017","Pacific Power","Control Center","EMS","192.168.132.152","Under Review","2025-08-04T04:34:28.577Z","2","false","2","Pending","false","true","true"
"CON-018","Pacific Power","Control Center","IED","192.168.108.222","Compliant","2025-10-12T13:11:26.578Z","0","false","2","Pending","false","false","true"
"CON-019","Pacific Power","Control Center","RTU","192.168.74.245","Under Review","2025-09-10T01:00:36.701Z","1","false","1","Certified","true","false","true"
"CON-020","Pacific Power","Control Center","Grid Controller","192.168.250.166","Under Review","2025-09-14T15:43:46.413Z","2","false","2","Not Required","false","false","true"
"CON-021","Pacific Power","Control Center","SCADA","192.168.196.55","Non-Compliant","2025-10-08T09:43:38.387Z","3","false","0","Certified","false","true","false"
"SUB-001","Pacific Power","Substation","Grid Controller","192.168.195.46","Non-Compliant","2025-09-09T02:23:45.139Z","2","false","1","Certified","true","true","true"
"SUB-002","Pacific Power","Substation","HMI","192.168.145.104","Under Review","2025-09-29T04:25:10.149Z","3","false","1","Not Required","false","true","false"
"SUB-003","Pacific Power","Substation","Protection Relay","192.168.126.115","Under Review","2025-10-14T05:33:29.945Z","2","true","1","Expired","true","false","false"
"SUB-004","Pacific Power","Substation","RTU","192.168.150.48","Unknown","2025-09-01T02:23:29.080Z","3","false","2","Expired","false","false","true"
"SUB-005","Pacific Power","Substation","DMS","192.168.194.41","Compliant","2025-08-12T07:31:55.530Z","3","true","2","Certified","false","false","false"
"SUB-006","Pacific Power","Substation","IED","192.168.130.64","Unknown","2025-09-23T19:42:02.011Z","2","true","1","Certified","true","false","true"
"SUB-007","Pacific Power","Substation","Grid Controller","192.168.109.194","Non-Compliant","2025-10-12T01:13:27.589Z","3","true","0","Expired","true","true","false"
"SUB-008","Pacific Power","Substation","Grid Controller","192.168.99.229","Non-Compliant","2025-08-19T21:21:07.552Z","3","false","1","Certified","true","false","true"
"SUB-009","Pacific Power","Substation","HMI","192.168.233.121","Non-Compliant","2025-10-04T21:48:14.611Z","3","true","1","Pending","false","false","true"
"SUB-010","Pacific Power","Substation","SCADA","192.168.243.199","Non-Compliant","2025-10-08T01:49:16.394Z","1","true","0","Pending","false","true","true"
"SUB-011","Pacific Power","Substation","DMS","192.168.215.244","Unknown","2025-09-27T10:36:48.624Z","0","false","2","Pending","false","false","true"
"SUB-012","Pacific Power","Substation","Arc Flash Monitor","192.168.39.43","Non-Compliant","2025-09-13T19:11:07.185Z","2","false","1","Certified","true","true","true"
"SUB-013","Pacific Power","Substation","Protection Relay","192.168.244.85","Non-Compliant","2025-09-19T10:03:27.918Z","2","false","2","Certified","false","false","true"
"SUB-014","Pacific Power","Substation","Environmental Monitor","192.168.183.207","Compliant","2025-08-15T17:35:18.841Z","4","true","2","Not Required","true","false","true"
"SUB-015","Pacific Power","Substation","RTU","192.168.182.27","Unknown","2025-08-18T05:02:54.812Z","0","false","1","Pending","false","true","true"
"SUB-016","Pacific Power","Substation","DMS","192.168.115.56","Compliant","2025-08-01T18:57:26.397Z","3","true","1","Certified","false","false","true"
"SUB-017","Pacific Power","Substation","Grid Controller","192.168.112.38","Compliant","2025-09-14T18:03:21.261Z","0","false","1","Pending","true","true","true"
"SUB-018","Pacific Power","Substation","Grid Controller","192.168.153.69","Under Review","2025-08-03T13:29:42.604Z","0","false","2","Certified","false","true","false"
"SUB-019","Pacific Power","Substation","RTU","192.168.94.119","Unknown","2025-10-05T11:22:52.950Z","0","true","2","Pending","true","false","true"
"SUB-020","Pacific Power","Substation","SCADA","192.168.0.170","Non-Compliant","2025-10-19T19:54:03.285Z","4","false","1","Expired","false","false","true"
"SUB-021","Pacific Power","Substation","Environmental Monitor","192.168.224.173","Compliant","2025-10-23T13:29:04.126Z","0","false","1","Expired","false","false","false"
"ENV-001","Pacific Power","Environmental Controls","Arc Flash Monitor","192.168.224.15","Compliant","2025-10-11T15:52:06.516Z","2","true","2","Not Required","true","true","true"
"ENV-002","Pacific Power","Environmental Controls","EMS","192.168.29.251","Non-Compliant","2025-10-11T09:31:32.958Z","4","true","0","Expired","true","false","true"
"ENV-003","Pacific Power","Environmental Controls","Arc Flash Monitor","192.168.253.205","Unknown","2025-08-02T10:53:21.163Z","3","false","0","Certified","false","false","false"
"ENV-004","Pacific Power","Environmental Controls","SCADA","192.168.32.181","Compliant","2025-09-21T01:46:50.603Z","0","false","2","Certified","true","false","false"
"ENV-005","Pacific Power","Environmental Controls","EMS","192.168.198.118","Compliant","2025-10-19T12:02:39.788Z","0","false","1","Expired","true","true","false"
"ENV-006","Pacific Power","Environmental Controls","IED","192.168.10.59","Under Review","2025-10-05T15:18:40.519Z","4","false","0","Expired","true","false","true"
"ENV-007","Pacific Power","Environmental Controls","HMI","192.168.2.17","Compliant","2025-08-25T13:45:25.414Z","4","true","0","Certified","true","true","true"
"ENV-008","Pacific Power","Environmental Controls","Protection Relay","192.168.10.207","Unknown","2025-08-26T18:25:09.249Z","4","false","0","Pending","true","false","true"
"ENV-009","Pacific Power","Environmental Controls","HMI","192.168.145.234","Unknown","2025-09-18T13:56:04.585Z","4","true","2","Expired","false","false","true"
"ENV-010","Pacific Power","Environmental Controls","Grid Controller","192.168.174.38","Compliant","2025-08-08T21:57:00.479Z","0","true","2","Expired","true","true","true"
"ENV-011","Pacific Power","Environmental Controls","DMS","192.168.85.40","Non-Compliant","2025-09-25T10:39:08.035Z","3","true","2","Pending","true","false","true"
"ENV-012","Pacific Power","Environmental Controls","SCADA","192.168.228.135","Non-Compliant","2025-09-27T05:04:27.996Z","1","false","0","Certified","true","true","false"
"ENV-013","Pacific Power","Environmental Controls","RTU","192.168.33.224","Unknown","2025-09-21T22:15:26.748Z","4","true","0","Not Required","true","false","false"
"ENV-014","Pacific Power","Environmental Controls","Environmental Monitor","192.168.0.66","Non-Compliant","2025-08-25T20:14:46.138Z","1","false","0","Not Required","true","true","true"
"ENV-015","Pacific Power","Environmental Controls","EMS","192.168.206.83","Under Review","2025-08-16T22:15:21.959Z","3","false","1","Certified","false","true","false"
"ENV-016","Pacific Power","Environmental Controls","RTU","192.168.205.71","Non-Compliant","2025-10-21T10:16:51.638Z","1","false","1","Not Required","true","false","true"
"ENV-017","Pacific Power","Environmental Controls","HMI","192.168.35.244","Unknown","2025-08-08T00:58:19.214Z","0","true","1","Not Required","true","false","false"
"ENV-018","Pacific Power","Environmental Controls","Grid Controller","192.168.75.132","Under Review","2025-09-29T20:46:04.779Z","1","true","2","Certified","false","false","false"
"ENV-019","Pacific Power","Environmental Controls","SCADA","192.168.59.96","Non-Compliant","2025-08-17T14:27:02.495Z","4","false","0","Not Required","true","true","false"
"ENV-020","Pacific Power","Environmental Controls","SCADA","192.168.140.225","Under Review","2025-10-21T02:16:00.739Z","1","true","1","Not Required","true","true","true"
"ENV-021","Pacific Power","Environmental Controls","SCADA","192.168.76.32","Compliant","2025-09-21T22:43:46.637Z","0","true","1","Not Required","false","false","true"
"ENV-022","Pacific Power","Environmental Controls","HMI","192.168.29.91","Non-Compliant","2025-08-21T23:11:56.680Z","1","true","1","Expired","false","true","false"
"ENV-023","Pacific Power","Environmental Controls","Grid Controller","192.168.121.74","Unknown","2025-08-18T17:23:18.959Z","3","true","2","Certified","false","true","false"
"ENV-024","Pacific Power","Environmental Controls","EMS","192.168.26.113","Compliant","2025-09-11T22:15:11.394Z","2","true","2","Expired","true","true","true"
"ENV-025","Pacific Power","Environmental Controls","HMI","192.168.220.100","Compliant","2025-09-08T12:09:58.812Z","0","false","0","Expired","false","true","false"
