tag_id,plant,unit,instrument_type,ip_address,mac_address,protocol,last_seen,network_status,vlan,nerc_cip,grid_stability
"GEN-024","Pacific Power","Generation Unit","Protection Relay","192.168.213.168","b7:21:b9:13:61:a3","Modbus TCP","2025-10-21T00:41:40.816Z","ON_NETWORK","VLAN-41","true","true"
"GEN-025","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.157.169","21:22:e3:43:7c:17","Modbus TCP","2025-10-23T12:39:22.710Z","ON_NETWORK","VLAN-58","true","true"
"GEN-026","Pacific Power","Generation Unit","DMS","192.168.32.53","9d:9a:0e:a1:04:7a","DNP3","2025-10-24T00:46:34.143Z","ON_NETWORK","VLAN-8","true","true"
"GEN-027","Pacific Power","Generation Unit","IED","192.168.203.35","b0:cc:8a:1b:9b:1c","Ethernet/IP","2025-10-19T22:47:13.561Z","ON_NETWORK","VLAN-15","true","true"
"GEN-029","Pacific Power","Generation Unit","DMS","192.168.123.244","c5:f7:73:49:17:b9","Ethernet/IP","2025-10-18T21:23:37.736Z","ON_NETWORK","VLAN-33","true","true"
"GEN-030","Pacific Power","Generation Unit","IED","192.168.111.50","4c:36:8a:f6:cd:24","Ethernet/IP","2025-10-22T21:41:52.654Z","ON_NETWORK","VLAN-80","true","true"
"GEN-032","Pacific Power","Generation Unit","DMS","192.168.230.246","83:21:e5:a4:cd:88","DNP3","2025-10-23T17:37:01.613Z","OFF_NETWORK","VLAN-26","true","true"
"GEN-033","Pacific Power","Generation Unit","Protection Relay","192.168.71.140","bd:13:28:83:dd:ad","Ethernet/IP","2025-10-18T11:56:00.120Z","ON_NETWORK","VLAN-45","true","true"
"GEN-034","Pacific Power","Generation Unit","RTU","192.168.208.61","06:26:84:b6:4d:2d","IEC 61850","2025-10-23T08:11:12.663Z","ON_NETWORK","VLAN-100","true","true"
"GEN-036","Pacific Power","Generation Unit","Protection Relay","192.168.239.83","10:e1:3d:3f:54:84","IEC 61850","2025-10-18T23:40:26.394Z","ON_NETWORK","VLAN-24","true","true"
"GEN-037","Pacific Power","Generation Unit","HMI","192.168.101.182","b2:b9:92:3c:70:0c","IEC 61850","2025-10-18T18:55:57.056Z","ON_NETWORK","VLAN-71","true","true"
"GEN-038","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.103.209","6e:b1:e0:1f:35:07","IEC 61850","2025-10-22T14:22:07.501Z","ON_NETWORK","VLAN-40","true","true"
"GEN-039","Pacific Power","Generation Unit","EMS","192.168.10.164","b7:a6:c9:de:2a:8a","Modbus TCP","2025-10-21T13:13:24.118Z","ON_NETWORK","VLAN-66","true","true"
"GEN-040","Pacific Power","Generation Unit","Grid Controller","192.168.41.145","d4:09:c8:14:3b:6b","Modbus TCP","2025-10-19T01:07:40.393Z","ON_NETWORK","VLAN-82","true","true"
"GEN-041","Pacific Power","Generation Unit","RTU","192.168.198.49","75:ba:98:f4:64:32","IEC 61850","2025-10-20T07:03:52.617Z","ON_NETWORK","VLAN-76","true","true"
"GEN-044","Pacific Power","Generation Unit","SCADA","192.168.46.175","12:e2:6c:62:fe:4f","Modbus TCP","2025-10-21T16:07:31.279Z","ON_NETWORK","VLAN-90","true","true"
"TRA-002","Pacific Power","Transmission","HMI","192.168.212.240","89:9d:96:84:7a:9c","Modbus TCP","2025-10-22T13:49:43.596Z","ON_NETWORK","VLAN-43","true","true"
"TRA-003","Pacific Power","Transmission","SCADA","192.168.251.119","81:70:9f:fd:1e:d2","Modbus TCP","2025-10-18T14:20:55.458Z","ON_NETWORK","VLAN-58","true","true"
"TRA-004","Pacific Power","Transmission","Environmental Monitor","192.168.191.51","10:df:f6:82:9e:a1","IEC 61850","2025-10-21T17:10:12.259Z","ON_NETWORK","VLAN-8","true","true"
"TRA-005","Pacific Power","Transmission","IED","192.168.233.200","a1:45:8d:f0:dc:af","Modbus TCP","2025-10-20T19:34:18.412Z","ON_NETWORK","VLAN-46","true","true"
"TRA-006","Pacific Power","Transmission","Arc Flash Monitor","192.168.238.87","29:01:fc:a8:78:d4","DNP3","2025-10-19T23:13:20.748Z","ON_NETWORK","VLAN-48","true","true"
"TRA-007","Pacific Power","Transmission","EMS","192.168.141.138","da:8f:d7:1d:6a:2e","IEC 61850","2025-10-18T07:00:22.481Z","ON_NETWORK","VLAN-40","true","true"
"TRA-008","Pacific Power","Transmission","Arc Flash Monitor","192.168.202.234","8e:ee:ec:93:76:67","Modbus TCP","2025-10-22T08:29:21.361Z","ON_NETWORK","VLAN-60","true","true"
"TRA-009","Pacific Power","Transmission","Protection Relay","192.168.222.180","59:69:cb:f0:6a:7b","Ethernet/IP","2025-10-20T20:37:43.774Z","ON_NETWORK","VLAN-10","true","true"
"TRA-010","Pacific Power","Transmission","Grid Controller","192.168.231.199","cb:ba:5d:72:14:07","DNP3","2025-10-19T04:55:13.292Z","ON_NETWORK","VLAN-96","true","true"
"TRA-012","Pacific Power","Transmission","Environmental Monitor","192.168.198.8","6c:ca:9e:64:9d:9f","IEC 61850","2025-10-21T15:19:15.972Z","OFF_NETWORK","VLAN-12","true","true"
"TRA-013","Pacific Power","Transmission","DMS","192.168.180.220","05:21:24:41:cf:3a","IEC 61850","2025-10-22T03:13:58.123Z","ON_NETWORK","VLAN-91","true","true"
"TRA-015","Pacific Power","Transmission","EMS","192.168.68.73","c2:9c:c2:2d:61:2f","DNP3","2025-10-19T19:10:56.075Z","ON_NETWORK","VLAN-79","true","true"
"TRA-016","Pacific Power","Transmission","Environmental Monitor","192.168.40.199","9a:20:68:5b:95:3e","Ethernet/IP","2025-10-22T12:22:37.354Z","ON_NETWORK","VLAN-42","true","true"
"TRA-018","Pacific Power","Transmission","Environmental Monitor","192.168.243.144","3f:28:58:69:49:65","IEC 61850","2025-10-20T22:42:30.508Z","ON_NETWORK","VLAN-31","true","true"
"TRA-019","Pacific Power","Transmission","Environmental Monitor","192.168.185.33","b7:70:2e:85:71:59","Ethernet/IP","2025-10-24T12:09:13.301Z","ON_NETWORK","VLAN-35","true","true"
"TRA-020","Pacific Power","Transmission","Arc Flash Monitor","192.168.77.219","8e:05:0b:dd:5c:31","DNP3","2025-10-23T11:28:14.271Z","ON_NETWORK","VLAN-70","true","true"
"TRA-021","Pacific Power","Transmission","EMS","192.168.42.15","e3:af:84:21:21:25","DNP3","2025-10-22T13:51:33.833Z","ON_NETWORK","VLAN-19","true","true"
"TRA-023","Pacific Power","Transmission","Protection Relay","192.168.127.187","17:54:a7:82:a2:d4","Modbus TCP","2025-10-20T03:33:39.111Z","ON_NETWORK","VLAN-44","true","true"
"TRA-024","Pacific Power","Transmission","HMI","192.168.209.198","bc:3e:77:c8:c9:ff","DNP3","2025-10-19T14:42:19.436Z","ON_NETWORK","VLAN-65","true","true"
"TRA-025","Pacific Power","Transmission","Environmental Monitor","192.168.14.46","42:f5:a4:af:d1:58","IEC 61850","2025-10-18T13:46:39.861Z","OFF_NETWORK","VLAN-9","true","true"
"TRA-026","Pacific Power","Transmission","Grid Controller","192.168.58.90","d7:b3:d8:0b:9d:87","IEC 61850","2025-10-20T12:00:56.737Z","ON_NETWORK","VLAN-82","true","true"
"TRA-027","Pacific Power","Transmission","EMS","192.168.138.0","60:07:25:ab:e5:27","DNP3","2025-10-20T22:58:18.645Z","ON_NETWORK","VLAN-41","true","true"
"TRA-028","Pacific Power","Transmission","DMS","192.168.64.139","43:2d:8e:9b:5c:2b","DNP3","2025-10-23T07:35:58.193Z","ON_NETWORK","VLAN-22","true","true"
"TRA-029","Pacific Power","Transmission","SCADA","192.168.25.140","3e:10:13:ed:9e:c1","DNP3","2025-10-19T06:06:53.828Z","ON_NETWORK","VLAN-74","true","true"
"TRA-030","Pacific Power","Transmission","DMS","192.168.202.117","57:07:7f:ea:4f:6e","Modbus TCP","2025-10-20T15:16:11.331Z","ON_NETWORK","VLAN-88","true","true"
"DIS-001","Pacific Power","Distribution","EMS","192.168.149.201","cc:ab:7e:de:17:12","Ethernet/IP","2025-10-24T02:25:24.794Z","ON_NETWORK","VLAN-6","true","false"
"DIS-002","Pacific Power","Distribution","RTU","192.168.89.21","50:66:41:a0:0a:07","IEC 61850","2025-10-24T15:43:21.424Z","ON_NETWORK","VLAN-34","true","false"
"DIS-003","Pacific Power","Distribution","Arc Flash Monitor","192.168.60.241","2d:eb:7d:f3:69:4b","Ethernet/IP","2025-10-23T17:42:17.543Z","ON_NETWORK","VLAN-68","true","false"
"DIS-004","Pacific Power","Distribution","Arc Flash Monitor","192.168.85.210","81:66:1c:0c:5c:93","DNP3","2025-10-23T03:33:22.998Z","ON_NETWORK","VLAN-35","true","false"
"DIS-005","Pacific Power","Distribution","EMS","192.168.250.95","98:bf:29:2c:6c:b9","DNP3","2025-10-19T11:13:20.908Z","OFF_NETWORK","VLAN-13","true","false"
"DIS-007","Pacific Power","Distribution","Environmental Monitor","192.168.145.4","7c:d7:ec:94:5a:e2","IEC 61850","2025-10-20T17:15:42.769Z","ON_NETWORK","VLAN-40","true","false"
"DIS-008","Pacific Power","Distribution","Grid Controller","192.168.53.104","c2:50:29:2d:bf:d3","Modbus TCP","2025-10-18T10:28:21.523Z","ON_NETWORK","VLAN-26","true","false"
"DIS-009","Pacific Power","Distribution","IED","192.168.247.10","28:5d:2b:69:9f:43","Ethernet/IP","2025-10-19T20:43:58.069Z","ON_NETWORK","VLAN-51","true","false"
"DIS-010","Pacific Power","Distribution","Grid Controller","192.168.175.45","f2:b1:6e:e6:ec:1e","DNP3","2025-10-21T16:19:13.322Z","ON_NETWORK","VLAN-57","true","false"
"DIS-011","Pacific Power","Distribution","SCADA","192.168.98.37","2f:5e:07:41:a6:c8","Modbus TCP","2025-10-20T19:56:16.918Z","ON_NETWORK","VLAN-75","true","false"
"DIS-012","Pacific Power","Distribution","Environmental Monitor","192.168.72.26","27:85:88:72:f8:83","Modbus TCP","2025-10-22T08:04:41.713Z","ON_NETWORK","VLAN-50","true","false"
"DIS-013","Pacific Power","Distribution","DMS","192.168.155.53","28:a8:1a:84:43:a1","DNP3","2025-10-24T03:20:51.333Z","ON_NETWORK","VLAN-6","true","false"
"DIS-014","Pacific Power","Distribution","EMS","192.168.100.51","05:4c:c0:d6:37:7c","IEC 61850","2025-10-19T17:17:05.104Z","ON_NETWORK","VLAN-99","true","false"
"DIS-015","Pacific Power","Distribution","IED","192.168.169.143","66:f1:92:f2:e5:82","DNP3","2025-10-18T14:12:56.828Z","ON_NETWORK","VLAN-18","true","false"
"DIS-016","Pacific Power","Distribution","IED","192.168.6.176","e2:cc:6c:8a:4e:79","DNP3","2025-10-17T20:18:17.178Z","ON_NETWORK","VLAN-29","true","false"
"DIS-017","Pacific Power","Distribution","RTU","192.168.127.240","c0:aa:d8:95:45:d0","IEC 61850","2025-10-19T23:43:35.030Z","ON_NETWORK","VLAN-27","true","false"
"DIS-018","Pacific Power","Distribution","EMS","192.168.71.166","b3:24:82:a0:e5:12","Ethernet/IP","2025-10-22T23:57:33.002Z","OFF_NETWORK","VLAN-54","true","false"
"DIS-019","Pacific Power","Distribution","Grid Controller","192.168.242.132","4c:b9:4d:35:39:7a","DNP3","2025-10-20T09:51:48.636Z","ON_NETWORK","VLAN-15","true","false"
"DIS-020","Pacific Power","Distribution","SCADA","192.168.181.223","ca:21:51:43:c0:65","DNP3","2025-10-18T12:26:32.400Z","OFF_NETWORK","VLAN-75","true","false"
"DIS-021","Pacific Power","Distribution","Protection Relay","192.168.59.181","59:e0:09:fc:1d:bd","Ethernet/IP","2025-10-24T02:19:27.885Z","ON_NETWORK","VLAN-50","true","false"
"DIS-023","Pacific Power","Distribution","Grid Controller","192.168.162.24","41:71:0d:89:3d:1c","Modbus TCP","2025-10-18T04:20:52.881Z","ON_NETWORK","VLAN-52","true","false"
"DIS-024","Pacific Power","Distribution","SCADA","192.168.77.240","b6:f1:c8:a8:e4:a0","IEC 61850","2025-10-19T11:30:51.465Z","ON_NETWORK","VLAN-83","true","false"
"DIS-025","Pacific Power","Distribution","EMS","192.168.104.128","67:35:81:c4:cb:69","DNP3","2025-10-17T20:48:39.229Z","ON_NETWORK","VLAN-79","true","false"
"DIS-027","Pacific Power","Distribution","Arc Flash Monitor","192.168.92.120","38:40:56:32:ee:fe","Ethernet/IP","2025-10-20T19:54:46.533Z","ON_NETWORK","VLAN-13","true","false"
"DIS-028","Pacific Power","Distribution","Environmental Monitor","192.168.105.18","3c:84:4e:7f:23:06","IEC 61850","2025-10-18T10:18:59.662Z","ON_NETWORK","VLAN-12","true","false"
"DIS-029","Pacific Power","Distribution","Grid Controller","192.168.154.57","da:47:11:96:a5:c3","Modbus TCP","2025-10-21T08:09:17.914Z","ON_NETWORK","VLAN-96","true","false"
"DIS-030","Pacific Power","Distribution","IED","192.168.61.147","77:e6:a6:76:c4:cf","DNP3","2025-10-24T05:36:32.600Z","ON_NETWORK","VLAN-89","true","false"
"DIS-033","Pacific Power","Distribution","SCADA","192.168.6.138","37:e7:72:14:11:7c","DNP3","2025-10-18T08:08:17.074Z","ON_NETWORK","VLAN-63","true","false"
"DIS-034","Pacific Power","Distribution","Grid Controller","192.168.81.238","b0:b3:7b:8f:4c:8b","DNP3","2025-10-23T07:11:42.518Z","ON_NETWORK","VLAN-26","true","false"
"DIS-035","Pacific Power","Distribution","IED","192.168.245.181","b3:ba:f7:23:e1:61","DNP3","2025-10-21T10:04:06.710Z","ON_NETWORK","VLAN-74","true","false"
"DIS-036","Pacific Power","Distribution","EMS","192.168.30.69","d6:a8:d5:41:5f:7f","IEC 61850","2025-10-22T08:00:00.383Z","ON_NETWORK","VLAN-70","true","false"
"DIS-037","Pacific Power","Distribution","Arc Flash Monitor","192.168.242.213","fe:cd:df:2c:65:3d","Modbus TCP","2025-10-21T23:49:56.357Z","ON_NETWORK","VLAN-55","true","false"
"DIS-038","Pacific Power","Distribution","SCADA","192.168.218.207","a7:5d:12:b7:35:66","Ethernet/IP","2025-10-22T02:15:39.656Z","ON_NETWORK","VLAN-18","true","false"
"DIS-039","Pacific Power","Distribution","SCADA","192.168.154.24","a7:2b:79:41:57:01","Ethernet/IP","2025-10-22T06:59:21.524Z","ON_NETWORK","VLAN-95","true","false"
"DIS-040","Pacific Power","Distribution","DMS","192.168.217.197","90:d1:7d:e4:28:cb","IEC 61850","2025-10-20T08:22:34.560Z","OFF_NETWORK","VLAN-85","true","false"
"DIS-041","Pacific Power","Distribution","IED","192.168.102.16","d9:e1:5f:df:a9:04","IEC 61850","2025-10-22T02:52:06.239Z","ON_NETWORK","VLAN-38","true","false"
"DIS-042","Pacific Power","Distribution","DMS","192.168.87.106","a3:df:10:2d:ce:52","Modbus TCP","2025-10-17T22:52:07.964Z","ON_NETWORK","VLAN-76","true","false"
"DIS-043","Pacific Power","Distribution","Protection Relay","192.168.78.117","aa:6f:53:17:bd:8b","DNP3","2025-10-23T14:28:49.160Z","ON_NETWORK","VLAN-29","true","false"
"DIS-045","Pacific Power","Distribution","SCADA","192.168.196.27","dd:e9:11:02:a6:11","DNP3","2025-10-19T15:28:34.464Z","ON_NETWORK","VLAN-6","true","false"
"DIS-046","Pacific Power","Distribution","HMI","192.168.12.149","81:54:a9:ed:0e:95","Ethernet/IP","2025-10-20T00:14:27.104Z","ON_NETWORK","VLAN-20","true","false"
"DIS-047","Pacific Power","Distribution","SCADA","192.168.6.209","c0:70:18:d1:f0:62","DNP3","2025-10-18T22:06:11.650Z","ON_NETWORK","VLAN-22","true","false"
"DIS-048","Pacific Power","Distribution","RTU","192.168.169.31","e0:ee:a7:c7:29:d3","DNP3","2025-10-22T18:53:18.718Z","OFF_NETWORK","VLAN-85","true","false"
"DIS-049","Pacific Power","Distribution","IED","192.168.65.34","e0:c2:fb:ea:51:9f","Modbus TCP","2025-10-23T15:31:15.620Z","ON_NETWORK","VLAN-10","true","false"
"DIS-050","Pacific Power","Distribution","Grid Controller","192.168.59.174","92:15:57:2e:90:5a","Ethernet/IP","2025-10-20T19:13:05.700Z","ON_NETWORK","VLAN-63","true","false"
"DIS-052","Pacific Power","Distribution","Arc Flash Monitor","192.168.70.224","71:a8:82:e3:a4:c8","IEC 61850","2025-10-18T05:45:12.917Z","ON_NETWORK","VLAN-37","true","false"
"DIS-054","Pacific Power","Distribution","RTU","192.168.210.207","dc:62:4f:11:96:78","IEC 61850","2025-10-22T01:35:06.109Z","ON_NETWORK","VLAN-75","true","false"
"DIS-055","Pacific Power","Distribution","Arc Flash Monitor","192.168.64.229","b5:55:65:5d:3c:78","DNP3","2025-10-24T02:10:58.570Z","ON_NETWORK","VLAN-76","true","false"
"DIS-056","Pacific Power","Distribution","EMS","192.168.29.101","9b:a4:ed:b7:02:1d","DNP3","2025-10-20T01:56:13.081Z","ON_NETWORK","VLAN-32","true","false"
"DIS-057","Pacific Power","Distribution","Protection Relay","192.168.62.211","22:f9:00:95:f5:80","DNP3","2025-10-19T15:38:51.363Z","ON_NETWORK","VLAN-30","true","false"
"DIS-058","Pacific Power","Distribution","Arc Flash Monitor","192.168.178.175","55:c3:98:2a:61:58","IEC 61850","2025-10-24T08:21:09.538Z","ON_NETWORK","VLAN-57","true","false"
"DIS-060","Pacific Power","Distribution","Arc Flash Monitor","192.168.161.82","16:19:72:47:0e:a7","Ethernet/IP","2025-10-17T22:28:46.850Z","ON_NETWORK","VLAN-14","true","false"
"DIS-061","Pacific Power","Distribution","Protection Relay","192.168.37.79","9f:fc:99:7d:d8:2a","Modbus TCP","2025-10-18T05:41:44.987Z","ON_NETWORK","VLAN-65","true","false"
"DIS-062","Pacific Power","Distribution","HMI","192.168.71.180","29:09:88:ae:6d:b4","Modbus TCP","2025-10-19T01:05:14.277Z","ON_NETWORK","VLAN-74","true","false"
"DIS-063","Pacific Power","Distribution","SCADA","192.168.99.202","f1:9f:3f:58:aa:db","Modbus TCP","2025-10-22T08:13:12.978Z","ON_NETWORK","VLAN-14","true","false"
"DIS-066","Pacific Power","Distribution","Grid Controller","192.168.145.166","27:85:78:24:c5:2b","Ethernet/IP","2025-10-24T05:43:35.083Z","OFF_NETWORK","VLAN-60","true","false"
"CON-001","Pacific Power","Control Center","HMI","192.168.161.67","47:7a:c5:78:23:f5","IEC 61850","2025-10-17T20:57:49.994Z","ON_NETWORK","VLAN-77","true","true"
"CON-002","Pacific Power","Control Center","EMS","192.168.157.156","e6:8f:6b:9d:b3:02","Ethernet/IP","2025-10-17T23:47:55.530Z","ON_NETWORK","VLAN-80","true","true"
"CON-003","Pacific Power","Control Center","Grid Controller","192.168.252.205","c6:3a:b0:b5:6d:6e","Ethernet/IP","2025-10-18T18:00:31.712Z","OFF_NETWORK","VLAN-57","true","true"
"CON-004","Pacific Power","Control Center","IED","192.168.74.151","26:35:63:e0:8b:01","Modbus TCP","2025-10-24T09:16:11.578Z","ON_NETWORK","VLAN-8","true","true"
"CON-006","Pacific Power","Control Center","IED","192.168.84.2","4d:a5:76:9b:5c:d1","Ethernet/IP","2025-10-21T03:24:57.060Z","ON_NETWORK","VLAN-6","true","true"
"CON-007","Pacific Power","Control Center","Grid Controller","192.168.2.184","48:da:9b:44:88:5b","IEC 61850","2025-10-21T21:31:58.630Z","ON_NETWORK","VLAN-65","true","true"
"CON-008","Pacific Power","Control Center","Protection Relay","192.168.146.12","ed:1e:8a:71:34:ac","Ethernet/IP","2025-10-19T11:51:42.606Z","ON_NETWORK","VLAN-46","true","true"
"CON-009","Pacific Power","Control Center","RTU","192.168.9.96","b8:59:b1:e3:f5:5e","IEC 61850","2025-10-21T02:37:42.213Z","OFF_NETWORK","VLAN-93","true","true"
"CON-012","Pacific Power","Control Center","IED","192.168.204.156","15:45:c4:be:cc:a8","IEC 61850","2025-10-20T02:13:45.643Z","ON_NETWORK","VLAN-73","true","true"
"CON-013","Pacific Power","Control Center","SCADA","192.168.42.39","be:bc:6d:fc:2b:23","DNP3","2025-10-18T00:17:25.623Z","OFF_NETWORK","VLAN-95","true","true"
"CON-014","Pacific Power","Control Center","EMS","192.168.113.239","df:7b:04:45:d8:48","Modbus TCP","2025-10-20T17:23:03.626Z","ON_NETWORK","VLAN-34","true","true"
"CON-015","Pacific Power","Control Center","Protection Relay","192.168.235.226","85:b5:6d:6d:6b:2f","IEC 61850","2025-10-21T08:17:25.875Z","ON_NETWORK","VLAN-18","true","true"
"CON-016","Pacific Power","Control Center","EMS","192.168.208.5","e7:e3:13:64:e7:8d","IEC 61850","2025-10-23T01:18:35.413Z","ON_NETWORK","VLAN-60","true","true"
"CON-017","Pacific Power","Control Center","SCADA","192.168.107.159","1c:95:22:c5:1b:45","Modbus TCP","2025-10-21T08:12:29.366Z","ON_NETWORK","VLAN-42","true","true"
"CON-019","Pacific Power","Control Center","Protection Relay","192.168.238.168","79:e5:12:3d:a4:7d","Ethernet/IP","2025-10-24T13:57:13.010Z","ON_NETWORK","VLAN-10","true","true"
"CON-020","Pacific Power","Control Center","DMS","192.168.74.218","9b:ac:b7:29:97:f1","Ethernet/IP","2025-10-19T19:18:00.745Z","ON_NETWORK","VLAN-16","true","true"
"CON-021","Pacific Power","Control Center","SCADA","192.168.121.7","e6:b9:1f:60:fa:a6","Ethernet/IP","2025-10-19T17:10:25.516Z","ON_NETWORK","VLAN-100","true","true"
"CON-022","Pacific Power","Control Center","Grid Controller","192.168.162.134","d1:73:9c:92:ec:8f","DNP3","2025-10-23T20:30:22.943Z","ON_NETWORK","VLAN-63","true","true"
"CON-024","Pacific Power","Control Center","DMS","192.168.76.3","a0:db:b3:6f:be:53","Modbus TCP","2025-10-18T06:18:02.150Z","ON_NETWORK","VLAN-33","true","true"
"CON-025","Pacific Power","Control Center","EMS","192.168.223.152","2a:0d:ef:1f:40:f5","Modbus TCP","2025-10-20T23:17:42.673Z","ON_NETWORK","VLAN-57","true","true"
"CON-026","Pacific Power","Control Center","Grid Controller","192.168.189.46","d3:bd:e3:d6:25:05","Modbus TCP","2025-10-22T17:38:35.949Z","ON_NETWORK","VLAN-8","true","true"
"CON-027","Pacific Power","Control Center","HMI","192.168.65.128","e7:6b:1d:b6:15:ad","DNP3","2025-10-18T15:29:39.983Z","ON_NETWORK","VLAN-5","true","true"
"CON-028","Pacific Power","Control Center","HMI","192.168.72.114","c4:fb:f4:aa:d8:9f","Modbus TCP","2025-10-21T18:04:42.061Z","ON_NETWORK","VLAN-88","true","true"
"CON-029","Pacific Power","Control Center","Grid Controller","192.168.250.7","0f:49:18:a5:b9:18","DNP3","2025-10-18T15:15:43.545Z","ON_NETWORK","VLAN-80","true","true"
"CON-030","Pacific Power","Control Center","EMS","192.168.125.64","c9:0f:c6:17:60:8e","Modbus TCP","2025-10-18T22:13:42.604Z","ON_NETWORK","VLAN-60","true","true"
"CON-033","Pacific Power","Control Center","Protection Relay","192.168.7.210","4c:f7:da:c0:0f:15","DNP3","2025-10-21T01:14:35.792Z","ON_NETWORK","VLAN-33","true","true"
"CON-034","Pacific Power","Control Center","RTU","192.168.91.2","74:7e:f5:7b:ee:75","DNP3","2025-10-19T23:32:57.125Z","ON_NETWORK","VLAN-58","true","true"
"CON-035","Pacific Power","Control Center","IED","192.168.147.155","45:25:09:ed:4a:af","DNP3","2025-10-23T15:57:07.695Z","ON_NETWORK","VLAN-54","true","true"
"CON-036","Pacific Power","Control Center","Environmental Monitor","192.168.200.66","e3:49:ac:16:91:bd","DNP3","2025-10-22T09:19:13.694Z","ON_NETWORK","VLAN-31","true","true"
"CON-037","Pacific Power","Control Center","Environmental Monitor","192.168.149.202","bf:84:43:9a:c8:67","DNP3","2025-10-19T18:11:53.539Z","ON_NETWORK","VLAN-50","true","true"
"CON-040","Pacific Power","Control Center","RTU","192.168.17.32","f0:1c:10:46:49:24","DNP3","2025-10-23T01:00:31.980Z","ON_NETWORK","VLAN-68","true","true"
"CON-041","Pacific Power","Control Center","Arc Flash Monitor","192.168.211.89","ae:2b:33:0c:ea:00","IEC 61850","2025-10-22T03:06:19.212Z","ON_NETWORK","VLAN-18","true","true"
"CON-042","Pacific Power","Control Center","IED","192.168.19.199","c5:4f:d1:4f:9f:de","IEC 61850","2025-10-24T07:30:34.916Z","ON_NETWORK","VLAN-24","true","true"
