tag_id,plant,unit,uptime_pct_30d,alarm_count_30d,bad_quality_count_30d
HYD_CO_0142,Texas City Complex,Hydrotreater,96.1,6,6
ISO_FL_0143,Baytown Refinery,Isomerization Unit,98.3,3,6
CRU_AN_0144,Gulf Coast Refinery,Crude Distillation Unit (CDU),95.2,4,4
FLU_SA_0145,Texas City Complex,Fluid Catalytic Cracking (FCC),99.7,14,8
HYD_CO_0146,Baytown Refinery,Hydrocracking Unit (HCU),97.8,11,3
REF_TU_0147,Gulf Coast Refinery,Reformer Unit,94.9,13,6
ALK_TA_0148,Texas City Complex,Alkylation Unit,96.7,4,3
COK_FI_0149,Baytown Refinery,Coker Unit,96.9,8,8
HYD_DC_0150,Gulf Coast Refinery,Hydrotreater,98.2,6,3
ISO_SA_0151,Texas City Complex,Isomerization Unit,96.1,16,4
CRU_FI_0152,Baytown Refinery,Crude Distillation Unit (CDU),98.2,14,2
FLU_HM_0153,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),94.3,2,1
HYD_HI_0154,Texas City Complex,Hydrocracking Unit (HCU),95.9,6,5
REF_VF_0155,Baytown Refinery,Reformer Unit,96.2,12,3
ALK_SM_0156,Gulf Coast Refinery,Alkylation Unit,97.2,5,5
COK_CO_0157,Texas City Complex,Coker Unit,94.3,1,6
HYD_FL_0158,Baytown Refinery,Hydrotreater,98.0,6,0
ISO_AN_0159,Gulf Coast Refinery,Isomerization Unit,97.1,1,5
CRU_SA_0160,Texas City Complex,Crude Distillation Unit (CDU),98.6,8,3
FLU_CO_0161,Baytown Refinery,Fluid Catalytic Cracking (FCC),94.2,13,6
HYD_TU_0162,Gulf Coast Refinery,Hydrocracking Unit (HCU),97.6,4,1
REF_TA_0163,Texas City Complex,Reformer Unit,99.4,10,4
ALK_FI_0164,Baytown Refinery,Alkylation Unit,94.1,9,7
COK_DC_0165,Gulf Coast Refinery,Coker Unit,98.3,8,0
HYD_SA_0166,Texas City Complex,Hydrotreater,94.5,8,1
ISO_FI_0167,Baytown Refinery,Isomerization Unit,99.1,13,1
CRU_HM_0168,Gulf Coast Refinery,Crude Distillation Unit (CDU),99.0,11,3
FLU_HI_0169,Texas City Complex,Fluid Catalytic Cracking (FCC),96.2,9,1
HYD_VF_0170,Baytown Refinery,Hydrocracking Unit (HCU),99.2,6,1
REF_SM_0171,Gulf Coast Refinery,Reformer Unit,99.0,8,4
ALK_CO_0172,Texas City Complex,Alkylation Unit,99.0,6,4
COK_FL_0173,Baytown Refinery,Coker Unit,94.6,10,6
HYD_AN_0174,Gulf Coast Refinery,Hydrotreater,96.9,10,3
ISO_SA_0175,Texas City Complex,Isomerization Unit,95.9,18,3
CRU_CO_0176,Baytown Refinery,Crude Distillation Unit (CDU),99.1,0,0
FLU_TU_0177,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),96.7,11,0
HYD_TA_0178,Texas City Complex,Hydrocracking Unit (HCU),97.1,9,1
REF_FI_0179,Baytown Refinery,Reformer Unit,99.6,5,2
ALK_DC_0180,Gulf Coast Refinery,Alkylation Unit,96.0,14,6
COK_SA_0181,Texas City Complex,Coker Unit,98.0,6,6
HYD_FI_0182,Baytown Refinery,Hydrotreater,96.8,14,3
ISO_HM_0183,Gulf Coast Refinery,Isomerization Unit,95.7,9,4
CRU_HI_0184,Texas City Complex,Crude Distillation Unit (CDU),96.6,2,6
FLU_VF_0185,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.1,2,4
HYD_SM_0186,Gulf Coast Refinery,Hydrocracking Unit (HCU),99.1,5,6
REF_CO_0187,Texas City Complex,Reformer Unit,96.6,13,4
ALK_FL_0188,Baytown Refinery,Alkylation Unit,94.8,6,7
COK_AN_0189,Gulf Coast Refinery,Coker Unit,99.6,5,5
HYD_SA_0190,Texas City Complex,Hydrotreater,98.5,7,4
ISO_CO_0191,Baytown Refinery,Isomerization Unit,97.0,2,4
CRU_TU_0192,Gulf Coast Refinery,Crude Distillation Unit (CDU),99.0,11,7
FLU_TA_0193,Texas City Complex,Fluid Catalytic Cracking (FCC),99.7,4,5
HYD_FI_0194,Baytown Refinery,Hydrocracking Unit (HCU),94.4,4,3
REF_DC_0195,Gulf Coast Refinery,Reformer Unit,97.4,11,5
ALK_SA_0196,Texas City Complex,Alkylation Unit,95.2,14,4
COK_FI_0197,Baytown Refinery,Coker Unit,96.9,9,7
HYD_HM_0198,Gulf Coast Refinery,Hydrotreater,96.1,8,0
ISO_HI_0199,Texas City Complex,Isomerization Unit,96.7,8,3
CRU_VF_0200,Baytown Refinery,Crude Distillation Unit (CDU),97.9,6,7
FLU_SM_0201,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),96.3,1,2
HYD_CO_0202,Texas City Complex,Hydrocracking Unit (HCU),98.4,8,3
REF_FL_0203,Baytown Refinery,Reformer Unit,95.5,2,5
ALK_AN_0204,Gulf Coast Refinery,Alkylation Unit,96.0,7,6
COK_SA_0205,Texas City Complex,Coker Unit,96.1,14,4
HYD_CO_0206,Baytown Refinery,Hydrotreater,99.7,6,7
ISO_TU_0207,Gulf Coast Refinery,Isomerization Unit,96.8,2,4
CRU_TA_0208,Texas City Complex,Crude Distillation Unit (CDU),98.7,7,0
FLU_FI_0209,Baytown Refinery,Fluid Catalytic Cracking (FCC),94.4,3,4
HYD_DC_0210,Gulf Coast Refinery,Hydrocracking Unit (HCU),94.1,13,5
REF_SA_0211,Texas City Complex,Reformer Unit,99.5,10,4
ALK_FI_0212,Baytown Refinery,Alkylation Unit,99.3,5,5
COK_HM_0213,Gulf Coast Refinery,Coker Unit,99.2,0,0
HYD_HI_0214,Texas City Complex,Hydrotreater,96.1,1,4
ISO_VF_0215,Baytown Refinery,Isomerization Unit,95.2,4,0
CRU_SM_0216,Gulf Coast Refinery,Crude Distillation Unit (CDU),94.4,2,0
FLU_CO_0217,Texas City Complex,Fluid Catalytic Cracking (FCC),99.4,14,1
HYD_FL_0218,Baytown Refinery,Hydrocracking Unit (HCU),99.6,5,8
REF_AN_0219,Gulf Coast Refinery,Reformer Unit,99.3,0,4
ALK_SA_0220,Texas City Complex,Alkylation Unit,98.7,14,1
COK_CO_0221,Baytown Refinery,Coker Unit,95.4,7,1
HYD_TU_0222,Gulf Coast Refinery,Hydrotreater,98.9,0,5
ISO_TA_0223,Texas City Complex,Isomerization Unit,99.3,3,1
CRU_FI_0224,Baytown Refinery,Crude Distillation Unit (CDU),96.9,13,7
FLU_DC_0225,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),97.3,7,2
HYD_SA_0226,Texas City Complex,Hydrocracking Unit (HCU),98.4,18,7
REF_FI_0227,Baytown Refinery,Reformer Unit,96.5,7,6
ALK_HM_0228,Gulf Coast Refinery,Alkylation Unit,98.9,12,6
COK_HI_0229,Texas City Complex,Coker Unit,98.7,7,6
HYD_VF_0230,Baytown Refinery,Hydrotreater,95.3,14,5
ISO_SM_0231,Gulf Coast Refinery,Isomerization Unit,97.9,7,8
CRU_CO_0232,Texas City Complex,Crude Distillation Unit (CDU),97.8,7,0
FLU_FL_0233,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.9,8,4
HYD_AN_0234,Gulf Coast Refinery,Hydrocracking Unit (HCU),97.7,12,4
REF_SA_0235,Texas City Complex,Reformer Unit,95.6,18,1
ALK_CO_0236,Baytown Refinery,Alkylation Unit,99.1,9,5
COK_TU_0237,Gulf Coast Refinery,Coker Unit,94.9,10,6
HYD_TA_0238,Texas City Complex,Hydrotreater,94.1,3,5
ISO_FI_0239,Baytown Refinery,Isomerization Unit,97.4,17,7
CRU_DC_0240,Gulf Coast Refinery,Crude Distillation Unit (CDU),95.5,19,2
FLU_SA_0241,Texas City Complex,Fluid Catalytic Cracking (FCC),99.5,20,6
HYD_FI_0242,Baytown Refinery,Hydrocracking Unit (HCU),97.0,4,5
REF_HM_0243,Gulf Coast Refinery,Reformer Unit,97.4,7,7
ALK_HI_0244,Texas City Complex,Alkylation Unit,98.4,18,2
COK_VF_0245,Baytown Refinery,Coker Unit,98.4,4,3
HYD_SM_0246,Gulf Coast Refinery,Hydrotreater,99.6,13,5
ISO_CO_0247,Texas City Complex,Isomerization Unit,96.5,19,4
CRU_FL_0248,Baytown Refinery,Crude Distillation Unit (CDU),96.1,4,6
FLU_AN_0249,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),95.7,6,3
HYD_SA_0250,Texas City Complex,Hydrocracking Unit (HCU),98.0,12,3
REF_CO_0251,Baytown Refinery,Reformer Unit,95.5,1,3
ALK_TU_0252,Gulf Coast Refinery,Alkylation Unit,97.0,3,8
COK_TA_0253,Texas City Complex,Coker Unit,97.7,11,3
HYD_FI_0254,Baytown Refinery,Hydrotreater,94.0,13,1
ISO_DC_0255,Gulf Coast Refinery,Isomerization Unit,95.4,10,3
CRU_SA_0256,Texas City Complex,Crude Distillation Unit (CDU),96.6,10,1
FLU_FI_0257,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.8,3,3
HYD_HM_0258,Gulf Coast Refinery,Hydrocracking Unit (HCU),97.0,9,3
REF_HI_0259,Texas City Complex,Reformer Unit,99.0,19,2
ALK_VF_0260,Baytown Refinery,Alkylation Unit,99.6,2,0
COK_SM_0261,Gulf Coast Refinery,Coker Unit,94.7,6,4
HYD_CO_0262,Texas City Complex,Hydrotreater,99.8,13,5
ISO_FL_0263,Baytown Refinery,Isomerization Unit,94.8,5,6
CRU_AN_0264,Gulf Coast Refinery,Crude Distillation Unit (CDU),94.2,14,8
FLU_SA_0265,Texas City Complex,Fluid Catalytic Cracking (FCC),98.8,3,7
HYD_CO_0266,Baytown Refinery,Hydrocracking Unit (HCU),94.1,4,3
REF_TU_0267,Gulf Coast Refinery,Reformer Unit,95.8,11,2
ALK_TA_0268,Texas City Complex,Alkylation Unit,99.8,20,5
COK_FI_0269,Baytown Refinery,Coker Unit,98.3,3,2
HYD_DC_0270,Gulf Coast Refinery,Hydrotreater,98.5,8,5
ISO_SA_0271,Texas City Complex,Isomerization Unit,98.9,11,7
CRU_FI_0272,Baytown Refinery,Crude Distillation Unit (CDU),96.6,8,7
FLU_HM_0273,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),94.3,6,8
HYD_HI_0274,Texas City Complex,Hydrocracking Unit (HCU),98.8,17,2
REF_VF_0275,Baytown Refinery,Reformer Unit,94.5,11,1
ALK_SM_0276,Gulf Coast Refinery,Alkylation Unit,98.1,4,0
COK_CO_0277,Texas City Complex,Coker Unit,97.0,14,3
HYD_FL_0278,Baytown Refinery,Hydrotreater,97.8,18,4
ISO_AN_0279,Gulf Coast Refinery,Isomerization Unit,96.0,1,8
CRU_SA_0280,Texas City Complex,Crude Distillation Unit (CDU),98.7,19,2
FLU_CO_0281,Baytown Refinery,Fluid Catalytic Cracking (FCC),94.7,9,6
HYD_TU_0282,Gulf Coast Refinery,Hydrocracking Unit (HCU),95.4,7,7
REF_TA_0283,Texas City Complex,Reformer Unit,98.8,12,2
ALK_FI_0284,Baytown Refinery,Alkylation Unit,97.0,12,6
COK_DC_0285,Gulf Coast Refinery,Coker Unit,95.4,12,6
HYD_SA_0286,Texas City Complex,Hydrotreater,95.5,8,3
ISO_FI_0287,Baytown Refinery,Isomerization Unit,99.6,10,2
CRU_HM_0288,Gulf Coast Refinery,Crude Distillation Unit (CDU),95.7,4,0
FLU_HI_0289,Texas City Complex,Fluid Catalytic Cracking (FCC),95.7,1,5
HYD_VF_0290,Baytown Refinery,Hydrocracking Unit (HCU),97.4,9,6
REF_SM_0291,Gulf Coast Refinery,Reformer Unit,97.9,0,3
ALK_CO_0292,Texas City Complex,Alkylation Unit,98.0,12,7
COK_FL_0293,Baytown Refinery,Coker Unit,98.2,9,1
HYD_AN_0294,Gulf Coast Refinery,Hydrotreater,94.9,9,5
ISO_SA_0295,Texas City Complex,Isomerization Unit,99.2,17,7
CRU_CO_0296,Baytown Refinery,Crude Distillation Unit (CDU),97.0,13,4
FLU_TU_0297,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),98.3,7,3
HYD_TA_0298,Texas City Complex,Hydrocracking Unit (HCU),98.2,5,6
REF_FI_0299,Baytown Refinery,Reformer Unit,96.6,0,5
ALK_DC_0300,Gulf Coast Refinery,Alkylation Unit,98.1,15,7
COK_SA_0301,Texas City Complex,Coker Unit,97.6,13,4
HYD_FI_0302,Baytown Refinery,Hydrotreater,96.5,7,0
ISO_HM_0303,Gulf Coast Refinery,Isomerization Unit,98.2,5,4
CRU_HI_0304,Texas City Complex,Crude Distillation Unit (CDU),97.8,17,3
FLU_VF_0305,Baytown Refinery,Fluid Catalytic Cracking (FCC),99.2,17,2
HYD_SM_0306,Gulf Coast Refinery,Hydrocracking Unit (HCU),96.5,6,4
REF_CO_0307,Texas City Complex,Reformer Unit,97.8,18,1
ALK_FL_0308,Baytown Refinery,Alkylation Unit,99.9,7,3
COK_AN_0309,Gulf Coast Refinery,Coker Unit,99.9,5,8
HYD_SA_0310,Texas City Complex,Hydrotreater,96.4,12,8
ISO_CO_0311,Baytown Refinery,Isomerization Unit,97.4,1,6
CRU_TU_0312,Gulf Coast Refinery,Crude Distillation Unit (CDU),94.2,3,3
FLU_TA_0313,Texas City Complex,Fluid Catalytic Cracking (FCC),99.3,12,1
HYD_FI_0314,Baytown Refinery,Hydrocracking Unit (HCU),94.7,17,7
REF_DC_0315,Gulf Coast Refinery,Reformer Unit,98.1,13,2
ALK_SA_0316,Texas City Complex,Alkylation Unit,99.2,13,4
COK_FI_0317,Baytown Refinery,Coker Unit,99.9,14,4
HYD_HM_0318,Gulf Coast Refinery,Hydrotreater,99.6,13,5
ISO_HI_0319,Texas City Complex,Isomerization Unit,96.4,8,7
CRU_VF_0320,Baytown Refinery,Crude Distillation Unit (CDU),97.2,10,3
FLU_SM_0321,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),97.7,5,5
HYD_CO_0322,Texas City Complex,Hydrocracking Unit (HCU),98.1,4,0
REF_FL_0323,Baytown Refinery,Reformer Unit,97.9,2,0
ALK_AN_0324,Gulf Coast Refinery,Alkylation Unit,95.9,11,0
COK_SA_0325,Texas City Complex,Coker Unit,98.4,9,6
HYD_CO_0326,Baytown Refinery,Hydrotreater,98.5,1,4
ISO_TU_0327,Gulf Coast Refinery,Isomerization Unit,94.6,12,4
CRU_TA_0328,Texas City Complex,Crude Distillation Unit (CDU),97.1,7,3
FLU_FI_0329,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.2,13,1
HYD_DC_0330,Gulf Coast Refinery,Hydrocracking Unit (HCU),99.9,19,4
REF_SA_0331,Texas City Complex,Reformer Unit,97.3,10,4
ALK_FI_0332,Baytown Refinery,Alkylation Unit,98.7,4,3
COK_HM_0333,Gulf Coast Refinery,Coker Unit,95.6,10,1
HYD_HI_0334,Texas City Complex,Hydrotreater,97.4,5,3
ISO_VF_0335,Baytown Refinery,Isomerization Unit,94.8,11,6
CRU_SM_0336,Gulf Coast Refinery,Crude Distillation Unit (CDU),97.9,11,4
FLU_CO_0337,Texas City Complex,Fluid Catalytic Cracking (FCC),95.3,13,6
HYD_FL_0338,Baytown Refinery,Hydrocracking Unit (HCU),99.5,11,7
REF_AN_0339,Gulf Coast Refinery,Reformer Unit,98.8,10,6
ALK_SA_0340,Texas City Complex,Alkylation Unit,96.9,8,4
COK_CO_0341,Baytown Refinery,Coker Unit,99.6,4,3
HYD_TU_0342,Gulf Coast Refinery,Hydrotreater,99.8,1,3
ISO_TA_0343,Texas City Complex,Isomerization Unit,95.1,19,2
CRU_FI_0344,Baytown Refinery,Crude Distillation Unit (CDU),98.3,7,7
FLU_DC_0345,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),95.7,8,5
HYD_SA_0346,Texas City Complex,Hydrocracking Unit (HCU),95.3,8,6
REF_FI_0347,Baytown Refinery,Reformer Unit,96.4,19,5
ALK_HM_0348,Gulf Coast Refinery,Alkylation Unit,97.3,1,6
COK_HI_0349,Texas City Complex,Coker Unit,98.8,7,5
HYD_VF_0350,Baytown Refinery,Hydrotreater,96.2,9,4
ISO_SM_0351,Gulf Coast Refinery,Isomerization Unit,99.2,16,2
CRU_CO_0352,Texas City Complex,Crude Distillation Unit (CDU),97.5,11,7
FLU_FL_0353,Baytown Refinery,Fluid Catalytic Cracking (FCC),94.1,16,6
HYD_AN_0354,Gulf Coast Refinery,Hydrocracking Unit (HCU),98.8,13,1
REF_SA_0355,Texas City Complex,Reformer Unit,94.9,20,3
ALK_CO_0356,Baytown Refinery,Alkylation Unit,94.5,5,8
COK_TU_0357,Gulf Coast Refinery,Coker Unit,94.1,11,8
HYD_TA_0358,Texas City Complex,Hydrotreater,97.8,2,7
ISO_FI_0359,Baytown Refinery,Isomerization Unit,99.9,5,3
