tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,gmp_critical,fda21cfr11,batch_tracking
"FOR-021","Boston Pharma","Formulation","Environmental Monitor","Critical","Environmental Monitor for Formulation operations","Emerson","EnvironmentalMonitor-4844","Formulation - Batch 3","true","true","true"
"FOR-022","Boston Pharma","Formulation","Environmental Monitor","Critical","Environmental Monitor for Formulation operations","Emerson","EnvironmentalMonitor-2445","Formulation - Batch 4","true","true","true"
"FOR-023","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Emerson","PLC-2166","Formulation - Batch 9","true","true","true"
"FOR-024","Boston Pharma","Formulation","Batch Controller","Critical","Batch Controller for Formulation operations","Schneider","BatchController-3564","Formulation - Batch 8","true","true","true"
"FOR-025","Boston Pharma","Formulation","SCADA","Critical","SCADA for Formulation operations","Siemens","SCADA-2668","Formulation - Batch 5","true","true","true"
"FOR-026","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Siemens","HMI-7155","Formulation - Batch 10","true","true","true"
"FOR-027","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Honeywell","HMI-6348","Formulation - Batch 6","true","true","true"
"FOR-028","Boston Pharma","Formulation","Temperature Controller","Critical","Temperature Controller for Formulation operations","Rockwell","TemperatureController-4868","Formulation - Batch 8","true","true","true"
"FOR-029","Boston Pharma","Formulation","Safety PLC","Critical","Safety PLC for Formulation operations","Honeywell","SafetyPLC-2408","Formulation - Batch 7","true","true","true"
"FOR-030","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Schneider","HMI-1194","Formulation - Batch 9","true","true","true"
"FOR-031","Boston Pharma","Formulation","Serialization System","Critical","Serialization System for Formulation operations","Emerson","SerializationSystem-7689","Formulation - Batch 7","true","true","true"
"FOR-032","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Rockwell","HMI-6701","Formulation - Batch 8","true","true","true"
"FOR-033","Boston Pharma","Formulation","Temperature Controller","Critical","Temperature Controller for Formulation operations","Siemens","TemperatureController-9327","Formulation - Batch 2","true","true","true"
"FOR-034","Boston Pharma","Formulation","Environmental Monitor","Critical","Environmental Monitor for Formulation operations","Siemens","EnvironmentalMonitor-9176","Formulation - Batch 8","true","true","true"
"FOR-035","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Honeywell","PLC-2146","Formulation - Batch 5","true","true","true"
"FOR-036","Boston Pharma","Formulation","Temperature Controller","Critical","Temperature Controller for Formulation operations","Emerson","TemperatureController-9749","Formulation - Batch 6","true","true","true"
"FOR-037","Boston Pharma","Formulation","SCADA","Critical","SCADA for Formulation operations","Emerson","SCADA-7655","Formulation - Batch 8","true","true","true"
"FOR-038","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Siemens","PLC-9738","Formulation - Batch 1","true","true","true"
"FOR-039","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Emerson","PLC-2885","Formulation - Batch 4","true","true","true"
"FOR-040","Boston Pharma","Formulation","Safety PLC","Critical","Safety PLC for Formulation operations","Emerson","SafetyPLC-2733","Formulation - Batch 6","true","true","true"
"FOR-041","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Emerson","PLC-1270","Formulation - Batch 8","true","true","true"
"FOR-042","Boston Pharma","Formulation","LIMS","Critical","LIMS for Formulation operations","Rockwell","LIMS-7410","Formulation - Batch 2","true","true","true"
"FOR-043","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Honeywell","HMI-4380","Formulation - Batch 4","true","true","true"
"FOR-044","Boston Pharma","Formulation","Serialization System","Critical","Serialization System for Formulation operations","Emerson","SerializationSystem-7681","Formulation - Batch 3","true","true","true"
"FOR-045","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Rockwell","PLC-1695","Formulation - Batch 4","true","true","true"
"FOR-046","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Siemens","HMI-7775","Formulation - Batch 1","true","true","true"
"PAC-001","Boston Pharma","Packaging","Serialization System","High","Serialization System for Packaging operations","Emerson","SerializationSystem-2156","Packaging - Batch 5","false","true","true"
"PAC-002","Boston Pharma","Packaging","MES","High","MES for Packaging operations","Schneider","MES-2273","Packaging - Batch 6","false","true","true"
"PAC-003","Boston Pharma","Packaging","HMI","High","HMI for Packaging operations","Rockwell","HMI-7270","Packaging - Batch 7","false","true","true"
"PAC-004","Boston Pharma","Packaging","Safety PLC","High","Safety PLC for Packaging operations","Emerson","SafetyPLC-2947","Packaging - Batch 10","false","true","true"
"PAC-005","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Honeywell","SCADA-4146","Packaging - Batch 7","false","true","true"
"PAC-006","Boston Pharma","Packaging","HMI","High","HMI for Packaging operations","Schneider","HMI-4455","Packaging - Batch 5","false","true","true"
"PAC-007","Boston Pharma","Packaging","Safety PLC","High","Safety PLC for Packaging operations","Honeywell","SafetyPLC-3635","Packaging - Batch 2","false","true","true"
"PAC-008","Boston Pharma","Packaging","Serialization System","High","Serialization System for Packaging operations","Siemens","SerializationSystem-8395","Packaging - Batch 2","false","true","true"
"PAC-009","Boston Pharma","Packaging","MES","High","MES for Packaging operations","Siemens","MES-6838","Packaging - Batch 6","false","true","true"
"PAC-010","Boston Pharma","Packaging","Environmental Monitor","High","Environmental Monitor for Packaging operations","Honeywell","EnvironmentalMonitor-9716","Packaging - Batch 4","false","true","true"
"PAC-011","Boston Pharma","Packaging","PLC","High","PLC for Packaging operations","Schneider","PLC-3801","Packaging - Batch 6","false","true","true"
"PAC-012","Boston Pharma","Packaging","HMI","High","HMI for Packaging operations","Emerson","HMI-2778","Packaging - Batch 2","false","true","true"
"PAC-013","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Honeywell","SCADA-7236","Packaging - Batch 8","false","true","true"
"PAC-014","Boston Pharma","Packaging","Serialization System","High","Serialization System for Packaging operations","Siemens","SerializationSystem-6917","Packaging - Batch 4","false","true","true"
"PAC-015","Boston Pharma","Packaging","Temperature Controller","High","Temperature Controller for Packaging operations","Rockwell","TemperatureController-3730","Packaging - Batch 5","false","true","true"
"PAC-016","Boston Pharma","Packaging","Environmental Monitor","High","Environmental Monitor for Packaging operations","Honeywell","EnvironmentalMonitor-8750","Packaging - Batch 9","false","true","true"
"PAC-017","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Emerson","SCADA-5259","Packaging - Batch 4","false","true","true"
"PAC-018","Boston Pharma","Packaging","Environmental Monitor","High","Environmental Monitor for Packaging operations","Schneider","EnvironmentalMonitor-9669","Packaging - Batch 5","false","true","true"
"PAC-019","Boston Pharma","Packaging","PLC","High","PLC for Packaging operations","Schneider","PLC-8796","Packaging - Batch 9","false","true","true"
"PAC-020","Boston Pharma","Packaging","Environmental Monitor","High","Environmental Monitor for Packaging operations","Rockwell","EnvironmentalMonitor-3418","Packaging - Batch 7","false","true","true"
"PAC-021","Boston Pharma","Packaging","Safety PLC","High","Safety PLC for Packaging operations","Rockwell","SafetyPLC-1178","Packaging - Batch 5","false","true","true"
"PAC-022","Boston Pharma","Packaging","MES","High","MES for Packaging operations","Siemens","MES-1044","Packaging - Batch 2","false","true","true"
"PAC-023","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Rockwell","SCADA-5903","Packaging - Batch 5","false","true","true"
"PAC-024","Boston Pharma","Packaging","Safety PLC","High","Safety PLC for Packaging operations","Honeywell","SafetyPLC-4128","Packaging - Batch 1","false","true","true"
"PAC-025","Boston Pharma","Packaging","Serialization System","High","Serialization System for Packaging operations","Honeywell","SerializationSystem-1043","Packaging - Batch 2","false","true","true"
"PAC-026","Boston Pharma","Packaging","HMI","High","HMI for Packaging operations","Siemens","HMI-3266","Packaging - Batch 9","false","true","true"
"PAC-027","Boston Pharma","Packaging","PLC","High","PLC for Packaging operations","Rockwell","PLC-4084","Packaging - Batch 9","false","true","true"
"PAC-028","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Rockwell","SCADA-5943","Packaging - Batch 3","false","true","true"
"PAC-029","Boston Pharma","Packaging","LIMS","High","LIMS for Packaging operations","Schneider","LIMS-7057","Packaging - Batch 8","false","true","true"
"PAC-030","Boston Pharma","Packaging","Temperature Controller","High","Temperature Controller for Packaging operations","Schneider","TemperatureController-1370","Packaging - Batch 8","false","true","true"
"PAC-031","Boston Pharma","Packaging","PLC","High","PLC for Packaging operations","Emerson","PLC-6166","Packaging - Batch 4","false","true","true"
"PAC-032","Boston Pharma","Packaging","Environmental Monitor","High","Environmental Monitor for Packaging operations","Siemens","EnvironmentalMonitor-1660","Packaging - Batch 10","false","true","true"
"PAC-033","Boston Pharma","Packaging","Serialization System","High","Serialization System for Packaging operations","Honeywell","SerializationSystem-2098","Packaging - Batch 7","false","true","true"
"PAC-034","Boston Pharma","Packaging","PLC","High","PLC for Packaging operations","Emerson","PLC-8174","Packaging - Batch 2","false","true","true"
"PAC-035","Boston Pharma","Packaging","Serialization System","High","Serialization System for Packaging operations","Emerson","SerializationSystem-7658","Packaging - Batch 7","false","true","true"
"PAC-036","Boston Pharma","Packaging","LIMS","High","LIMS for Packaging operations","Schneider","LIMS-2431","Packaging - Batch 5","false","true","true"
"PAC-037","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Honeywell","SCADA-9066","Packaging - Batch 3","false","true","true"
"PAC-038","Boston Pharma","Packaging","LIMS","High","LIMS for Packaging operations","Schneider","LIMS-5500","Packaging - Batch 8","false","true","true"
"PAC-039","Boston Pharma","Packaging","Temperature Controller","High","Temperature Controller for Packaging operations","Siemens","TemperatureController-5269","Packaging - Batch 1","false","true","true"
"PAC-040","Boston Pharma","Packaging","SCADA","High","SCADA for Packaging operations","Rockwell","SCADA-9812","Packaging - Batch 5","false","true","true"
"PAC-041","Boston Pharma","Packaging","HMI","High","HMI for Packaging operations","Emerson","HMI-8443","Packaging - Batch 8","false","true","true"
"QUA-001","Boston Pharma","Quality Control Lab","LIMS","Critical","LIMS for Quality Control Lab operations","Rockwell","LIMS-5468","Quality Control Lab - Batch 1","true","true","false"
"QUA-002","Boston Pharma","Quality Control Lab","Safety PLC","Critical","Safety PLC for Quality Control Lab operations","Schneider","SafetyPLC-4703","Quality Control Lab - Batch 5","true","true","false"
"QUA-003","Boston Pharma","Quality Control Lab","Safety PLC","Critical","Safety PLC for Quality Control Lab operations","Emerson","SafetyPLC-7540","Quality Control Lab - Batch 10","true","true","false"
"QUA-004","Boston Pharma","Quality Control Lab","PLC","Critical","PLC for Quality Control Lab operations","Siemens","PLC-2408","Quality Control Lab - Batch 3","true","true","false"
"QUA-005","Boston Pharma","Quality Control Lab","HMI","Critical","HMI for Quality Control Lab operations","Rockwell","HMI-3459","Quality Control Lab - Batch 4","true","true","false"
"QUA-006","Boston Pharma","Quality Control Lab","Serialization System","Critical","Serialization System for Quality Control Lab operations","Siemens","SerializationSystem-5592","Quality Control Lab - Batch 5","true","true","false"
"QUA-007","Boston Pharma","Quality Control Lab","PLC","Critical","PLC for Quality Control Lab operations","Schneider","PLC-5765","Quality Control Lab - Batch 6","true","true","false"
"QUA-008","Boston Pharma","Quality Control Lab","SCADA","Critical","SCADA for Quality Control Lab operations","Rockwell","SCADA-3111","Quality Control Lab - Batch 1","true","true","false"
"QUA-009","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Siemens","BatchController-2738","Quality Control Lab - Batch 3","true","true","false"
"QUA-010","Boston Pharma","Quality Control Lab","SCADA","Critical","SCADA for Quality Control Lab operations","Siemens","SCADA-3228","Quality Control Lab - Batch 3","true","true","false"
"QUA-011","Boston Pharma","Quality Control Lab","HMI","Critical","HMI for Quality Control Lab operations","Schneider","HMI-5678","Quality Control Lab - Batch 5","true","true","false"
"QUA-012","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Schneider","BatchController-2976","Quality Control Lab - Batch 3","true","true","false"
"QUA-013","Boston Pharma","Quality Control Lab","Safety PLC","Critical","Safety PLC for Quality Control Lab operations","Siemens","SafetyPLC-2897","Quality Control Lab - Batch 2","true","true","false"
"QUA-014","Boston Pharma","Quality Control Lab","MES","Critical","MES for Quality Control Lab operations","Emerson","MES-8690","Quality Control Lab - Batch 10","true","true","false"
"QUA-015","Boston Pharma","Quality Control Lab","MES","Critical","MES for Quality Control Lab operations","Honeywell","MES-4668","Quality Control Lab - Batch 5","true","true","false"
"QUA-016","Boston Pharma","Quality Control Lab","Serialization System","Critical","Serialization System for Quality Control Lab operations","Honeywell","SerializationSystem-2273","Quality Control Lab - Batch 1","true","true","false"
"QUA-017","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Honeywell","BatchController-1551","Quality Control Lab - Batch 10","true","true","false"
"QUA-018","Boston Pharma","Quality Control Lab","HMI","Critical","HMI for Quality Control Lab operations","Rockwell","HMI-8367","Quality Control Lab - Batch 1","true","true","false"
"QUA-019","Boston Pharma","Quality Control Lab","Environmental Monitor","Critical","Environmental Monitor for Quality Control Lab operations","Siemens","EnvironmentalMonitor-9594","Quality Control Lab - Batch 1","true","true","false"
"QUA-020","Boston Pharma","Quality Control Lab","Serialization System","Critical","Serialization System for Quality Control Lab operations","Rockwell","SerializationSystem-2799","Quality Control Lab - Batch 1","true","true","false"
"QUA-021","Boston Pharma","Quality Control Lab","MES","Critical","MES for Quality Control Lab operations","Rockwell","MES-7606","Quality Control Lab - Batch 9","true","true","false"
"QUA-022","Boston Pharma","Quality Control Lab","SCADA","Critical","SCADA for Quality Control Lab operations","Honeywell","SCADA-2480","Quality Control Lab - Batch 3","true","true","false"
"QUA-023","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Honeywell","BatchController-1045","Quality Control Lab - Batch 10","true","true","false"
"QUA-024","Boston Pharma","Quality Control Lab","SCADA","Critical","SCADA for Quality Control Lab operations","Emerson","SCADA-1368","Quality Control Lab - Batch 9","true","true","false"
"QUA-025","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Siemens","BatchController-9827","Quality Control Lab - Batch 5","true","true","false"
"QUA-026","Boston Pharma","Quality Control Lab","LIMS","Critical","LIMS for Quality Control Lab operations","Honeywell","LIMS-7992","Quality Control Lab - Batch 6","true","true","false"
"QUA-027","Boston Pharma","Quality Control Lab","Safety PLC","Critical","Safety PLC for Quality Control Lab operations","Schneider","SafetyPLC-3986","Quality Control Lab - Batch 6","true","true","false"
"QUA-028","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Emerson","BatchController-2428","Quality Control Lab - Batch 10","true","true","false"
"QUA-029","Boston Pharma","Quality Control Lab","PLC","Critical","PLC for Quality Control Lab operations","Siemens","PLC-2663","Quality Control Lab - Batch 9","true","true","false"
"QUA-030","Boston Pharma","Quality Control Lab","HMI","Critical","HMI for Quality Control Lab operations","Honeywell","HMI-5473","Quality Control Lab - Batch 8","true","true","false"
"QUA-031","Boston Pharma","Quality Control Lab","Environmental Monitor","Critical","Environmental Monitor for Quality Control Lab operations","Schneider","EnvironmentalMonitor-6218","Quality Control Lab - Batch 4","true","true","false"
"QUA-032","Boston Pharma","Quality Control Lab","Safety PLC","Critical","Safety PLC for Quality Control Lab operations","Emerson","SafetyPLC-6636","Quality Control Lab - Batch 3","true","true","false"
"QUA-033","Boston Pharma","Quality Control Lab","Serialization System","Critical","Serialization System for Quality Control Lab operations","Honeywell","SerializationSystem-7068","Quality Control Lab - Batch 2","true","true","false"
"QUA-034","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Batch Controller for Quality Control Lab operations","Siemens","BatchController-5217","Quality Control Lab - Batch 2","true","true","false"
"QUA-035","Boston Pharma","Quality Control Lab","LIMS","Critical","LIMS for Quality Control Lab operations","Honeywell","LIMS-1784","Quality Control Lab - Batch 10","true","true","false"
"QUA-036","Boston Pharma","Quality Control Lab","Temperature Controller","Critical","Temperature Controller for Quality Control Lab operations","Emerson","TemperatureController-3606","Quality Control Lab - Batch 2","true","true","false"
"QUA-037","Boston Pharma","Quality Control Lab","HMI","Critical","HMI for Quality Control Lab operations","Honeywell","HMI-2028","Quality Control Lab - Batch 3","true","true","false"
"UTI-001","Boston Pharma","Utilities","PLC","High","PLC for Utilities operations","Rockwell","PLC-9940","Utilities - Batch 6","false","true","false"
"UTI-002","Boston Pharma","Utilities","Safety PLC","High","Safety PLC for Utilities operations","Honeywell","SafetyPLC-1313","Utilities - Batch 5","false","true","false"
"UTI-003","Boston Pharma","Utilities","Environmental Monitor","High","Environmental Monitor for Utilities operations","Honeywell","EnvironmentalMonitor-4306","Utilities - Batch 4","false","true","false"
"UTI-004","Boston Pharma","Utilities","LIMS","High","LIMS for Utilities operations","Emerson","LIMS-6317","Utilities - Batch 3","false","true","false"
"UTI-005","Boston Pharma","Utilities","MES","High","MES for Utilities operations","Emerson","MES-7619","Utilities - Batch 10","false","true","false"
"UTI-006","Boston Pharma","Utilities","Safety PLC","High","Safety PLC for Utilities operations","Rockwell","SafetyPLC-6151","Utilities - Batch 1","false","true","false"
"UTI-007","Boston Pharma","Utilities","Environmental Monitor","High","Environmental Monitor for Utilities operations","Siemens","EnvironmentalMonitor-4664","Utilities - Batch 7","false","true","false"
"UTI-008","Boston Pharma","Utilities","Serialization System","High","Serialization System for Utilities operations","Emerson","SerializationSystem-8742","Utilities - Batch 8","false","true","false"
"UTI-009","Boston Pharma","Utilities","Safety PLC","High","Safety PLC for Utilities operations","Honeywell","SafetyPLC-9244","Utilities - Batch 8","false","true","false"
"UTI-010","Boston Pharma","Utilities","Safety PLC","High","Safety PLC for Utilities operations","Siemens","SafetyPLC-9826","Utilities - Batch 7","false","true","false"
"UTI-011","Boston Pharma","Utilities","HMI","High","HMI for Utilities operations","Honeywell","HMI-6292","Utilities - Batch 6","false","true","false"
"UTI-012","Boston Pharma","Utilities","Serialization System","High","Serialization System for Utilities operations","Honeywell","SerializationSystem-2229","Utilities - Batch 8","false","true","false"
"UTI-013","Boston Pharma","Utilities","Safety PLC","High","Safety PLC for Utilities operations","Emerson","SafetyPLC-4461","Utilities - Batch 8","false","true","false"
"UTI-014","Boston Pharma","Utilities","HMI","High","HMI for Utilities operations","Honeywell","HMI-9766","Utilities - Batch 7","false","true","false"
"UTI-015","Boston Pharma","Utilities","Safety PLC","High","Safety PLC for Utilities operations","Honeywell","SafetyPLC-4393","Utilities - Batch 3","false","true","false"
"UTI-016","Boston Pharma","Utilities","LIMS","High","LIMS for Utilities operations","Emerson","LIMS-3362","Utilities - Batch 4","false","true","false"
"UTI-017","Boston Pharma","Utilities","Batch Controller","High","Batch Controller for Utilities operations","Rockwell","BatchController-4523","Utilities - Batch 3","false","true","false"
