tag_id,plant,unit,device_type,ip_address,mac_address,switch_port,vlan,network_segment,communication_peers,bandwidth_usage,latency_ms,packet_loss,uptime_hours
"GEN-017","Pacific Power","Generation Unit","RTU","192.168.68.202","3b:9e:ef:c2:d3:01","SW23","VLAN-62","Corporate Network","5","40","34","2.9828812791957358","8268"
"GEN-018","Pacific Power","Generation Unit","EMS","192.168.108.140","ee:af:00:fc:8d:09","SW12","VLAN-41","DMZ","8","87","49","3.542635806905942","1311"
"GEN-019","Pacific Power","Generation Unit","Grid Controller","192.168.85.125","95:f6:a3:7e:2c:13","SW18","VLAN-80","Safety Network","8","80","8","1.090292255380576","6756"
"GEN-020","Pacific Power","Generation Unit","RTU","192.168.170.151","41:bd:72:cf:c7:6b","SW40","VLAN-40","DMZ","1","63","36","3.800778889734403","5100"
"GEN-021","Pacific Power","Generation Unit","Protection Relay","192.168.180.203","7b:fb:0e:38:17:e0","SW4","VLAN-23","Corporate Network","8","51","45","1.7920626573207998","4014"
"GEN-022","Pacific Power","Generation Unit","DMS","192.168.207.171","24:ea:13:10:b6:bf","SW21","VLAN-12","Corporate Network","3","76","29","4.665974823686745","5519"
"GEN-023","Pacific Power","Generation Unit","IED","192.168.36.245","fc:68:0e:ef:56:87","SW48","VLAN-77","Safety Network","10","85","7","4.986245049784807","6516"
"GEN-024","Pacific Power","Generation Unit","IED","192.168.75.154","01:bb:cf:47:d5:27","SW42","VLAN-15","Safety Network","1","74","36","1.0673315814825324","2666"
"GEN-025","Pacific Power","Generation Unit","Environmental Monitor","192.168.17.38","d6:b4:e3:4d:b9:57","SW36","VLAN-43","Safety Network","10","77","33","0.8297170944507104","74"
"GEN-026","Pacific Power","Generation Unit","RTU","192.168.192.33","8f:bb:4e:1e:01:17","SW17","VLAN-77","Control Network","8","39","13","1.6477599408938937","190"
"GEN-027","Pacific Power","Generation Unit","Grid Controller","192.168.217.176","62:19:53:c0:eb:0f","SW22","VLAN-88","Control Network","7","96","33","4.489464591242507","2662"
"GEN-028","Pacific Power","Generation Unit","Environmental Monitor","192.168.41.151","ce:47:1a:2f:5b:a5","SW42","VLAN-85","Safety Network","6","3","5","3.445963639174847","2665"
"GEN-029","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.69.236","a6:75:62:fd:37:25","SW6","VLAN-52","Corporate Network","10","19","44","2.777985558581678","1205"
"GEN-030","Pacific Power","Generation Unit","Grid Controller","192.168.160.121","2c:73:97:f1:18:40","SW38","VLAN-37","Control Network","8","48","32","1.610861153366705","355"
"GEN-031","Pacific Power","Generation Unit","Grid Controller","192.168.30.73","9b:3f:d3:6c:a1:15","SW4","VLAN-31","Safety Network","7","71","31","1.3906850971546991","213"
"GEN-032","Pacific Power","Generation Unit","Grid Controller","192.168.235.233","6c:62:c1:1b:c8:22","SW22","VLAN-87","Safety Network","9","49","39","4.670188034756622","7762"
"GEN-033","Pacific Power","Generation Unit","HMI","192.168.31.234","0b:ef:15:1a:9d:1d","SW10","VLAN-21","Safety Network","2","54","22","3.651405780408684","6209"
"GEN-034","Pacific Power","Generation Unit","Environmental Monitor","192.168.10.236","69:f4:eb:d7:f4:06","SW3","VLAN-39","Control Network","2","67","41","4.879779582721583","976"
"GEN-035","Pacific Power","Generation Unit","HMI","192.168.18.31","ff:6f:c3:c0:62:b5","SW15","VLAN-64","Control Network","4","2","22","4.671132276151042","797"
"GEN-036","Pacific Power","Generation Unit","DMS","192.168.73.153","9e:21:30:24:51:1d","SW20","VLAN-89","Corporate Network","2","28","38","0.15393648258954729","6285"
"GEN-037","Pacific Power","Generation Unit","EMS","192.168.12.180","bf:2c:44:08:18:16","SW26","VLAN-12","Corporate Network","3","0","39","1.7735049725384988","5624"
"GEN-038","Pacific Power","Generation Unit","Environmental Monitor","192.168.146.133","3d:d4:ea:02:2b:fc","SW2","VLAN-15","Safety Network","3","84","43","3.0540690274752103","3317"
"GEN-039","Pacific Power","Generation Unit","HMI","192.168.180.22","c8:d6:8c:9d:48:d2","SW42","VLAN-28","Control Network","7","80","50","1.8045946555982384","118"
"GEN-040","Pacific Power","Generation Unit","Grid Controller","192.168.140.203","fe:67:01:8e:15:a3","SW15","VLAN-6","DMZ","6","89","30","3.177692191052246","178"
"GEN-041","Pacific Power","Generation Unit","IED","192.168.28.160","32:a3:a3:5a:8f:fc","SW32","VLAN-34","Corporate Network","10","96","17","1.7698818274852934","20"
"GEN-042","Pacific Power","Generation Unit","Protection Relay","192.168.146.52","b5:e6:6a:6c:92:e5","SW42","VLAN-68","Corporate Network","10","23","34","1.7752252758272136","4592"
"GEN-043","Pacific Power","Generation Unit","SCADA","192.168.83.73","fc:70:2a:7a:cd:6d","SW38","VLAN-23","Control Network","1","18","11","1.0956168952356815","7101"
"GEN-044","Pacific Power","Generation Unit","DMS","192.168.202.238","34:49:a4:38:34:8b","SW7","VLAN-31","Safety Network","9","4","22","2.297708447710274","7902"
"GEN-045","Pacific Power","Generation Unit","SCADA","192.168.82.20","03:cb:8b:20:ae:8d","SW27","VLAN-55","Safety Network","2","35","24","1.6700759307140989","1573"
"GEN-046","Pacific Power","Generation Unit","IED","192.168.97.200","1b:24:f7:4f:59:3d","SW44","VLAN-1","DMZ","5","2","45","0.6650178235542037","6899"
"GEN-047","Pacific Power","Generation Unit","SCADA","192.168.182.28","c7:3f:c3:e3:ab:76","SW33","VLAN-4","DMZ","9","40","19","0.23307453996314287","1203"
"TRA-001","Pacific Power","Transmission","Environmental Monitor","192.168.49.37","19:13:ae:d9:db:96","SW1","VLAN-7","Corporate Network","5","90","21","1.9321893965594428","323"
"TRA-002","Pacific Power","Transmission","IED","192.168.206.29","3e:0b:48:ec:4b:9c","SW45","VLAN-19","Control Network","1","93","32","4.106871267107712","4540"
"TRA-003","Pacific Power","Transmission","Protection Relay","192.168.172.180","9c:ff:bd:3c:a4:95","SW9","VLAN-18","Control Network","1","26","7","2.4140174103559655","1144"
"TRA-004","Pacific Power","Transmission","Grid Controller","192.168.243.113","45:25:f0:f2:4c:b3","SW46","VLAN-6","Corporate Network","3","34","42","0.14696630267003408","8420"
"TRA-005","Pacific Power","Transmission","HMI","192.168.129.16","9a:8b:d5:e2:ad:91","SW45","VLAN-82","Corporate Network","4","51","8","1.8581324697066237","7983"
"TRA-006","Pacific Power","Transmission","HMI","192.168.200.126","59:2b:51:f0:6f:a5","SW15","VLAN-2","Corporate Network","9","72","7","4.067372852276145","873"
"TRA-007","Pacific Power","Transmission","RTU","192.168.211.237","d2:9d:c7:49:25:7c","SW13","VLAN-9","Control Network","1","63","42","4.732120942506031","5274"
"TRA-008","Pacific Power","Transmission","Arc Flash Monitor","192.168.175.62","4b:e0:11:f0:6a:4a","SW31","VLAN-82","DMZ","7","11","42","4.836968316424992","159"
"TRA-009","Pacific Power","Transmission","Arc Flash Monitor","192.168.13.166","e2:40:da:1e:bd:a5","SW15","VLAN-47","DMZ","6","20","18","4.179040021673831","1045"
"TRA-010","Pacific Power","Transmission","Grid Controller","192.168.183.248","32:52:ef:48:9f:1f","SW30","VLAN-61","DMZ","6","35","25","0.9647244678894362","5281"
"TRA-011","Pacific Power","Transmission","DMS","192.168.94.27","3a:cc:df:04:2e:17","SW14","VLAN-6","Safety Network","8","53","6","1.5047781576258779","5543"
"TRA-012","Pacific Power","Transmission","EMS","192.168.252.94","31:e1:c4:23:1e:b5","SW20","VLAN-36","Control Network","8","2","31","1.929947120551142","3099"
"TRA-013","Pacific Power","Transmission","HMI","192.168.1.113","6e:5a:40:24:26:9b","SW22","VLAN-80","Control Network","8","44","17","0.44392299399001023","666"
"TRA-014","Pacific Power","Transmission","Arc Flash Monitor","192.168.247.174","18:35:42:80:45:82","SW21","VLAN-20","Safety Network","6","3","24","3.414455575764732","3362"
"TRA-015","Pacific Power","Transmission","Arc Flash Monitor","192.168.32.34","40:79:90:b5:41:ca","SW43","VLAN-21","Safety Network","9","48","44","1.193691848446069","5245"
"TRA-016","Pacific Power","Transmission","Environmental Monitor","192.168.154.218","8b:73:c3:74:32:e8","SW12","VLAN-85","Safety Network","4","61","40","4.56388338848134","5442"
"TRA-017","Pacific Power","Transmission","SCADA","192.168.29.150","3a:59:54:51:c2:df","SW16","VLAN-58","DMZ","9","40","31","3.9898224158695914","3115"
"TRA-018","Pacific Power","Transmission","IED","192.168.144.52","32:93:f9:46:9a:66","SW16","VLAN-17","Safety Network","7","24","2","2.159984314266193","38"
"TRA-019","Pacific Power","Transmission","Arc Flash Monitor","192.168.195.179","7f:7a:4f:93:ff:cc","SW21","VLAN-4","DMZ","9","97","47","3.4462652465223043","3866"
"TRA-020","Pacific Power","Transmission","RTU","192.168.253.63","50:c8:db:35:79:e5","SW15","VLAN-53","DMZ","7","11","48","3.4675665935610365","8750"
"TRA-021","Pacific Power","Transmission","Protection Relay","192.168.59.232","60:7b:50:6c:40:cd","SW1","VLAN-22","Corporate Network","3","97","7","1.7750486753462813","3701"
"TRA-022","Pacific Power","Transmission","Arc Flash Monitor","192.168.92.209","a1:5d:74:61:a1:21","SW17","VLAN-82","DMZ","1","85","36","0.7293226019866761","4223"
"TRA-023","Pacific Power","Transmission","Arc Flash Monitor","192.168.97.103","49:d2:f3:8d:04:19","SW36","VLAN-82","Safety Network","5","76","19","4.1819097402886865","7361"
"TRA-024","Pacific Power","Transmission","EMS","192.168.225.82","b2:06:04:1c:e6:39","SW27","VLAN-45","Safety Network","3","57","43","3.955044454243992","6092"
"TRA-025","Pacific Power","Transmission","Protection Relay","192.168.218.150","18:38:ae:2d:aa:98","SW37","VLAN-96","Corporate Network","2","41","15","1.3544096975003816","1612"
"TRA-026","Pacific Power","Transmission","DMS","192.168.87.240","3c:4e:cb:cc:23:1f","SW2","VLAN-29","Safety Network","8","88","32","4.857491096147678","8412"
"TRA-027","Pacific Power","Transmission","IED","192.168.234.93","e4:0b:ee:6b:95:e1","SW41","VLAN-90","Safety Network","8","93","20","0.6061628914644812","6080"
"TRA-028","Pacific Power","Transmission","SCADA","192.168.1.14","05:9b:64:63:83:e8","SW24","VLAN-29","Control Network","10","41","32","1.075405477267637","2923"
"TRA-029","Pacific Power","Transmission","RTU","192.168.53.234","53:bc:53:f9:ae:29","SW31","VLAN-89","Corporate Network","6","70","37","1.7764945718476066","8439"
"TRA-030","Pacific Power","Transmission","Environmental Monitor","192.168.193.251","c6:f0:f5:5d:cb:4f","SW45","VLAN-1","Control Network","1","10","14","0.96472764739022","7474"
"TRA-031","Pacific Power","Transmission","IED","192.168.235.42","f3:39:52:82:da:21","SW29","VLAN-72","Control Network","1","7","8","0.17903998065496252","450"
"TRA-032","Pacific Power","Transmission","Arc Flash Monitor","192.168.74.204","1f:20:62:4a:96:23","SW20","VLAN-56","Safety Network","3","24","47","3.6193015632620593","6067"
"TRA-033","Pacific Power","Transmission","RTU","192.168.87.234","a4:05:2b:5b:a0:1b","SW28","VLAN-70","Control Network","8","29","23","1.387242957750403","1550"
"TRA-034","Pacific Power","Transmission","Arc Flash Monitor","192.168.213.160","19:56:8d:bb:c2:97","SW32","VLAN-89","Control Network","1","49","45","3.2354838989988743","755"
"TRA-035","Pacific Power","Transmission","Environmental Monitor","192.168.94.198","d4:be:8c:4c:b6:9f","SW16","VLAN-27","Control Network","8","77","6","0.23452748408675173","6373"
"TRA-036","Pacific Power","Transmission","DMS","192.168.160.96","42:1e:56:50:86:d4","SW32","VLAN-43","Safety Network","5","25","3","4.7875116643697115","1935"
"TRA-037","Pacific Power","Transmission","SCADA","192.168.163.111","b0:49:c0:c8:07:33","SW1","VLAN-31","DMZ","10","91","28","2.714514081725662","4178"
"TRA-038","Pacific Power","Transmission","EMS","192.168.244.252","fb:cb:f5:ad:09:bb","SW20","VLAN-74","Safety Network","4","25","47","1.9805674530484818","2460"
"TRA-039","Pacific Power","Transmission","Environmental Monitor","192.168.2.49","1e:74:3b:cc:d5:5e","SW16","VLAN-86","Control Network","6","31","41","3.3948839883190587","3319"
"TRA-040","Pacific Power","Transmission","Environmental Monitor","192.168.40.160","d0:99:58:e6:c7:c7","SW30","VLAN-19","Control Network","8","60","30","4.985256762043596","8334"
"TRA-041","Pacific Power","Transmission","SCADA","192.168.239.81","0d:d7:09:c7:ba:5a","SW14","VLAN-40","Safety Network","5","98","5","4.4519639174649335","863"
"TRA-042","Pacific Power","Transmission","DMS","192.168.46.245","27:cf:70:08:8d:fa","SW29","VLAN-61","DMZ","10","54","31","4.314260694124114","6899"
"TRA-043","Pacific Power","Transmission","IED","192.168.231.100","d7:49:72:85:3b:74","SW32","VLAN-67","Safety Network","1","49","9","0.3713484132038336","7587"
"TRA-044","Pacific Power","Transmission","EMS","192.168.148.144","e0:c4:5c:7e:78:82","SW31","VLAN-12","Safety Network","10","55","26","4.418203789332784","2611"
"TRA-045","Pacific Power","Transmission","SCADA","192.168.78.100","65:0c:65:08:fb:aa","SW27","VLAN-23","Corporate Network","9","33","46","1.1589017605055874","2685"
"TRA-046","Pacific Power","Transmission","IED","192.168.76.247","71:ea:f2:1d:6f:a6","SW48","VLAN-92","Safety Network","8","77","23","3.255842375804469","8246"
"DIS-001","Pacific Power","Distribution","Protection Relay","192.168.201.209","d9:83:da:b0:10:c6","SW16","VLAN-14","Corporate Network","9","33","44","1.3681821887132295","8581"
"DIS-002","Pacific Power","Distribution","Environmental Monitor","192.168.51.250","a9:7b:1e:74:b1:a3","SW16","VLAN-49","Safety Network","3","4","13","1.185997151725282","1272"
"DIS-003","Pacific Power","Distribution","EMS","192.168.118.193","7e:0c:18:87:a4:9c","SW42","VLAN-73","Safety Network","7","29","45","2.6460046689467918","4523"
"DIS-004","Pacific Power","Distribution","HMI","192.168.12.238","4a:5a:73:5b:58:c6","SW47","VLAN-55","Corporate Network","5","11","2","4.268358202960309","7128"
"DIS-005","Pacific Power","Distribution","IED","192.168.8.152","53:30:a4:ce:55:73","SW44","VLAN-2","Control Network","1","27","35","2.500447308960002","8230"
"DIS-006","Pacific Power","Distribution","EMS","192.168.99.122","bd:6c:04:00:8c:d5","SW43","VLAN-92","Control Network","10","54","40","4.624190136499787","3981"
"DIS-007","Pacific Power","Distribution","SCADA","192.168.206.117","0d:03:fc:a0:ab:7d","SW45","VLAN-89","DMZ","4","48","20","1.1163730345673772","4266"
"DIS-008","Pacific Power","Distribution","IED","192.168.79.188","ec:b1:0e:ef:e8:92","SW38","VLAN-92","Safety Network","9","45","33","3.9261609883886015","7421"
"DIS-009","Pacific Power","Distribution","IED","192.168.175.196","14:79:a6:e8:a1:16","SW9","VLAN-92","Control Network","10","6","35","2.6340288837399983","2842"
"DIS-010","Pacific Power","Distribution","Grid Controller","192.168.115.193","a1:88:1d:2e:36:cf","SW13","VLAN-41","Safety Network","8","91","8","3.022491543150354","5669"
"DIS-011","Pacific Power","Distribution","DMS","192.168.80.174","2b:fb:31:3e:18:ca","SW15","VLAN-57","Safety Network","3","80","9","3.7157174159386797","4207"
"DIS-012","Pacific Power","Distribution","Grid Controller","192.168.112.225","53:e0:7e:d3:6f:99","SW8","VLAN-2","DMZ","1","65","5","0.6316349648075803","4910"
"DIS-013","Pacific Power","Distribution","DMS","192.168.179.65","c1:bb:3b:85:5b:b1","SW17","VLAN-28","Control Network","9","98","49","4.132384567067069","1992"
"DIS-014","Pacific Power","Distribution","DMS","192.168.29.68","a6:74:52:be:2b:fe","SW16","VLAN-85","Safety Network","3","36","45","0.3063355142324553","355"
"DIS-015","Pacific Power","Distribution","IED","192.168.181.244","70:12:d4:2a:0e:5c","SW35","VLAN-51","Corporate Network","3","41","5","4.124515437711649","6900"
"DIS-016","Pacific Power","Distribution","DMS","192.168.168.123","25:d1:e8:da:7c:64","SW40","VLAN-18","Control Network","4","2","4","2.3927625566690516","16"
"DIS-017","Pacific Power","Distribution","Grid Controller","192.168.181.163","84:5a:e4:1c:8e:80","SW4","VLAN-3","Control Network","9","20","50","1.76929150305426","671"
"DIS-018","Pacific Power","Distribution","DMS","192.168.106.73","28:90:4a:c2:2f:2b","SW48","VLAN-36","DMZ","5","81","1","4.991399754874044","7151"
"DIS-019","Pacific Power","Distribution","Protection Relay","192.168.244.64","cd:7d:11:20:a3:72","SW37","VLAN-28","Control Network","4","53","22","3.322166979564607","7841"
"DIS-020","Pacific Power","Distribution","EMS","192.168.191.32","b2:81:52:ec:a1:fc","SW41","VLAN-11","Corporate Network","10","40","28","1.3582936992799632","2552"
"DIS-021","Pacific Power","Distribution","HMI","192.168.247.11","98:22:e7:ea:a2:b4","SW10","VLAN-98","Corporate Network","7","7","34","2.409825775627401","6385"
"DIS-022","Pacific Power","Distribution","EMS","192.168.66.29","f6:e0:bc:63:f9:95","SW48","VLAN-78","Safety Network","8","1","26","3.644751443872619","6709"
"DIS-023","Pacific Power","Distribution","HMI","192.168.179.219","6f:fd:2b:50:c8:b1","SW41","VLAN-25","DMZ","7","89","23","3.2574988608049438","1201"
"DIS-024","Pacific Power","Distribution","SCADA","192.168.175.199","76:dc:a7:c5:0a:80","SW24","VLAN-15","Control Network","2","34","35","3.0062290991393645","2399"
"DIS-025","Pacific Power","Distribution","SCADA","192.168.120.177","6b:4d:f7:38:89:47","SW19","VLAN-54","DMZ","8","83","28","2.471808880369626","7611"
"DIS-026","Pacific Power","Distribution","Environmental Monitor","192.168.71.189","ab:98:f7:74:dd:b3","SW30","VLAN-59","Corporate Network","2","9","39","3.5992177874308795","2360"
"DIS-027","Pacific Power","Distribution","Arc Flash Monitor","192.168.39.203","8c:38:d3:f3:c1:38","SW25","VLAN-1","Safety Network","2","44","35","1.4334175496211898","1586"
"DIS-028","Pacific Power","Distribution","SCADA","192.168.229.200","36:fc:06:b1:14:fc","SW12","VLAN-94","Safety Network","10","12","26","0.6748154846926657","3114"
"CON-001","Pacific Power","Control Center","Arc Flash Monitor","192.168.92.166","59:53:33:f7:72:70","SW22","VLAN-36","Safety Network","7","12","47","1.3961074057088774","1985"
"CON-002","Pacific Power","Control Center","EMS","192.168.156.171","c2:9b:10:1c:b4:a5","SW6","VLAN-74","Corporate Network","10","83","39","3.088553286787019","7319"
"CON-003","Pacific Power","Control Center","EMS","192.168.1.60","ed:eb:c3:07:c5:9e","SW40","VLAN-6","Safety Network","6","93","31","2.5116943905515665","430"
"CON-004","Pacific Power","Control Center","HMI","192.168.35.100","94:29:e8:98:13:5f","SW4","VLAN-95","Safety Network","8","94","31","1.3079477468846268","1238"
"CON-005","Pacific Power","Control Center","HMI","192.168.212.158","9e:94:6f:bd:15:31","SW9","VLAN-55","Safety Network","10","35","50","0.9417322824718755","2787"
"CON-006","Pacific Power","Control Center","SCADA","192.168.228.23","cb:85:59:97:77:7e","SW18","VLAN-6","Safety Network","8","41","22","0.16103509651721026","4226"
"CON-007","Pacific Power","Control Center","Grid Controller","192.168.44.35","0c:b3:f3:01:ee:27","SW5","VLAN-75","Control Network","1","71","49","0.9460439955881395","1967"
"CON-008","Pacific Power","Control Center","DMS","192.168.17.156","34:81:c3:9b:52:4c","SW30","VLAN-12","Corporate Network","1","54","23","3.6622513954339766","544"
"CON-009","Pacific Power","Control Center","IED","192.168.110.84","6e:11:21:6c:67:b2","SW23","VLAN-5","Control Network","2","26","22","0.9058165736353185","885"
"CON-010","Pacific Power","Control Center","Arc Flash Monitor","192.168.50.234","b0:74:c8:ca:9d:5d","SW3","VLAN-33","Control Network","9","77","27","3.938775976777441","3424"
"CON-011","Pacific Power","Control Center","HMI","192.168.149.15","5b:75:5f:35:ef:d0","SW40","VLAN-67","DMZ","7","42","46","4.351865544503395","3143"
"CON-012","Pacific Power","Control Center","HMI","192.168.69.11","3d:74:78:38:aa:73","SW39","VLAN-79","Corporate Network","2","70","24","3.797441128334106","2766"
"CON-013","Pacific Power","Control Center","RTU","192.168.62.226","7c:66:bb:97:13:43","SW33","VLAN-18","DMZ","4","44","8","4.049548270259022","7751"
"CON-014","Pacific Power","Control Center","Protection Relay","192.168.119.26","e4:6b:42:0b:4f:02","SW14","VLAN-5","Corporate Network","10","15","38","4.7117599309977845","1258"
"CON-015","Pacific Power","Control Center","DMS","192.168.75.172","e5:e3:16:4a:ac:3d","SW19","VLAN-53","Corporate Network","3","6","42","3.9051496988797316","8466"
"CON-016","Pacific Power","Control Center","RTU","192.168.55.210","51:bc:75:5e:74:3d","SW1","VLAN-57","Corporate Network","10","84","7","4.886713741832747","274"
"CON-017","Pacific Power","Control Center","EMS","192.168.13.221","2d:97:8b:d7:56:a4","SW26","VLAN-21","Corporate Network","3","4","9","0.32588435041789987","1159"
"CON-018","Pacific Power","Control Center","IED","192.168.218.47","fb:91:0b:03:5f:85","SW41","VLAN-70","Safety Network","4","61","43","3.322635249874357","7416"
"CON-019","Pacific Power","Control Center","RTU","192.168.246.27","b4:5a:9b:d0:59:fb","SW4","VLAN-60","Corporate Network","4","25","35","0.18665252708150004","6938"
"CON-020","Pacific Power","Control Center","Grid Controller","192.168.241.31","39:3d:84:0e:42:c1","SW12","VLAN-97","Control Network","9","23","48","4.4260771150474465","751"
"CON-021","Pacific Power","Control Center","SCADA","192.168.28.156","46:ba:e6:53:1d:f8","SW38","VLAN-41","Corporate Network","7","81","34","2.767765470221002","6904"
"SUB-001","Pacific Power","Substation","Grid Controller","192.168.33.224","ae:bb:10:f0:47:5b","SW31","VLAN-69","Corporate Network","5","10","29","3.453650015024212","5139"
"SUB-002","Pacific Power","Substation","HMI","192.168.38.5","1a:18:8a:50:e0:56","SW15","VLAN-37","DMZ","6","73","8","3.6325026388041435","1402"
"SUB-003","Pacific Power","Substation","Protection Relay","192.168.10.248","0e:ce:67:a1:d4:08","SW21","VLAN-69","Safety Network","2","16","13","3.4572409661370984","3272"
"SUB-004","Pacific Power","Substation","RTU","192.168.30.13","c9:c6:64:f0:81:64","SW13","VLAN-81","Control Network","10","40","40","3.9196404206400883","6500"
"SUB-005","Pacific Power","Substation","DMS","192.168.134.148","4d:ab:bd:1f:4d:31","SW38","VLAN-34","Control Network","10","67","30","0.5282987242725035","8552"
"SUB-006","Pacific Power","Substation","IED","192.168.9.51","00:36:02:ae:7f:b7","SW12","VLAN-28","Control Network","5","53","22","4.4105840327530785","562"
"SUB-007","Pacific Power","Substation","Grid Controller","192.168.203.67","79:04:46:c2:1d:b6","SW24","VLAN-56","Safety Network","1","22","43","4.438185700275406","8019"
"SUB-008","Pacific Power","Substation","Grid Controller","192.168.62.154","aa:99:c3:fd:b1:72","SW25","VLAN-38","Corporate Network","3","1","47","1.0332297506570343","6855"
"SUB-009","Pacific Power","Substation","HMI","192.168.142.83","cb:1e:b2:75:ba:57","SW31","VLAN-77","Control Network","2","17","19","4.489944333157476","5632"
"SUB-010","Pacific Power","Substation","SCADA","192.168.155.82","d4:76:7d:2b:c6:b2","SW30","VLAN-8","Corporate Network","9","37","30","1.4731875366534153","2300"
"SUB-011","Pacific Power","Substation","DMS","192.168.93.127","fa:6c:7b:65:48:40","SW1","VLAN-62","Safety Network","3","87","9","2.439147557389595","7533"
"SUB-012","Pacific Power","Substation","Arc Flash Monitor","192.168.68.143","41:99:b1:88:47:1a","SW38","VLAN-3","Control Network","5","50","49","4.669071943937508","6254"
"SUB-013","Pacific Power","Substation","Protection Relay","192.168.251.252","66:78:90:85:d9:8e","SW42","VLAN-93","DMZ","7","8","41","4.507327823193117","2197"
"SUB-014","Pacific Power","Substation","Environmental Monitor","192.168.78.165","7b:1f:4b:01:58:eb","SW19","VLAN-93","Control Network","10","37","15","2.7207426152335525","8190"
"SUB-015","Pacific Power","Substation","RTU","192.168.2.141","94:46:b7:e8:69:00","SW10","VLAN-84","Control Network","1","83","11","2.2742501419220886","7455"
"SUB-016","Pacific Power","Substation","DMS","192.168.253.70","7e:41:bd:e9:c0:77","SW21","VLAN-27","DMZ","9","59","30","2.6124576006418243","3676"
"SUB-017","Pacific Power","Substation","Grid Controller","192.168.205.155","bf:7c:01:62:b3:0e","SW30","VLAN-43","Control Network","7","22","41","3.9813739884870114","3463"
"SUB-018","Pacific Power","Substation","Grid Controller","192.168.166.148","12:0c:b3:bc:6a:36","SW23","VLAN-38","Corporate Network","10","41","2","1.4867074127193602","4629"
"SUB-019","Pacific Power","Substation","RTU","192.168.192.84","4a:f6:e9:bc:f3:76","SW20","VLAN-45","Safety Network","6","56","9","4.708493548050092","1536"
"SUB-020","Pacific Power","Substation","SCADA","192.168.221.129","58:e8:c3:7b:9c:24","SW47","VLAN-80","Control Network","9","66","43","4.763908693190052","7802"
"SUB-021","Pacific Power","Substation","Environmental Monitor","192.168.71.212","f6:77:b3:73:be:ae","SW17","VLAN-12","Corporate Network","4","47","46","0.7031552257766538","7888"
"ENV-001","Pacific Power","Environmental Controls","Arc Flash Monitor","192.168.71.144","0a:b8:cb:db:ce:86","SW24","VLAN-16","Safety Network","3","52","41","3.5062086431709383","4721"
"ENV-002","Pacific Power","Environmental Controls","EMS","192.168.30.201","ff:b3:9f:4a:81:2a","SW12","VLAN-55","Corporate Network","2","98","14","1.2599611266781163","2459"
