tag_id,plant,unit,device_type,ip_address,security_level,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"GEN-014","Pacific Power","Generation Unit","SCADA","192.168.239.12","1","4","0","2025-09-26T21:58:17.331Z","false","false","None","false","true","77"
"GEN-015","Pacific Power","Generation Unit","DMS","192.168.58.242","4","6","1","2025-10-15T22:32:47.799Z","true","true","Basic","true","false","81"
"GEN-016","Pacific Power","Generation Unit","Environmental Monitor","192.168.101.27","3","8","3","2025-10-04T16:33:01.664Z","false","true","Advanced","true","true","38"
"GEN-017","Pacific Power","Generation Unit","RTU","192.168.135.168","2","2","0","2025-09-29T00:23:02.272Z","false","true","Enterprise","true","true","27"
"GEN-018","Pacific Power","Generation Unit","EMS","192.168.69.136","3","5","3","2025-10-19T06:58:46.025Z","true","true","Advanced","true","true","99"
"GEN-019","Pacific Power","Generation Unit","Grid Controller","192.168.109.197","2","5","3","2025-10-01T12:26:01.763Z","false","false","Enterprise","true","true","41"
"GEN-020","Pacific Power","Generation Unit","RTU","192.168.89.188","2","8","0","2025-10-17T01:01:32.333Z","false","true","Advanced","true","true","39"
"GEN-021","Pacific Power","Generation Unit","Protection Relay","192.168.206.189","2","9","2","2025-10-10T10:54:43.242Z","false","true","Advanced","true","false","65"
"GEN-022","Pacific Power","Generation Unit","DMS","192.168.119.182","4","4","3","2025-10-15T10:46:56.072Z","false","true","Advanced","true","true","16"
"GEN-023","Pacific Power","Generation Unit","IED","192.168.0.136","4","1","4","2025-10-21T20:49:05.386Z","true","true","Enterprise","true","true","54"
"GEN-024","Pacific Power","Generation Unit","IED","192.168.64.131","2","4","1","2025-09-28T22:15:00.637Z","false","true","Advanced","false","true","53"
"GEN-025","Pacific Power","Generation Unit","Environmental Monitor","192.168.166.208","2","9","1","2025-10-24T02:25:13.157Z","true","true","Advanced","true","true","91"
"GEN-026","Pacific Power","Generation Unit","RTU","192.168.240.72","2","0","4","2025-10-09T00:16:31.255Z","false","false","Basic","true","true","32"
"GEN-027","Pacific Power","Generation Unit","Grid Controller","192.168.106.191","1","0","4","2025-10-02T09:13:50.058Z","false","true","Enterprise","false","false","25"
"GEN-028","Pacific Power","Generation Unit","Environmental Monitor","192.168.55.253","1","9","3","2025-10-09T04:49:22.704Z","false","false","None","false","false","82"
"GEN-029","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.12.37","2","9","0","2025-10-06T08:52:42.877Z","true","true","None","true","false","69"
"GEN-030","Pacific Power","Generation Unit","Grid Controller","192.168.160.133","1","1","1","2025-10-01T04:50:30.713Z","true","false","Enterprise","false","true","52"
"GEN-031","Pacific Power","Generation Unit","Grid Controller","192.168.121.58","1","3","2","2025-09-27T19:50:02.652Z","false","false","Enterprise","false","false","59"
"GEN-032","Pacific Power","Generation Unit","Grid Controller","192.168.67.216","4","9","0","2025-10-20T01:17:42.254Z","false","false","Enterprise","false","true","85"
"GEN-033","Pacific Power","Generation Unit","HMI","192.168.92.26","2","7","0","2025-09-27T03:53:45.532Z","true","true","Enterprise","true","true","9"
"GEN-034","Pacific Power","Generation Unit","Environmental Monitor","192.168.149.70","3","9","2","2025-10-22T08:59:33.388Z","true","true","Enterprise","false","true","55"
"GEN-035","Pacific Power","Generation Unit","HMI","192.168.10.67","1","8","4","2025-09-28T12:37:49.965Z","false","false","None","true","true","48"
"GEN-036","Pacific Power","Generation Unit","DMS","192.168.251.161","4","4","3","2025-10-16T14:00:42.670Z","true","true","None","false","false","63"
"GEN-037","Pacific Power","Generation Unit","EMS","192.168.66.132","1","3","1","2025-10-10T15:30:09.856Z","true","true","Basic","false","false","49"
"GEN-038","Pacific Power","Generation Unit","Environmental Monitor","192.168.223.178","2","8","3","2025-10-20T04:04:20.101Z","false","false","None","false","true","95"
"GEN-039","Pacific Power","Generation Unit","HMI","192.168.247.195","4","4","0","2025-10-01T20:42:08.460Z","true","true","Enterprise","true","true","37"
"GEN-040","Pacific Power","Generation Unit","Grid Controller","192.168.98.195","3","3","0","2025-10-06T02:08:12.421Z","false","true","Enterprise","false","true","96"
"GEN-041","Pacific Power","Generation Unit","IED","192.168.115.48","4","3","4","2025-10-14T02:21:49.991Z","true","true","Enterprise","false","true","52"
"GEN-042","Pacific Power","Generation Unit","Protection Relay","192.168.182.12","1","6","2","2025-10-01T22:18:48.147Z","true","true","None","false","true","45"
"GEN-043","Pacific Power","Generation Unit","SCADA","192.168.242.74","1","7","2","2025-09-29T10:35:50.271Z","false","true","None","false","true","61"
"GEN-044","Pacific Power","Generation Unit","DMS","192.168.29.146","1","5","4","2025-10-01T01:13:46.840Z","true","true","Basic","false","true","80"
"GEN-045","Pacific Power","Generation Unit","SCADA","192.168.62.120","2","5","2","2025-10-23T03:56:22.839Z","true","true","Advanced","true","true","81"
"GEN-046","Pacific Power","Generation Unit","IED","192.168.58.169","1","7","3","2025-10-09T03:10:00.941Z","false","true","Basic","true","true","61"
"GEN-047","Pacific Power","Generation Unit","SCADA","192.168.18.191","2","4","0","2025-10-13T17:33:14.495Z","true","false","Advanced","false","false","49"
"TRA-001","Pacific Power","Transmission","Environmental Monitor","192.168.56.47","4","0","0","2025-09-26T03:38:57.027Z","true","false","None","true","true","66"
"TRA-002","Pacific Power","Transmission","IED","192.168.223.190","1","5","3","2025-10-12T17:03:32.277Z","true","true","Enterprise","true","false","83"
"TRA-003","Pacific Power","Transmission","Protection Relay","192.168.205.91","4","2","1","2025-10-14T00:41:48.951Z","false","true","Enterprise","false","true","100"
"TRA-004","Pacific Power","Transmission","Grid Controller","192.168.63.174","4","4","0","2025-10-02T00:31:14.496Z","true","false","Basic","false","true","42"
"TRA-005","Pacific Power","Transmission","HMI","192.168.140.234","4","1","0","2025-10-03T12:46:59.022Z","false","false","Enterprise","false","true","49"
"TRA-006","Pacific Power","Transmission","HMI","192.168.40.164","3","9","4","2025-09-28T21:19:00.683Z","true","true","None","false","true","56"
"TRA-007","Pacific Power","Transmission","RTU","192.168.152.24","1","5","4","2025-10-16T05:15:40.295Z","false","true","Advanced","false","true","42"
"TRA-008","Pacific Power","Transmission","Arc Flash Monitor","192.168.143.134","3","9","1","2025-10-11T13:31:49.847Z","true","true","Basic","true","false","61"
"TRA-009","Pacific Power","Transmission","Arc Flash Monitor","192.168.194.137","1","2","2","2025-09-30T19:25:48.737Z","true","true","None","true","true","61"
"TRA-010","Pacific Power","Transmission","Grid Controller","192.168.59.11","3","2","2","2025-10-05T15:38:19.595Z","false","true","Basic","false","false","75"
"TRA-011","Pacific Power","Transmission","DMS","192.168.120.163","2","0","0","2025-10-07T23:47:41.526Z","true","true","Advanced","false","false","65"
"TRA-012","Pacific Power","Transmission","EMS","192.168.131.91","1","0","0","2025-09-29T19:25:51.817Z","false","false","None","false","false","36"
"TRA-013","Pacific Power","Transmission","HMI","192.168.212.79","2","4","0","2025-10-12T16:00:51.284Z","true","false","Basic","false","true","82"
"TRA-014","Pacific Power","Transmission","Arc Flash Monitor","192.168.98.145","1","5","3","2025-10-14T02:03:29.771Z","true","false","None","true","true","48"
"TRA-015","Pacific Power","Transmission","Arc Flash Monitor","192.168.242.195","3","3","4","2025-10-17T11:06:38.396Z","false","true","Enterprise","false","true","45"
"TRA-016","Pacific Power","Transmission","Environmental Monitor","192.168.136.214","1","2","0","2025-10-22T12:02:55.020Z","false","false","Advanced","false","false","47"
"TRA-017","Pacific Power","Transmission","SCADA","192.168.6.51","2","4","1","2025-10-18T02:37:01.583Z","true","true","Basic","false","true","40"
"TRA-018","Pacific Power","Transmission","IED","192.168.115.198","4","3","3","2025-09-24T18:51:06.657Z","true","true","None","true","true","69"
"TRA-019","Pacific Power","Transmission","Arc Flash Monitor","192.168.26.228","4","5","2","2025-10-10T02:17:36.076Z","true","false","None","false","true","79"
"TRA-020","Pacific Power","Transmission","RTU","192.168.81.30","3","1","4","2025-10-06T01:54:12.691Z","false","false","Enterprise","true","true","95"
"TRA-021","Pacific Power","Transmission","Protection Relay","192.168.187.81","4","5","3","2025-09-30T06:47:48.303Z","false","false","Enterprise","false","false","64"
"TRA-022","Pacific Power","Transmission","Arc Flash Monitor","192.168.33.15","1","8","2","2025-10-06T18:34:11.922Z","true","true","Basic","false","true","49"
"TRA-023","Pacific Power","Transmission","Arc Flash Monitor","192.168.130.249","4","2","2","2025-10-20T22:53:52.067Z","false","true","Advanced","false","false","34"
"TRA-024","Pacific Power","Transmission","EMS","192.168.113.189","2","9","1","2025-10-17T04:31:23.874Z","true","false","Basic","false","true","6"
"TRA-025","Pacific Power","Transmission","Protection Relay","192.168.2.236","4","5","2","2025-10-01T19:01:42.657Z","true","true","Enterprise","false","true","93"
"TRA-026","Pacific Power","Transmission","DMS","192.168.16.17","4","0","2","2025-10-06T10:44:35.127Z","false","true","Enterprise","false","false","40"
"TRA-027","Pacific Power","Transmission","IED","192.168.194.74","3","2","1","2025-10-06T01:31:00.565Z","false","true","Basic","true","true","38"
"TRA-028","Pacific Power","Transmission","SCADA","192.168.175.101","2","4","2","2025-10-02T21:13:48.447Z","false","true","Basic","false","true","91"
"TRA-029","Pacific Power","Transmission","RTU","192.168.22.66","2","3","1","2025-10-16T22:03:41.389Z","false","false","Enterprise","false","true","68"
"TRA-030","Pacific Power","Transmission","Environmental Monitor","192.168.88.62","1","6","4","2025-10-16T17:45:33.972Z","false","false","None","true","true","70"
"TRA-031","Pacific Power","Transmission","IED","192.168.115.71","3","4","4","2025-09-28T14:46:11.346Z","true","true","None","false","true","96"
"TRA-032","Pacific Power","Transmission","Arc Flash Monitor","192.168.49.52","2","5","0","2025-09-26T16:09:47.354Z","true","true","Advanced","false","false","66"
"TRA-033","Pacific Power","Transmission","RTU","192.168.202.155","4","2","1","2025-10-10T10:00:13.973Z","true","true","None","false","false","50"
"TRA-034","Pacific Power","Transmission","Arc Flash Monitor","192.168.84.116","3","2","2","2025-10-07T00:27:36.820Z","false","false","Basic","false","true","17"
"TRA-035","Pacific Power","Transmission","Environmental Monitor","192.168.0.233","4","1","4","2025-10-02T22:11:35.620Z","true","false","Advanced","true","true","79"
"TRA-036","Pacific Power","Transmission","DMS","192.168.158.118","4","3","3","2025-10-18T09:36:43.594Z","false","true","Advanced","true","false","2"
"TRA-037","Pacific Power","Transmission","SCADA","192.168.100.122","3","1","0","2025-10-16T00:12:27.216Z","false","true","Basic","false","false","71"
"TRA-038","Pacific Power","Transmission","EMS","192.168.254.254","1","8","2","2025-10-19T15:47:16.369Z","true","true","Advanced","true","true","2"
"TRA-039","Pacific Power","Transmission","Environmental Monitor","192.168.210.128","3","8","4","2025-10-14T17:31:38.230Z","false","true","None","false","true","57"
"TRA-040","Pacific Power","Transmission","Environmental Monitor","192.168.80.114","3","3","3","2025-10-12T02:56:43.925Z","true","true","Advanced","false","false","73"
"TRA-041","Pacific Power","Transmission","SCADA","192.168.140.29","3","8","1","2025-10-09T19:07:05.406Z","true","true","Basic","false","true","14"
"TRA-042","Pacific Power","Transmission","DMS","192.168.164.116","4","8","0","2025-10-13T06:15:30.583Z","true","true","Advanced","true","true","67"
"TRA-043","Pacific Power","Transmission","IED","192.168.125.62","4","3","2","2025-10-03T06:40:04.389Z","true","true","Enterprise","false","true","38"
"TRA-044","Pacific Power","Transmission","EMS","192.168.180.243","4","2","0","2025-10-15T17:34:49.613Z","true","true","Enterprise","false","true","17"
"TRA-045","Pacific Power","Transmission","SCADA","192.168.108.124","2","6","1","2025-10-15T02:58:36.750Z","true","false","None","true","true","67"
"TRA-046","Pacific Power","Transmission","IED","192.168.104.253","4","9","3","2025-10-21T07:12:42.893Z","false","true","None","true","true","15"
"DIS-001","Pacific Power","Distribution","Protection Relay","192.168.85.218","3","4","4","2025-10-02T07:40:26.262Z","false","true","Basic","false","true","57"
"DIS-002","Pacific Power","Distribution","Environmental Monitor","192.168.192.215","3","2","2","2025-10-02T16:08:43.336Z","true","false","Advanced","true","false","14"
"DIS-003","Pacific Power","Distribution","EMS","192.168.40.228","4","5","2","2025-10-02T03:33:50.959Z","true","true","Advanced","true","false","13"
"DIS-004","Pacific Power","Distribution","HMI","192.168.145.180","3","1","4","2025-10-24T12:21:57.964Z","true","true","None","true","true","86"
"DIS-005","Pacific Power","Distribution","IED","192.168.156.4","3","6","4","2025-10-14T18:25:23.249Z","true","false","Basic","true","false","62"
"DIS-006","Pacific Power","Distribution","EMS","192.168.119.165","3","1","4","2025-10-21T20:27:24.279Z","false","true","None","true","false","39"
"DIS-007","Pacific Power","Distribution","SCADA","192.168.160.140","3","0","0","2025-10-01T18:25:29.970Z","false","true","Enterprise","true","true","50"
"DIS-008","Pacific Power","Distribution","IED","192.168.126.100","1","5","4","2025-10-10T10:49:19.716Z","false","true","Enterprise","false","true","27"
"DIS-009","Pacific Power","Distribution","IED","192.168.102.134","2","5","3","2025-10-22T11:22:10.033Z","false","true","None","false","true","10"
"DIS-010","Pacific Power","Distribution","Grid Controller","192.168.227.4","3","9","2","2025-10-22T07:36:07.117Z","true","true","Advanced","false","false","77"
"DIS-011","Pacific Power","Distribution","DMS","192.168.115.70","2","8","1","2025-10-02T06:13:20.299Z","true","true","Enterprise","false","true","35"
"DIS-012","Pacific Power","Distribution","Grid Controller","192.168.101.24","4","5","2","2025-10-22T19:08:58.509Z","true","true","Enterprise","true","true","91"
"DIS-013","Pacific Power","Distribution","DMS","192.168.251.207","1","4","1","2025-10-18T17:40:19.208Z","true","true","Basic","true","false","81"
"DIS-014","Pacific Power","Distribution","DMS","192.168.81.171","1","3","3","2025-10-03T22:07:13.232Z","false","true","Basic","true","true","72"
"DIS-015","Pacific Power","Distribution","IED","192.168.56.94","1","1","1","2025-09-26T15:31:12.047Z","false","false","Enterprise","false","false","38"
"DIS-016","Pacific Power","Distribution","DMS","192.168.4.6","3","6","4","2025-10-07T00:49:00.399Z","true","true","Basic","false","true","3"
"DIS-017","Pacific Power","Distribution","Grid Controller","192.168.151.149","4","4","2","2025-10-07T22:21:31.517Z","true","false","Enterprise","false","true","69"
"DIS-018","Pacific Power","Distribution","DMS","192.168.112.145","1","6","1","2025-10-22T09:35:01.561Z","false","false","None","true","true","21"
"DIS-019","Pacific Power","Distribution","Protection Relay","192.168.189.126","4","3","3","2025-09-25T19:03:47.724Z","true","true","Enterprise","true","true","51"
"DIS-020","Pacific Power","Distribution","EMS","192.168.61.142","2","8","3","2025-10-09T07:13:49.504Z","true","false","Basic","true","false","36"
"DIS-021","Pacific Power","Distribution","HMI","192.168.57.54","3","8","0","2025-10-11T06:16:31.885Z","true","true","Enterprise","true","true","34"
"DIS-022","Pacific Power","Distribution","EMS","192.168.89.154","4","8","1","2025-09-27T20:13:04.303Z","false","false","None","false","false","61"
"DIS-023","Pacific Power","Distribution","HMI","192.168.125.3","4","2","3","2025-09-27T04:42:21.071Z","false","true","Enterprise","false","true","82"
"DIS-024","Pacific Power","Distribution","SCADA","192.168.254.212","1","7","4","2025-10-20T20:53:08.534Z","true","true","Advanced","true","true","95"
"DIS-025","Pacific Power","Distribution","SCADA","192.168.120.131","1","7","3","2025-10-17T23:31:48.230Z","true","false","Basic","true","true","7"
"DIS-026","Pacific Power","Distribution","Environmental Monitor","192.168.156.163","3","1","1","2025-10-07T01:58:14.122Z","true","true","Basic","true","true","70"
"DIS-027","Pacific Power","Distribution","Arc Flash Monitor","192.168.174.67","4","7","4","2025-09-29T12:04:33.192Z","false","true","None","false","true","80"
"DIS-028","Pacific Power","Distribution","SCADA","192.168.133.12","2","9","3","2025-10-16T23:19:57.040Z","true","false","Basic","false","false","60"
"CON-001","Pacific Power","Control Center","Arc Flash Monitor","192.168.3.72","3","2","2","2025-09-29T14:45:06.087Z","true","true","Advanced","true","true","42"
"CON-002","Pacific Power","Control Center","EMS","192.168.155.160","3","5","0","2025-10-16T14:58:37.789Z","true","false","Advanced","false","true","98"
"CON-003","Pacific Power","Control Center","EMS","192.168.162.54","3","5","4","2025-10-05T10:32:46.775Z","true","false","Enterprise","true","true","6"
"CON-004","Pacific Power","Control Center","HMI","192.168.207.28","1","3","3","2025-10-21T22:47:31.378Z","true","true","Enterprise","true","false","22"
"CON-005","Pacific Power","Control Center","HMI","192.168.155.122","2","7","4","2025-10-12T18:19:27.786Z","true","true","Enterprise","false","true","7"
"CON-006","Pacific Power","Control Center","SCADA","192.168.84.127","1","6","0","2025-10-04T05:45:47.059Z","true","true","Advanced","false","true","72"
"CON-007","Pacific Power","Control Center","Grid Controller","192.168.98.110","4","6","4","2025-10-10T09:42:37.047Z","false","false","Enterprise","false","true","69"
"CON-008","Pacific Power","Control Center","DMS","192.168.156.190","1","5","4","2025-10-20T07:29:25.641Z","true","true","Basic","false","true","63"
"CON-009","Pacific Power","Control Center","IED","192.168.67.204","2","5","1","2025-10-22T02:09:54.664Z","true","true","Advanced","false","true","49"
"CON-010","Pacific Power","Control Center","Arc Flash Monitor","192.168.6.194","1","5","1","2025-09-26T02:33:32.148Z","true","true","Enterprise","false","false","73"
"CON-011","Pacific Power","Control Center","HMI","192.168.232.111","1","5","4","2025-10-14T06:03:00.092Z","true","true","Enterprise","false","false","86"
"CON-012","Pacific Power","Control Center","HMI","192.168.59.143","4","1","2","2025-09-25T09:02:42.280Z","true","true","Enterprise","false","false","41"
"CON-013","Pacific Power","Control Center","RTU","192.168.167.222","4","2","3","2025-10-01T06:05:15.544Z","true","true","Enterprise","false","true","14"
"CON-014","Pacific Power","Control Center","Protection Relay","192.168.170.75","4","3","1","2025-09-27T01:02:35.373Z","true","true","Enterprise","true","true","67"
"CON-015","Pacific Power","Control Center","DMS","192.168.229.53","3","7","2","2025-10-24T07:20:19.062Z","false","true","None","true","true","43"
"CON-016","Pacific Power","Control Center","RTU","192.168.89.153","3","3","4","2025-10-08T06:36:27.829Z","false","true","Basic","false","true","23"
"CON-017","Pacific Power","Control Center","EMS","192.168.8.108","2","3","2","2025-10-03T06:20:26.183Z","true","true","Advanced","false","true","92"
"CON-018","Pacific Power","Control Center","IED","192.168.45.145","1","9","4","2025-10-11T00:39:26.099Z","false","true","None","true","false","68"
"CON-019","Pacific Power","Control Center","RTU","192.168.186.140","4","2","0","2025-09-30T05:11:23.078Z","false","false","Basic","false","true","42"
"CON-020","Pacific Power","Control Center","Grid Controller","192.168.108.146","1","3","2","2025-09-29T06:06:40.380Z","true","true","Enterprise","true","true","18"
"CON-021","Pacific Power","Control Center","SCADA","192.168.144.25","1","7","2","2025-10-20T10:22:18.672Z","true","true","Advanced","true","true","5"
"SUB-001","Pacific Power","Substation","Grid Controller","192.168.90.233","3","6","0","2025-10-07T15:38:41.193Z","true","false","Enterprise","false","true","24"
"SUB-002","Pacific Power","Substation","HMI","192.168.185.55","4","8","0","2025-09-25T18:07:23.925Z","true","false","None","true","true","40"
"SUB-003","Pacific Power","Substation","Protection Relay","192.168.223.252","2","8","3","2025-10-07T01:02:50.603Z","false","true","None","false","false","65"
"SUB-004","Pacific Power","Substation","RTU","192.168.203.119","1","0","0","2025-10-17T11:56:14.105Z","true","true","Basic","false","true","74"
"SUB-005","Pacific Power","Substation","DMS","192.168.115.226","1","2","3","2025-10-23T00:12:27.775Z","false","true","None","false","true","56"
"SUB-006","Pacific Power","Substation","IED","192.168.39.152","2","1","1","2025-10-11T10:28:42.027Z","true","true","Advanced","false","true","85"
"SUB-007","Pacific Power","Substation","Grid Controller","192.168.104.24","3","3","0","2025-09-30T21:42:02.417Z","true","false","Advanced","true","false","32"
"SUB-008","Pacific Power","Substation","Grid Controller","192.168.180.30","1","3","3","2025-10-02T18:34:14.712Z","true","false","Enterprise","true","true","51"
"SUB-009","Pacific Power","Substation","HMI","192.168.188.201","2","1","4","2025-10-05T14:19:45.018Z","true","true","Advanced","false","true","35"
"SUB-010","Pacific Power","Substation","SCADA","192.168.227.83","3","7","0","2025-10-23T17:18:11.468Z","false","true","Enterprise","false","false","46"
"SUB-011","Pacific Power","Substation","DMS","192.168.21.202","3","8","1","2025-09-26T09:58:07.857Z","false","false","Advanced","true","true","43"
"SUB-012","Pacific Power","Substation","Arc Flash Monitor","192.168.136.186","2","4","0","2025-10-14T21:27:10.280Z","true","true","Basic","false","true","86"
"SUB-013","Pacific Power","Substation","Protection Relay","192.168.88.65","3","8","1","2025-10-17T12:22:59.176Z","true","false","None","false","true","22"
"SUB-014","Pacific Power","Substation","Environmental Monitor","192.168.150.232","2","4","2","2025-10-09T05:00:03.765Z","true","true","None","false","true","62"
"SUB-015","Pacific Power","Substation","RTU","192.168.182.252","4","5","3","2025-10-17T20:11:59.123Z","true","true","Enterprise","true","true","98"
"SUB-016","Pacific Power","Substation","DMS","192.168.149.78","1","6","3","2025-10-02T00:03:27.734Z","true","true","Basic","false","false","26"
"SUB-017","Pacific Power","Substation","Grid Controller","192.168.40.225","4","2","3","2025-10-08T12:33:09.026Z","false","true","Basic","true","true","31"
"SUB-018","Pacific Power","Substation","Grid Controller","192.168.43.145","1","5","0","2025-10-04T12:00:19.268Z","false","true","Enterprise","true","true","82"
"SUB-019","Pacific Power","Substation","RTU","192.168.40.195","3","6","0","2025-10-09T07:27:33.529Z","false","false","Basic","true","true","61"
"SUB-020","Pacific Power","Substation","SCADA","192.168.73.212","1","6","0","2025-09-29T21:58:29.150Z","true","false","None","false","false","4"
"SUB-021","Pacific Power","Substation","Environmental Monitor","192.168.102.55","3","0","0","2025-10-10T08:45:09.534Z","true","true","Basic","false","true","28"
"ENV-001","Pacific Power","Environmental Controls","Arc Flash Monitor","192.168.100.175","1","7","3","2025-09-30T23:42:22.870Z","true","true","None","false","false","97"
"ENV-002","Pacific Power","Environmental Controls","EMS","192.168.82.144","2","9","0","2025-10-21T21:01:41.540Z","false","true","Basic","true","false","48"
"ENV-003","Pacific Power","Environmental Controls","Arc Flash Monitor","192.168.151.48","4","1","3","2025-10-13T07:24:37.152Z","true","true","Advanced","true","false","75"
"ENV-004","Pacific Power","Environmental Controls","SCADA","192.168.81.123","1","4","4","2025-10-02T23:28:18.726Z","true","true","Enterprise","true","false","73"
"ENV-005","Pacific Power","Environmental Controls","EMS","192.168.213.203","1","6","2","2025-10-17T03:30:53.423Z","true","true","Advanced","false","true","83"
"ENV-006","Pacific Power","Environmental Controls","IED","192.168.93.216","3","1","3","2025-10-12T02:21:16.483Z","true","true","Basic","true","true","1"
"ENV-007","Pacific Power","Environmental Controls","HMI","192.168.95.250","2","8","0","2025-10-03T08:19:18.383Z","false","false","Enterprise","true","false","76"
"ENV-008","Pacific Power","Environmental Controls","Protection Relay","192.168.87.76","3","3","2","2025-09-28T14:12:59.742Z","true","true","None","false","true","2"
"ENV-009","Pacific Power","Environmental Controls","HMI","192.168.188.245","2","0","0","2025-10-21T05:06:51.237Z","false","true","Enterprise","false","true","46"
"ENV-010","Pacific Power","Environmental Controls","Grid Controller","192.168.149.6","1","5","3","2025-10-11T16:36:02.338Z","false","false","Advanced","false","true","3"
"ENV-011","Pacific Power","Environmental Controls","DMS","192.168.211.214","3","7","3","2025-10-06T22:54:20.461Z","true","false","Basic","true","true","100"
"ENV-012","Pacific Power","Environmental Controls","SCADA","192.168.156.38","2","8","0","2025-10-08T06:19:03.958Z","false","true","Advanced","true","false","75"
"ENV-013","Pacific Power","Environmental Controls","RTU","192.168.109.170","4","1","2","2025-10-14T03:15:36.102Z","true","false","Advanced","false","true","66"
"ENV-014","Pacific Power","Environmental Controls","Environmental Monitor","192.168.232.204","1","1","1","2025-10-06T21:32:53.791Z","true","true","None","false","true","41"
"ENV-015","Pacific Power","Environmental Controls","EMS","192.168.166.181","3","8","2","2025-10-10T08:46:41.121Z","true","true","Enterprise","false","false","5"
"ENV-016","Pacific Power","Environmental Controls","RTU","192.168.23.205","4","4","3","2025-10-07T03:21:19.862Z","true","true","Enterprise","false","false","50"
"ENV-017","Pacific Power","Environmental Controls","HMI","192.168.187.124","3","4","0","2025-10-21T07:37:49.193Z","true","false","Enterprise","true","false","82"
"ENV-018","Pacific Power","Environmental Controls","Grid Controller","192.168.185.163","3","6","3","2025-10-22T12:23:42.706Z","true","true","Advanced","true","true","46"
"ENV-019","Pacific Power","Environmental Controls","SCADA","192.168.184.85","1","1","1","2025-10-15T04:32:34.710Z","false","true","Enterprise","true","false","42"
"ENV-020","Pacific Power","Environmental Controls","SCADA","192.168.89.113","3","2","1","2025-09-30T01:47:45.667Z","true","true","None","false","true","77"
"ENV-021","Pacific Power","Environmental Controls","SCADA","192.168.106.213","1","8","4","2025-10-07T12:35:54.667Z","true","false","None","false","true","41"
"ENV-022","Pacific Power","Environmental Controls","HMI","192.168.167.72","4","3","0","2025-09-24T19:21:47.212Z","true","false","Enterprise","false","true","29"
"ENV-023","Pacific Power","Environmental Controls","Grid Controller","192.168.170.83","4","7","4","2025-10-14T20:11:12.877Z","false","true","Basic","true","true","88"
"ENV-024","Pacific Power","Environmental Controls","EMS","192.168.68.186","4","8","0","2025-10-11T20:40:38.367Z","true","true","Enterprise","false","true","32"
"ENV-025","Pacific Power","Environmental Controls","HMI","192.168.25.12","3","5","4","2025-10-12T23:31:46.755Z","false","false","None","false","true","22"
"ENV-026","Pacific Power","Environmental Controls","EMS","192.168.152.12","3","1","4","2025-10-02T07:24:43.119Z","false","true","None","true","true","84"
"ENV-027","Pacific Power","Environmental Controls","HMI","192.168.101.39","1","9","3","2025-10-05T04:54:02.376Z","true","true","Advanced","true","false","99"
"ENV-028","Pacific Power","Environmental Controls","SCADA","192.168.158.114","1","3","3","2025-10-05T01:32:31.095Z","true","true","None","false","true","38"
"ENV-029","Pacific Power","Environmental Controls","IED","192.168.135.17","2","2","2","2025-10-12T20:44:38.145Z","true","true","Advanced","false","true","65"
"ENV-030","Pacific Power","Environmental Controls","RTU","192.168.90.232","1","8","1","2025-10-15T09:10:20.569Z","true","true","None","false","false","73"
