tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,nerc_cip,ferc_regulated,grid_stability
"GEN-018","Pacific Power","Generation Unit","EMS","Critical","EMS for Generation Unit operations","ABB","EMS-8424","Generation Unit - Bay 10","true","true","true"
"GEN-019","Pacific Power","Generation Unit","IED","Critical","IED for Generation Unit operations","Schneider","IED-8220","Generation Unit - Bay 1","true","true","true"
"GEN-020","Pacific Power","Generation Unit","IED","Critical","IED for Generation Unit operations","Siemens","IED-3649","Generation Unit - Bay 8","true","true","true"
"GEN-021","Pacific Power","Generation Unit","EMS","Critical","EMS for Generation Unit operations","ABB","EMS-9287","Generation Unit - Bay 3","true","true","true"
"GEN-022","Pacific Power","Generation Unit","HMI","Critical","HMI for Generation Unit operations","Schneider","HMI-6138","Generation Unit - Bay 20","true","true","true"
"GEN-023","Pacific Power","Generation Unit","EMS","Critical","EMS for Generation Unit operations","ABB","EMS-4936","Generation Unit - Bay 17","true","true","true"
"GEN-024","Pacific Power","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","ABB","ProtectionRelay-3353","Generation Unit - Bay 8","true","true","true"
"GEN-025","Pacific Power","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Siemens","ArcFlashMonitor-3452","Generation Unit - Bay 15","true","true","true"
"GEN-026","Pacific Power","Generation Unit","DMS","Critical","DMS for Generation Unit operations","GE","DMS-3249","Generation Unit - Bay 20","true","true","true"
"GEN-027","Pacific Power","Generation Unit","IED","Critical","IED for Generation Unit operations","Schneider","IED-6360","Generation Unit - Bay 5","true","true","true"
"GEN-028","Pacific Power","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","Honeywell","EnvironmentalMonitor-8261","Generation Unit - Bay 14","true","true","true"
"GEN-029","Pacific Power","Generation Unit","DMS","Critical","DMS for Generation Unit operations","GE","DMS-7057","Generation Unit - Bay 10","true","true","true"
"GEN-030","Pacific Power","Generation Unit","IED","Critical","IED for Generation Unit operations","Siemens","IED-6088","Generation Unit - Bay 4","true","true","true"
"GEN-031","Pacific Power","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","GE","ProtectionRelay-9963","Generation Unit - Bay 3","true","true","true"
"GEN-032","Pacific Power","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Schneider","DMS-9355","Generation Unit - Bay 8","true","true","true"
"GEN-033","Pacific Power","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","ABB","ProtectionRelay-4901","Generation Unit - Bay 9","true","true","true"
"GEN-034","Pacific Power","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Schneider","RTU-7716","Generation Unit - Bay 14","true","true","true"
"GEN-035","Pacific Power","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","Honeywell","GridController-8332","Generation Unit - Bay 8","true","true","true"
"GEN-036","Pacific Power","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","Honeywell","ProtectionRelay-6792","Generation Unit - Bay 3","true","true","true"
"GEN-037","Pacific Power","Generation Unit","HMI","Critical","HMI for Generation Unit operations","ABB","HMI-8849","Generation Unit - Bay 2","true","true","true"
"GEN-038","Pacific Power","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Siemens","ArcFlashMonitor-5926","Generation Unit - Bay 4","true","true","true"
"GEN-039","Pacific Power","Generation Unit","EMS","Critical","EMS for Generation Unit operations","Siemens","EMS-1726","Generation Unit - Bay 17","true","true","true"
"GEN-040","Pacific Power","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","Schneider","GridController-4086","Generation Unit - Bay 6","true","true","true"
"GEN-041","Pacific Power","Generation Unit","RTU","Critical","RTU for Generation Unit operations","ABB","RTU-3419","Generation Unit - Bay 10","true","true","true"
"GEN-042","Pacific Power","Generation Unit","EMS","Critical","EMS for Generation Unit operations","Honeywell","EMS-2178","Generation Unit - Bay 5","true","true","true"
"GEN-043","Pacific Power","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","Schneider","GridController-3816","Generation Unit - Bay 13","true","true","true"
"GEN-044","Pacific Power","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","Honeywell","SCADA-6292","Generation Unit - Bay 19","true","true","true"
"GEN-045","Pacific Power","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Honeywell","RTU-5166","Generation Unit - Bay 10","true","true","true"
"TRA-001","Pacific Power","Transmission","Arc Flash Monitor","Critical","Arc Flash Monitor for Transmission operations","GE","ArcFlashMonitor-6135","Transmission - Bay 1","true","true","true"
"TRA-002","Pacific Power","Transmission","HMI","Critical","HMI for Transmission operations","Schneider","HMI-6186","Transmission - Bay 12","true","true","true"
"TRA-003","Pacific Power","Transmission","SCADA","Critical","SCADA for Transmission operations","ABB","SCADA-7942","Transmission - Bay 12","true","true","true"
"TRA-004","Pacific Power","Transmission","Environmental Monitor","Critical","Environmental Monitor for Transmission operations","ABB","EnvironmentalMonitor-7692","Transmission - Bay 9","true","true","true"
"TRA-005","Pacific Power","Transmission","IED","Critical","IED for Transmission operations","Siemens","IED-9912","Transmission - Bay 17","true","true","true"
"TRA-006","Pacific Power","Transmission","Arc Flash Monitor","Critical","Arc Flash Monitor for Transmission operations","ABB","ArcFlashMonitor-9254","Transmission - Bay 15","true","true","true"
"TRA-007","Pacific Power","Transmission","EMS","Critical","EMS for Transmission operations","Honeywell","EMS-9429","Transmission - Bay 3","true","true","true"
"TRA-008","Pacific Power","Transmission","Arc Flash Monitor","Critical","Arc Flash Monitor for Transmission operations","ABB","ArcFlashMonitor-7863","Transmission - Bay 2","true","true","true"
"TRA-009","Pacific Power","Transmission","Protection Relay","Critical","Protection Relay for Transmission operations","Honeywell","ProtectionRelay-2464","Transmission - Bay 17","true","true","true"
"TRA-010","Pacific Power","Transmission","Grid Controller","Critical","Grid Controller for Transmission operations","GE","GridController-7886","Transmission - Bay 7","true","true","true"
"TRA-011","Pacific Power","Transmission","Grid Controller","Critical","Grid Controller for Transmission operations","Schneider","GridController-5342","Transmission - Bay 16","true","true","true"
"TRA-012","Pacific Power","Transmission","Environmental Monitor","Critical","Environmental Monitor for Transmission operations","Schneider","EnvironmentalMonitor-8024","Transmission - Bay 15","true","true","true"
"TRA-013","Pacific Power","Transmission","DMS","Critical","DMS for Transmission operations","Honeywell","DMS-3335","Transmission - Bay 2","true","true","true"
"TRA-014","Pacific Power","Transmission","RTU","Critical","RTU for Transmission operations","Siemens","RTU-1463","Transmission - Bay 16","true","true","true"
"TRA-015","Pacific Power","Transmission","EMS","Critical","EMS for Transmission operations","GE","EMS-3693","Transmission - Bay 18","true","true","true"
"TRA-016","Pacific Power","Transmission","Environmental Monitor","Critical","Environmental Monitor for Transmission operations","Siemens","EnvironmentalMonitor-1580","Transmission - Bay 19","true","true","true"
"TRA-017","Pacific Power","Transmission","HMI","Critical","HMI for Transmission operations","GE","HMI-9429","Transmission - Bay 19","true","true","true"
"TRA-018","Pacific Power","Transmission","Environmental Monitor","Critical","Environmental Monitor for Transmission operations","Honeywell","EnvironmentalMonitor-5852","Transmission - Bay 6","true","true","true"
"TRA-019","Pacific Power","Transmission","Environmental Monitor","Critical","Environmental Monitor for Transmission operations","ABB","EnvironmentalMonitor-2942","Transmission - Bay 2","true","true","true"
"TRA-020","Pacific Power","Transmission","Arc Flash Monitor","Critical","Arc Flash Monitor for Transmission operations","Schneider","ArcFlashMonitor-2690","Transmission - Bay 7","true","true","true"
"TRA-021","Pacific Power","Transmission","EMS","Critical","EMS for Transmission operations","GE","EMS-9270","Transmission - Bay 2","true","true","true"
"TRA-022","Pacific Power","Transmission","IED","Critical","IED for Transmission operations","Schneider","IED-4086","Transmission - Bay 6","true","true","true"
"TRA-023","Pacific Power","Transmission","Protection Relay","Critical","Protection Relay for Transmission operations","Schneider","ProtectionRelay-6214","Transmission - Bay 5","true","true","true"
"TRA-024","Pacific Power","Transmission","HMI","Critical","HMI for Transmission operations","GE","HMI-6151","Transmission - Bay 6","true","true","true"
"TRA-025","Pacific Power","Transmission","Environmental Monitor","Critical","Environmental Monitor for Transmission operations","Schneider","EnvironmentalMonitor-8367","Transmission - Bay 7","true","true","true"
"TRA-026","Pacific Power","Transmission","Grid Controller","Critical","Grid Controller for Transmission operations","Schneider","GridController-3171","Transmission - Bay 15","true","true","true"
"TRA-027","Pacific Power","Transmission","EMS","Critical","EMS for Transmission operations","GE","EMS-8623","Transmission - Bay 18","true","true","true"
"TRA-028","Pacific Power","Transmission","DMS","Critical","DMS for Transmission operations","Honeywell","DMS-9054","Transmission - Bay 14","true","true","true"
"TRA-029","Pacific Power","Transmission","SCADA","Critical","SCADA for Transmission operations","Schneider","SCADA-7696","Transmission - Bay 18","true","true","true"
"TRA-030","Pacific Power","Transmission","DMS","Critical","DMS for Transmission operations","Schneider","DMS-8781","Transmission - Bay 10","true","true","true"
"TRA-031","Pacific Power","Transmission","Grid Controller","Critical","Grid Controller for Transmission operations","GE","GridController-4594","Transmission - Bay 9","true","true","true"
"DIS-001","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","Honeywell","EMS-5662","Distribution - Bay 20","true","true","false"
"DIS-002","Pacific Power","Distribution","RTU","High","RTU for Distribution operations","Siemens","RTU-4359","Distribution - Bay 7","true","true","false"
"DIS-003","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","ABB","ArcFlashMonitor-3535","Distribution - Bay 15","true","true","false"
"DIS-004","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","GE","ArcFlashMonitor-4236","Distribution - Bay 16","true","true","false"
"DIS-005","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","Honeywell","EMS-5430","Distribution - Bay 17","true","true","false"
"DIS-006","Pacific Power","Distribution","RTU","High","RTU for Distribution operations","ABB","RTU-5434","Distribution - Bay 2","true","true","false"
"DIS-007","Pacific Power","Distribution","Environmental Monitor","High","Environmental Monitor for Distribution operations","Honeywell","EnvironmentalMonitor-5324","Distribution - Bay 1","true","true","false"
"DIS-008","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","ABB","GridController-8229","Distribution - Bay 10","true","true","false"
"DIS-009","Pacific Power","Distribution","IED","High","IED for Distribution operations","Siemens","IED-5196","Distribution - Bay 6","true","true","false"
"DIS-010","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","Honeywell","GridController-3436","Distribution - Bay 9","true","true","false"
"DIS-011","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","GE","SCADA-1626","Distribution - Bay 20","true","true","false"
"DIS-012","Pacific Power","Distribution","Environmental Monitor","High","Environmental Monitor for Distribution operations","Schneider","EnvironmentalMonitor-6507","Distribution - Bay 13","true","true","false"
"DIS-013","Pacific Power","Distribution","DMS","High","DMS for Distribution operations","Schneider","DMS-5815","Distribution - Bay 16","true","true","false"
"DIS-014","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","Siemens","EMS-6562","Distribution - Bay 13","true","true","false"
"DIS-015","Pacific Power","Distribution","IED","High","IED for Distribution operations","GE","IED-9157","Distribution - Bay 15","true","true","false"
"DIS-016","Pacific Power","Distribution","IED","High","IED for Distribution operations","Honeywell","IED-6189","Distribution - Bay 15","true","true","false"
"DIS-017","Pacific Power","Distribution","RTU","High","RTU for Distribution operations","Honeywell","RTU-2333","Distribution - Bay 17","true","true","false"
"DIS-018","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","Schneider","EMS-3916","Distribution - Bay 9","true","true","false"
"DIS-019","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","GE","GridController-2086","Distribution - Bay 7","true","true","false"
"DIS-020","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Honeywell","SCADA-2734","Distribution - Bay 11","true","true","false"
"DIS-021","Pacific Power","Distribution","Protection Relay","High","Protection Relay for Distribution operations","Schneider","ProtectionRelay-9101","Distribution - Bay 17","true","true","false"
"DIS-022","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","Schneider","ArcFlashMonitor-2788","Distribution - Bay 3","true","true","false"
"DIS-023","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","Schneider","GridController-2236","Distribution - Bay 7","true","true","false"
"DIS-024","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Siemens","SCADA-8014","Distribution - Bay 12","true","true","false"
"DIS-025","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","GE","EMS-9963","Distribution - Bay 13","true","true","false"
"DIS-026","Pacific Power","Distribution","DMS","High","DMS for Distribution operations","ABB","DMS-1041","Distribution - Bay 19","true","true","false"
"DIS-027","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","Siemens","ArcFlashMonitor-6489","Distribution - Bay 4","true","true","false"
"DIS-028","Pacific Power","Distribution","Environmental Monitor","High","Environmental Monitor for Distribution operations","Honeywell","EnvironmentalMonitor-4260","Distribution - Bay 20","true","true","false"
"DIS-029","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","Schneider","GridController-6022","Distribution - Bay 14","true","true","false"
"DIS-030","Pacific Power","Distribution","IED","High","IED for Distribution operations","Siemens","IED-4091","Distribution - Bay 19","true","true","false"
"DIS-031","Pacific Power","Distribution","Protection Relay","High","Protection Relay for Distribution operations","GE","ProtectionRelay-2868","Distribution - Bay 9","true","true","false"
"DIS-032","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","ABB","EMS-8203","Distribution - Bay 14","true","true","false"
"DIS-033","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","GE","SCADA-7577","Distribution - Bay 5","true","true","false"
"DIS-034","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","Honeywell","GridController-5618","Distribution - Bay 12","true","true","false"
"DIS-035","Pacific Power","Distribution","IED","High","IED for Distribution operations","GE","IED-6007","Distribution - Bay 11","true","true","false"
"DIS-036","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","Honeywell","EMS-8698","Distribution - Bay 6","true","true","false"
"DIS-037","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","GE","ArcFlashMonitor-2007","Distribution - Bay 17","true","true","false"
"DIS-038","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Siemens","SCADA-1159","Distribution - Bay 12","true","true","false"
"DIS-039","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Siemens","SCADA-8972","Distribution - Bay 5","true","true","false"
"DIS-040","Pacific Power","Distribution","DMS","High","DMS for Distribution operations","Honeywell","DMS-2757","Distribution - Bay 3","true","true","false"
"DIS-041","Pacific Power","Distribution","IED","High","IED for Distribution operations","Honeywell","IED-1796","Distribution - Bay 13","true","true","false"
"DIS-042","Pacific Power","Distribution","DMS","High","DMS for Distribution operations","Siemens","DMS-4905","Distribution - Bay 14","true","true","false"
"DIS-043","Pacific Power","Distribution","Protection Relay","High","Protection Relay for Distribution operations","Siemens","ProtectionRelay-8809","Distribution - Bay 3","true","true","false"
"DIS-044","Pacific Power","Distribution","DMS","High","DMS for Distribution operations","Schneider","DMS-2550","Distribution - Bay 17","true","true","false"
"DIS-045","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Schneider","SCADA-5793","Distribution - Bay 19","true","true","false"
"DIS-046","Pacific Power","Distribution","HMI","High","HMI for Distribution operations","Siemens","HMI-2590","Distribution - Bay 20","true","true","false"
"DIS-047","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Honeywell","SCADA-4227","Distribution - Bay 10","true","true","false"
"DIS-048","Pacific Power","Distribution","RTU","High","RTU for Distribution operations","ABB","RTU-8744","Distribution - Bay 13","true","true","false"
"DIS-049","Pacific Power","Distribution","IED","High","IED for Distribution operations","ABB","IED-9044","Distribution - Bay 10","true","true","false"
"DIS-050","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","Honeywell","GridController-7078","Distribution - Bay 3","true","true","false"
"DIS-051","Pacific Power","Distribution","IED","High","IED for Distribution operations","Schneider","IED-1811","Distribution - Bay 17","true","true","false"
"DIS-052","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","Siemens","ArcFlashMonitor-2638","Distribution - Bay 7","true","true","false"
"DIS-053","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","ABB","EMS-1230","Distribution - Bay 7","true","true","false"
"DIS-054","Pacific Power","Distribution","RTU","High","RTU for Distribution operations","Honeywell","RTU-3491","Distribution - Bay 11","true","true","false"
"DIS-055","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","Honeywell","ArcFlashMonitor-9501","Distribution - Bay 6","true","true","false"
"DIS-056","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","GE","EMS-5701","Distribution - Bay 12","true","true","false"
"DIS-057","Pacific Power","Distribution","Protection Relay","High","Protection Relay for Distribution operations","Honeywell","ProtectionRelay-1454","Distribution - Bay 19","true","true","false"
"DIS-058","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","Schneider","ArcFlashMonitor-5583","Distribution - Bay 12","true","true","false"
"DIS-059","Pacific Power","Distribution","EMS","High","EMS for Distribution operations","Schneider","EMS-5567","Distribution - Bay 4","true","true","false"
"DIS-060","Pacific Power","Distribution","Arc Flash Monitor","High","Arc Flash Monitor for Distribution operations","Siemens","ArcFlashMonitor-7077","Distribution - Bay 7","true","true","false"
"DIS-061","Pacific Power","Distribution","Protection Relay","High","Protection Relay for Distribution operations","Schneider","ProtectionRelay-1269","Distribution - Bay 9","true","true","false"
"DIS-062","Pacific Power","Distribution","HMI","High","HMI for Distribution operations","GE","HMI-1031","Distribution - Bay 1","true","true","false"
"DIS-063","Pacific Power","Distribution","SCADA","High","SCADA for Distribution operations","Honeywell","SCADA-6604","Distribution - Bay 14","true","true","false"
"DIS-064","Pacific Power","Distribution","RTU","High","RTU for Distribution operations","GE","RTU-6901","Distribution - Bay 19","true","true","false"
"DIS-065","Pacific Power","Distribution","Protection Relay","High","Protection Relay for Distribution operations","Schneider","ProtectionRelay-8210","Distribution - Bay 11","true","true","false"
"DIS-066","Pacific Power","Distribution","Grid Controller","High","Grid Controller for Distribution operations","ABB","GridController-2089","Distribution - Bay 17","true","true","false"
"CON-001","Pacific Power","Control Center","HMI","Critical","HMI for Control Center operations","ABB","HMI-2349","Control Center - Bay 9","true","true","true"
"CON-002","Pacific Power","Control Center","EMS","Critical","EMS for Control Center operations","ABB","EMS-5482","Control Center - Bay 11","true","true","true"
"CON-003","Pacific Power","Control Center","Grid Controller","Critical","Grid Controller for Control Center operations","ABB","GridController-2202","Control Center - Bay 16","true","true","true"
"CON-004","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","GE","IED-5209","Control Center - Bay 12","true","true","true"
"CON-005","Pacific Power","Control Center","RTU","Critical","RTU for Control Center operations","Siemens","RTU-5784","Control Center - Bay 2","true","true","true"
"CON-006","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","GE","IED-8929","Control Center - Bay 7","true","true","true"
"CON-007","Pacific Power","Control Center","Grid Controller","Critical","Grid Controller for Control Center operations","ABB","GridController-5731","Control Center - Bay 20","true","true","true"
"CON-008","Pacific Power","Control Center","Protection Relay","Critical","Protection Relay for Control Center operations","ABB","ProtectionRelay-8492","Control Center - Bay 13","true","true","true"
"CON-009","Pacific Power","Control Center","RTU","Critical","RTU for Control Center operations","Schneider","RTU-7764","Control Center - Bay 5","true","true","true"
"CON-010","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","Schneider","IED-8903","Control Center - Bay 5","true","true","true"
"CON-011","Pacific Power","Control Center","HMI","Critical","HMI for Control Center operations","Honeywell","HMI-2741","Control Center - Bay 18","true","true","true"
"CON-012","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","ABB","IED-1314","Control Center - Bay 10","true","true","true"
"CON-013","Pacific Power","Control Center","SCADA","Critical","SCADA for Control Center operations","GE","SCADA-6968","Control Center - Bay 14","true","true","true"
"CON-014","Pacific Power","Control Center","EMS","Critical","EMS for Control Center operations","Siemens","EMS-6344","Control Center - Bay 7","true","true","true"
"CON-015","Pacific Power","Control Center","Protection Relay","Critical","Protection Relay for Control Center operations","Schneider","ProtectionRelay-9569","Control Center - Bay 4","true","true","true"
"CON-016","Pacific Power","Control Center","EMS","Critical","EMS for Control Center operations","Honeywell","EMS-1987","Control Center - Bay 13","true","true","true"
"CON-017","Pacific Power","Control Center","SCADA","Critical","SCADA for Control Center operations","Schneider","SCADA-9255","Control Center - Bay 18","true","true","true"
"CON-018","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","GE","IED-9443","Control Center - Bay 6","true","true","true"
"CON-019","Pacific Power","Control Center","Protection Relay","Critical","Protection Relay for Control Center operations","ABB","ProtectionRelay-4119","Control Center - Bay 16","true","true","true"
"CON-020","Pacific Power","Control Center","DMS","Critical","DMS for Control Center operations","Schneider","DMS-4579","Control Center - Bay 9","true","true","true"
"CON-021","Pacific Power","Control Center","SCADA","Critical","SCADA for Control Center operations","Schneider","SCADA-9421","Control Center - Bay 2","true","true","true"
"CON-022","Pacific Power","Control Center","Grid Controller","Critical","Grid Controller for Control Center operations","GE","GridController-7798","Control Center - Bay 11","true","true","true"
"CON-023","Pacific Power","Control Center","DMS","Critical","DMS for Control Center operations","ABB","DMS-5829","Control Center - Bay 13","true","true","true"
"CON-024","Pacific Power","Control Center","DMS","Critical","DMS for Control Center operations","Honeywell","DMS-7404","Control Center - Bay 9","true","true","true"
"CON-025","Pacific Power","Control Center","EMS","Critical","EMS for Control Center operations","Schneider","EMS-2656","Control Center - Bay 11","true","true","true"
"CON-026","Pacific Power","Control Center","Grid Controller","Critical","Grid Controller for Control Center operations","Siemens","GridController-7459","Control Center - Bay 15","true","true","true"
"CON-027","Pacific Power","Control Center","HMI","Critical","HMI for Control Center operations","Honeywell","HMI-8116","Control Center - Bay 10","true","true","true"
"CON-028","Pacific Power","Control Center","HMI","Critical","HMI for Control Center operations","GE","HMI-6697","Control Center - Bay 17","true","true","true"
"CON-029","Pacific Power","Control Center","Grid Controller","Critical","Grid Controller for Control Center operations","Honeywell","GridController-2162","Control Center - Bay 18","true","true","true"
"CON-030","Pacific Power","Control Center","EMS","Critical","EMS for Control Center operations","ABB","EMS-2818","Control Center - Bay 4","true","true","true"
"CON-031","Pacific Power","Control Center","SCADA","Critical","SCADA for Control Center operations","Schneider","SCADA-5666","Control Center - Bay 19","true","true","true"
"CON-032","Pacific Power","Control Center","RTU","Critical","RTU for Control Center operations","Siemens","RTU-7625","Control Center - Bay 5","true","true","true"
"CON-033","Pacific Power","Control Center","Protection Relay","Critical","Protection Relay for Control Center operations","GE","ProtectionRelay-2769","Control Center - Bay 15","true","true","true"
"CON-034","Pacific Power","Control Center","RTU","Critical","RTU for Control Center operations","Schneider","RTU-5154","Control Center - Bay 12","true","true","true"
"CON-035","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","Honeywell","IED-5193","Control Center - Bay 5","true","true","true"
"CON-036","Pacific Power","Control Center","Environmental Monitor","Critical","Environmental Monitor for Control Center operations","ABB","EnvironmentalMonitor-3213","Control Center - Bay 9","true","true","true"
"CON-037","Pacific Power","Control Center","Environmental Monitor","Critical","Environmental Monitor for Control Center operations","Siemens","EnvironmentalMonitor-3699","Control Center - Bay 14","true","true","true"
"CON-038","Pacific Power","Control Center","Grid Controller","Critical","Grid Controller for Control Center operations","ABB","GridController-9007","Control Center - Bay 6","true","true","true"
"CON-039","Pacific Power","Control Center","Arc Flash Monitor","Critical","Arc Flash Monitor for Control Center operations","Honeywell","ArcFlashMonitor-5900","Control Center - Bay 17","true","true","true"
"CON-040","Pacific Power","Control Center","RTU","Critical","RTU for Control Center operations","Siemens","RTU-2419","Control Center - Bay 14","true","true","true"
"CON-041","Pacific Power","Control Center","Arc Flash Monitor","Critical","Arc Flash Monitor for Control Center operations","Schneider","ArcFlashMonitor-5846","Control Center - Bay 3","true","true","true"
"CON-042","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","GE","IED-6494","Control Center - Bay 17","true","true","true"
"CON-043","Pacific Power","Control Center","HMI","Critical","HMI for Control Center operations","Schneider","HMI-2244","Control Center - Bay 11","true","true","true"
"CON-044","Pacific Power","Control Center","SCADA","Critical","SCADA for Control Center operations","Honeywell","SCADA-3516","Control Center - Bay 12","true","true","true"
"CON-045","Pacific Power","Control Center","EMS","Critical","EMS for Control Center operations","GE","EMS-8737","Control Center - Bay 19","true","true","true"
"CON-046","Pacific Power","Control Center","Environmental Monitor","Critical","Environmental Monitor for Control Center operations","GE","EnvironmentalMonitor-1662","Control Center - Bay 18","true","true","true"
"CON-047","Pacific Power","Control Center","HMI","Critical","HMI for Control Center operations","Honeywell","HMI-6486","Control Center - Bay 10","true","true","true"
