asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality,gmp_critical,validation_status
"API-030","Boston Pharma","API Manufacturing","PLC","Siemens","PLC-8193","2025-06-11","Overdue","2025-12-01","Critical","true","Pending"
"API-031","Boston Pharma","API Manufacturing","Serialization System","Schneider","SerializationSystem-4680","2025-05-31","Current","2025-12-17","Critical","true","Validated"
"API-032","Boston Pharma","API Manufacturing","PLC","Rockwell","PLC-5531","2025-01-11","Current","2025-11-17","Critical","true","Validated"
"API-033","Boston Pharma","API Manufacturing","LIMS","Schneider","LIMS-5273","2025-04-23","Current","2026-01-07","Critical","true","Validated"
"API-034","Boston Pharma","API Manufacturing","LIMS","Rockwell","LIMS-4181","2025-09-01","Current","2025-12-16","Critical","true","Validated"
"API-035","Boston Pharma","API Manufacturing","Environmental Monitor","Emerson","EnvironmentalMonitor-4771","2024-12-05","Current","2026-01-16","Critical","true","Validated"
"API-036","Boston Pharma","API Manufacturing","LIMS","Emerson","LIMS-3913","2025-08-31","Current","2026-01-12","Critical","true","Validated"
"FOR-001","Boston Pharma","Formulation","Serialization System","Rockwell","SerializationSystem-7773","2024-12-30","Overdue","2025-12-01","Critical","true","Pending"
"FOR-002","Boston Pharma","Formulation","Safety PLC","Emerson","SafetyPLC-6103","2025-01-23","Current","2026-01-10","Critical","true","Validated"
"FOR-004","Boston Pharma","Formulation","Serialization System","Emerson","SerializationSystem-2323","2024-11-30","Overdue","2025-11-10","Critical","true","Pending"
"FOR-005","Boston Pharma","Formulation","MES","Rockwell","MES-2611","2025-06-22","Current","2025-12-28","Critical","true","Validated"
"FOR-007","Boston Pharma","Formulation","Temperature Controller","Rockwell","TemperatureController-8974","2025-09-08","Current","2026-01-18","Critical","true","Pending"
"FOR-008","Boston Pharma","Formulation","Serialization System","Schneider","SerializationSystem-1963","2025-10-08","Overdue","2026-01-04","Critical","true","Pending"
"FOR-010","Boston Pharma","Formulation","PLC","Honeywell","PLC-8262","2025-04-13","Overdue","2026-01-02","Critical","true","Validated"
"FOR-011","Boston Pharma","Formulation","Temperature Controller","Emerson","TemperatureController-3220","2025-09-03","Current","2025-11-19","Critical","true","Validated"
"FOR-012","Boston Pharma","Formulation","Safety PLC","Schneider","SafetyPLC-6775","2025-01-14","Overdue","2025-11-18","Critical","true","Pending"
"FOR-015","Boston Pharma","Formulation","LIMS","Rockwell","LIMS-9671","2024-11-25","Current","2026-01-15","Critical","true","Validated"
"FOR-016","Boston Pharma","Formulation","LIMS","Siemens","LIMS-3693","2024-12-20","Current","2025-11-18","Critical","true","Validated"
"FOR-017","Boston Pharma","Formulation","HMI","Honeywell","HMI-8624","2025-04-26","Current","2025-11-17","Critical","true","Pending"
"FOR-018","Boston Pharma","Formulation","MES","Rockwell","MES-1423","2025-04-10","Current","2025-11-19","Critical","true","Validated"
"FOR-019","Boston Pharma","Formulation","Temperature Controller","Siemens","TemperatureController-2112","2024-12-12","Current","2025-12-16","Critical","true","Validated"
"FOR-020","Boston Pharma","Formulation","Safety PLC","Emerson","SafetyPLC-3575","2024-12-13","Current","2025-12-06","Critical","true","Validated"
"FOR-021","Boston Pharma","Formulation","Environmental Monitor","Emerson","EnvironmentalMonitor-4844","2025-08-28","Current","2025-11-15","Critical","true","Validated"
"FOR-022","Boston Pharma","Formulation","Environmental Monitor","Emerson","EnvironmentalMonitor-2445","2025-03-17","Current","2026-01-08","Critical","true","Validated"
"FOR-023","Boston Pharma","Formulation","PLC","Emerson","PLC-2166","2024-10-27","Current","2025-10-24","Critical","true","Validated"
"FOR-024","Boston Pharma","Formulation","Batch Controller","Schneider","BatchController-3564","2025-08-22","Current","2026-01-20","Critical","true","Validated"
"FOR-026","Boston Pharma","Formulation","HMI","Siemens","HMI-7155","2024-12-02","Current","2025-11-30","Critical","true","Validated"
"FOR-027","Boston Pharma","Formulation","HMI","Honeywell","HMI-6348","2024-12-05","Overdue","2025-11-21","Critical","true","Validated"
"FOR-028","Boston Pharma","Formulation","Temperature Controller","Rockwell","TemperatureController-4868","2025-06-04","Current","2025-12-14","Critical","true","Validated"
"FOR-029","Boston Pharma","Formulation","Safety PLC","Honeywell","SafetyPLC-2408","2025-04-15","Overdue","2025-11-11","Critical","true","Pending"
"FOR-031","Boston Pharma","Formulation","Serialization System","Emerson","SerializationSystem-7689","2024-11-03","Current","2026-01-20","Critical","true","Validated"
"FOR-032","Boston Pharma","Formulation","HMI","Rockwell","HMI-6701","2025-08-03","Overdue","2025-12-20","Critical","true","Pending"
"FOR-033","Boston Pharma","Formulation","Temperature Controller","Siemens","TemperatureController-9327","2025-05-04","Current","2025-12-09","Critical","true","Validated"
"FOR-034","Boston Pharma","Formulation","Environmental Monitor","Siemens","EnvironmentalMonitor-9176","2025-06-27","Overdue","2025-11-09","Critical","true","Pending"
"FOR-035","Boston Pharma","Formulation","PLC","Honeywell","PLC-2146","2025-01-31","Overdue","2026-01-08","Critical","true","Pending"
"FOR-036","Boston Pharma","Formulation","Temperature Controller","Emerson","TemperatureController-9749","2024-12-22","Overdue","2025-11-15","Critical","true","Validated"
"FOR-037","Boston Pharma","Formulation","SCADA","Emerson","SCADA-7655","2025-01-16","Current","2025-12-03","Critical","true","Pending"
"FOR-038","Boston Pharma","Formulation","PLC","Siemens","PLC-9738","2025-06-10","Overdue","2025-12-29","Critical","true","Pending"
"FOR-039","Boston Pharma","Formulation","PLC","Emerson","PLC-2885","2025-01-25","Current","2025-12-04","Critical","true","Pending"
"FOR-040","Boston Pharma","Formulation","Safety PLC","Emerson","SafetyPLC-2733","2025-10-19","Current","2025-11-11","Critical","true","Validated"
"FOR-042","Boston Pharma","Formulation","LIMS","Rockwell","LIMS-7410","2025-01-23","Current","2025-12-10","Critical","true","Pending"
"FOR-043","Boston Pharma","Formulation","HMI","Honeywell","HMI-4380","2025-09-24","Current","2025-12-27","Critical","true","Pending"
"FOR-044","Boston Pharma","Formulation","Serialization System","Emerson","SerializationSystem-7681","2025-07-08","Current","2026-01-15","Critical","true","Validated"
"FOR-046","Boston Pharma","Formulation","HMI","Siemens","HMI-7775","2024-10-28","Current","2025-12-17","Critical","true","Validated"
"PAC-001","Boston Pharma","Packaging","Serialization System","Emerson","SerializationSystem-2156","2025-10-24","Current","2025-12-02","High","false","Validated"
"PAC-002","Boston Pharma","Packaging","MES","Schneider","MES-2273","2025-03-23","Current","2025-12-05","High","false","Pending"
"PAC-003","Boston Pharma","Packaging","HMI","Rockwell","HMI-7270","2025-02-25","Overdue","2025-11-14","High","false","Validated"
"PAC-004","Boston Pharma","Packaging","Safety PLC","Emerson","SafetyPLC-2947","2025-08-27","Current","2026-01-02","High","false","Pending"
"PAC-005","Boston Pharma","Packaging","SCADA","Honeywell","SCADA-4146","2025-09-06","Current","2025-11-14","High","false","Validated"
"PAC-007","Boston Pharma","Packaging","Safety PLC","Honeywell","SafetyPLC-3635","2024-12-03","Current","2025-12-21","High","false","Pending"
"PAC-009","Boston Pharma","Packaging","MES","Siemens","MES-6838","2025-10-13","Current","2026-01-15","High","false","Pending"
"PAC-010","Boston Pharma","Packaging","Environmental Monitor","Honeywell","EnvironmentalMonitor-9716","2025-07-17","Current","2025-12-08","High","false","Validated"
"PAC-012","Boston Pharma","Packaging","HMI","Emerson","HMI-2778","2025-10-06","Current","2025-12-13","High","false","Validated"
"PAC-013","Boston Pharma","Packaging","SCADA","Honeywell","SCADA-7236","2025-06-23","Current","2025-12-01","High","false","Validated"
"PAC-014","Boston Pharma","Packaging","Serialization System","Siemens","SerializationSystem-6917","2025-05-12","Current","2026-01-16","High","false","Pending"
"PAC-015","Boston Pharma","Packaging","Temperature Controller","Rockwell","TemperatureController-3730","2025-04-11","Overdue","2025-12-09","High","false","Validated"
"PAC-016","Boston Pharma","Packaging","Environmental Monitor","Honeywell","EnvironmentalMonitor-8750","2024-11-08","Current","2025-12-01","High","false","Validated"
"PAC-017","Boston Pharma","Packaging","SCADA","Emerson","SCADA-5259","2025-10-22","Current","2025-10-29","High","false","Validated"
"PAC-018","Boston Pharma","Packaging","Environmental Monitor","Schneider","EnvironmentalMonitor-9669","2025-08-07","Overdue","2026-01-15","High","false","Validated"
"PAC-020","Boston Pharma","Packaging","Environmental Monitor","Rockwell","EnvironmentalMonitor-3418","2025-04-13","Current","2026-01-02","High","false","Validated"
"PAC-021","Boston Pharma","Packaging","Safety PLC","Rockwell","SafetyPLC-1178","2024-11-29","Current","2026-01-07","High","false","Pending"
"PAC-022","Boston Pharma","Packaging","MES","Siemens","MES-1044","2024-11-09","Current","2025-12-03","High","false","Validated"
"PAC-023","Boston Pharma","Packaging","SCADA","Rockwell","SCADA-5903","2024-12-12","Current","2025-11-02","High","false","Validated"
"PAC-024","Boston Pharma","Packaging","Safety PLC","Honeywell","SafetyPLC-4128","2024-11-21","Current","2026-01-17","High","false","Pending"
"PAC-025","Boston Pharma","Packaging","Serialization System","Honeywell","SerializationSystem-1043","2025-08-01","Current","2026-01-13","High","false","Validated"
"PAC-026","Boston Pharma","Packaging","HMI","Siemens","HMI-3266","2025-01-26","Overdue","2026-01-17","High","false","Pending"
"PAC-027","Boston Pharma","Packaging","PLC","Rockwell","PLC-4084","2025-04-03","Current","2025-12-20","High","false","Validated"
"PAC-028","Boston Pharma","Packaging","SCADA","Rockwell","SCADA-5943","2025-08-07","Overdue","2025-11-06","High","false","Validated"
"PAC-029","Boston Pharma","Packaging","LIMS","Schneider","LIMS-7057","2025-05-06","Current","2025-11-10","High","false","Pending"
"PAC-031","Boston Pharma","Packaging","PLC","Emerson","PLC-6166","2025-09-26","Overdue","2025-12-05","High","false","Validated"
"PAC-033","Boston Pharma","Packaging","Serialization System","Honeywell","SerializationSystem-2098","2024-12-25","Current","2025-11-22","High","false","Pending"
"PAC-034","Boston Pharma","Packaging","PLC","Emerson","PLC-8174","2025-02-25","Current","2025-12-25","High","false","Pending"
"PAC-036","Boston Pharma","Packaging","LIMS","Schneider","LIMS-2431","2025-03-13","Current","2025-12-21","High","false","Validated"
"PAC-037","Boston Pharma","Packaging","SCADA","Honeywell","SCADA-9066","2025-06-22","Current","2026-01-13","High","false","Validated"
"PAC-039","Boston Pharma","Packaging","Temperature Controller","Siemens","TemperatureController-5269","2024-12-28","Current","2026-01-06","High","false","Validated"
"PAC-040","Boston Pharma","Packaging","SCADA","Rockwell","SCADA-9812","2025-08-13","Overdue","2026-01-17","High","false","Pending"
"PAC-041","Boston Pharma","Packaging","HMI","Emerson","HMI-8443","2025-07-07","Current","2025-12-16","High","false","Validated"
"QUA-001","Boston Pharma","Quality Control Lab","LIMS","Rockwell","LIMS-5468","2025-08-06","Current","2025-11-05","Critical","true","Pending"
"QUA-003","Boston Pharma","Quality Control Lab","Safety PLC","Emerson","SafetyPLC-7540","2024-10-30","Overdue","2025-11-01","Critical","true","Pending"
"QUA-004","Boston Pharma","Quality Control Lab","PLC","Siemens","PLC-2408","2025-03-08","Current","2025-12-14","Critical","true","Validated"
"QUA-005","Boston Pharma","Quality Control Lab","HMI","Rockwell","HMI-3459","2025-05-27","Overdue","2025-12-01","Critical","true","Validated"
"QUA-006","Boston Pharma","Quality Control Lab","Serialization System","Siemens","SerializationSystem-5592","2025-01-31","Current","2026-01-07","Critical","true","Validated"
"QUA-008","Boston Pharma","Quality Control Lab","SCADA","Rockwell","SCADA-3111","2025-03-06","Current","2026-01-17","Critical","true","Pending"
"QUA-009","Boston Pharma","Quality Control Lab","Batch Controller","Siemens","BatchController-2738","2025-05-27","Current","2025-11-29","Critical","true","Pending"
"QUA-010","Boston Pharma","Quality Control Lab","SCADA","Siemens","SCADA-3228","2024-11-27","Current","2025-12-01","Critical","true","Validated"
"QUA-012","Boston Pharma","Quality Control Lab","Batch Controller","Schneider","BatchController-2976","2025-10-10","Current","2026-01-09","Critical","true","Pending"
"QUA-013","Boston Pharma","Quality Control Lab","Safety PLC","Siemens","SafetyPLC-2897","2025-07-25","Current","2025-12-05","Critical","true","Pending"
"QUA-014","Boston Pharma","Quality Control Lab","MES","Emerson","MES-8690","2025-01-28","Current","2025-12-18","Critical","true","Validated"
"QUA-015","Boston Pharma","Quality Control Lab","MES","Honeywell","MES-4668","2025-06-12","Current","2025-12-13","Critical","true","Validated"
"QUA-016","Boston Pharma","Quality Control Lab","Serialization System","Honeywell","SerializationSystem-2273","2025-09-13","Current","2025-11-19","Critical","true","Validated"
"QUA-017","Boston Pharma","Quality Control Lab","Batch Controller","Honeywell","BatchController-1551","2024-11-18","Current","2025-12-16","Critical","true","Validated"
"QUA-018","Boston Pharma","Quality Control Lab","HMI","Rockwell","HMI-8367","2025-02-25","Current","2025-11-22","Critical","true","Validated"
"QUA-020","Boston Pharma","Quality Control Lab","Serialization System","Rockwell","SerializationSystem-2799","2025-04-10","Current","2025-11-02","Critical","true","Validated"
"QUA-021","Boston Pharma","Quality Control Lab","MES","Rockwell","MES-7606","2025-10-05","Current","2026-01-10","Critical","true","Pending"
"QUA-022","Boston Pharma","Quality Control Lab","SCADA","Honeywell","SCADA-2480","2025-05-09","Current","2025-12-03","Critical","true","Validated"
"QUA-024","Boston Pharma","Quality Control Lab","SCADA","Emerson","SCADA-1368","2024-11-07","Current","2025-12-15","Critical","true","Validated"
"QUA-025","Boston Pharma","Quality Control Lab","Batch Controller","Siemens","BatchController-9827","2025-01-17","Overdue","2025-11-06","Critical","true","Pending"
"QUA-027","Boston Pharma","Quality Control Lab","Safety PLC","Schneider","SafetyPLC-3986","2025-05-25","Overdue","2026-01-10","Critical","true","Pending"
"QUA-028","Boston Pharma","Quality Control Lab","Batch Controller","Emerson","BatchController-2428","2024-10-30","Overdue","2026-01-04","Critical","true","Validated"
"QUA-029","Boston Pharma","Quality Control Lab","PLC","Siemens","PLC-2663","2025-09-14","Current","2026-01-12","Critical","true","Validated"
"QUA-030","Boston Pharma","Quality Control Lab","HMI","Honeywell","HMI-5473","2024-12-05","Overdue","2025-12-05","Critical","true","Validated"
"QUA-031","Boston Pharma","Quality Control Lab","Environmental Monitor","Schneider","EnvironmentalMonitor-6218","2025-06-16","Current","2025-12-14","Critical","true","Pending"
"QUA-033","Boston Pharma","Quality Control Lab","Serialization System","Honeywell","SerializationSystem-7068","2025-04-08","Current","2025-12-31","Critical","true","Pending"
"QUA-034","Boston Pharma","Quality Control Lab","Batch Controller","Siemens","BatchController-5217","2025-04-05","Current","2025-11-11","Critical","true","Validated"
"QUA-036","Boston Pharma","Quality Control Lab","Temperature Controller","Emerson","TemperatureController-3606","2024-10-28","Overdue","2025-12-10","Critical","true","Pending"
"QUA-037","Boston Pharma","Quality Control Lab","HMI","Honeywell","HMI-2028","2025-06-20","Current","2025-12-18","Critical","true","Pending"
"UTI-001","Boston Pharma","Utilities","PLC","Rockwell","PLC-9940","2025-08-26","Overdue","2025-12-31","High","false","Validated"
"UTI-003","Boston Pharma","Utilities","Environmental Monitor","Honeywell","EnvironmentalMonitor-4306","2025-07-30","Current","2025-12-01","High","false","Validated"
"UTI-004","Boston Pharma","Utilities","LIMS","Emerson","LIMS-6317","2025-04-27","Overdue","2026-01-02","High","false","Validated"
"UTI-005","Boston Pharma","Utilities","MES","Emerson","MES-7619","2025-03-30","Current","2026-01-17","High","false","Validated"
"UTI-007","Boston Pharma","Utilities","Environmental Monitor","Siemens","EnvironmentalMonitor-4664","2025-09-22","Overdue","2025-12-20","High","false","Validated"
"UTI-009","Boston Pharma","Utilities","Safety PLC","Honeywell","SafetyPLC-9244","2025-10-23","Overdue","2025-11-14","High","false","Validated"
"UTI-010","Boston Pharma","Utilities","Safety PLC","Siemens","SafetyPLC-9826","2024-12-14","Current","2025-12-25","High","false","Pending"
"UTI-011","Boston Pharma","Utilities","HMI","Honeywell","HMI-6292","2025-02-12","Current","2025-11-17","High","false","Validated"
"UTI-013","Boston Pharma","Utilities","Safety PLC","Emerson","SafetyPLC-4461","2025-01-25","Current","2025-11-19","High","false","Validated"
"UTI-015","Boston Pharma","Utilities","Safety PLC","Honeywell","SafetyPLC-4393","2025-04-01","Current","2025-11-04","High","false","Validated"
"UTI-016","Boston Pharma","Utilities","LIMS","Emerson","LIMS-3362","2025-04-25","Current","2025-12-05","High","false","Validated"
"UTI-017","Boston Pharma","Utilities","Batch Controller","Rockwell","BatchController-4523","2025-05-10","Overdue","2025-11-28","High","false","Pending"
"UTI-018","Boston Pharma","Utilities","Temperature Controller","Honeywell","TemperatureController-3956","2025-07-30","Current","2026-01-10","High","false","Pending"
"UTI-019","Boston Pharma","Utilities","Temperature Controller","Honeywell","TemperatureController-2080","2024-12-18","Overdue","2025-12-25","High","false","Validated"
"UTI-020","Boston Pharma","Utilities","HMI","Emerson","HMI-5518","2025-06-07","Overdue","2025-12-01","High","false","Validated"
"UTI-021","Boston Pharma","Utilities","MES","Schneider","MES-9966","2025-09-13","Current","2026-01-10","High","false","Validated"
"UTI-022","Boston Pharma","Utilities","Safety PLC","Siemens","SafetyPLC-9282","2024-11-01","Overdue","2025-11-15","High","false","Validated"
"UTI-023","Boston Pharma","Utilities","Temperature Controller","Honeywell","TemperatureController-4146","2025-09-04","Current","2025-11-25","High","false","Validated"
"WAR-001","Boston Pharma","Warehouse","Safety PLC","Siemens","SafetyPLC-1919","2025-01-19","Current","2026-01-22","Medium","false","Validated"
"WAR-003","Boston Pharma","Warehouse","Batch Controller","Emerson","BatchController-1562","2024-11-28","Current","2025-12-23","Medium","false","Pending"
"WAR-005","Boston Pharma","Warehouse","Temperature Controller","Rockwell","TemperatureController-3355","2025-02-03","Current","2025-11-25","Medium","false","Pending"
"WAR-007","Boston Pharma","Warehouse","Batch Controller","Schneider","BatchController-6768","2025-10-07","Overdue","2026-01-17","Medium","false","Validated"
"WAR-008","Boston Pharma","Warehouse","Safety PLC","Rockwell","SafetyPLC-1277","2025-07-01","Overdue","2025-10-26","Medium","false","Pending"
"WAR-009","Boston Pharma","Warehouse","MES","Siemens","MES-4037","2025-02-21","Current","2025-10-31","Medium","false","Pending"
"WAR-010","Boston Pharma","Warehouse","HMI","Honeywell","HMI-4323","2025-01-08","Current","2025-11-09","Medium","false","Validated"
"WAR-012","Boston Pharma","Warehouse","MES","Rockwell","MES-7038","2025-09-23","Current","2026-01-04","Medium","false","Validated"
"WAR-014","Boston Pharma","Warehouse","LIMS","Schneider","LIMS-3787","2025-03-23","Overdue","2026-01-14","Medium","false","Validated"
"WAR-015","Boston Pharma","Warehouse","Temperature Controller","Rockwell","TemperatureController-6945","2025-05-10","Current","2025-11-30","Medium","false","Validated"
"WAR-017","Boston Pharma","Warehouse","PLC","Honeywell","PLC-4190","2025-02-02","Current","2026-01-18","Medium","false","Validated"
"WAR-018","Boston Pharma","Warehouse","Temperature Controller","Siemens","TemperatureController-3862","2025-07-10","Current","2025-11-12","Medium","false","Validated"
"WAR-020","Boston Pharma","Warehouse","LIMS","Schneider","LIMS-1778","2025-02-06","Current","2025-11-16","Medium","false","Pending"
"WAR-023","Boston Pharma","Warehouse","Safety PLC","Schneider","SafetyPLC-8883","2025-08-25","Current","2025-12-18","Medium","false","Validated"
"WAR-025","Boston Pharma","Warehouse","Temperature Controller","Rockwell","TemperatureController-4710","2025-01-04","Current","2026-01-01","Medium","false","Validated"
"WAR-026","Boston Pharma","Warehouse","PLC","Siemens","PLC-6326","2025-03-22","Current","2025-12-24","Medium","false","Pending"
"WAR-027","Boston Pharma","Warehouse","LIMS","Emerson","LIMS-7991","2025-06-22","Current","2025-11-29","Medium","false","Validated"
"WAR-030","Boston Pharma","Warehouse","SCADA","Emerson","SCADA-9274","2025-07-26","Current","2025-12-09","Medium","false","Validated"
"WAR-031","Boston Pharma","Warehouse","LIMS","Schneider","LIMS-5571","2025-07-30","Overdue","2026-01-15","Medium","false","Validated"
"WAR-032","Boston Pharma","Warehouse","MES","Rockwell","MES-9972","2025-03-23","Overdue","2025-11-28","Medium","false","Validated"
"WAR-033","Boston Pharma","Warehouse","Safety PLC","Siemens","SafetyPLC-2388","2025-02-16","Current","2025-12-15","Medium","false","Validated"
"WAR-034","Boston Pharma","Warehouse","HMI","Siemens","HMI-3594","2025-04-25","Current","2025-11-30","Medium","false","Validated"
"WAR-035","Boston Pharma","Warehouse","PLC","Emerson","PLC-1021","2025-07-03","Overdue","2025-12-13","Medium","false","Validated"
"WAR-036","Boston Pharma","Warehouse","HMI","Rockwell","HMI-7434","2025-01-14","Current","2025-11-23","Medium","false","Pending"
"WAR-037","Boston Pharma","Warehouse","HMI","Siemens","HMI-5960","2025-04-18","Current","2025-12-15","Medium","false","Validated"
"WAR-039","Boston Pharma","Warehouse","MES","Rockwell","MES-6212","2025-07-20","Current","2025-11-28","Medium","false","Validated"
"WAR-040","Boston Pharma","Warehouse","PLC","Rockwell","PLC-2575","2025-02-26","Current","2025-11-03","Medium","false","Pending"
"WAR-042","Boston Pharma","Warehouse","SCADA","Siemens","SCADA-7072","2025-02-25","Current","2025-12-13","Medium","false","Validated"
"WAR-044","Boston Pharma","Warehouse","Environmental Monitor","Honeywell","EnvironmentalMonitor-4034","2025-04-07","Current","2026-01-07","Medium","false","Validated"
"WAR-045","Boston Pharma","Warehouse","Environmental Monitor","Siemens","EnvironmentalMonitor-9306","2025-05-11","Current","2026-01-03","Medium","false","Validated"
"WAR-046","Boston Pharma","Warehouse","Serialization System","Emerson","SerializationSystem-5812","2025-01-01","Overdue","2026-01-12","Medium","false","Pending"
"WAR-047","Boston Pharma","Warehouse","PLC","Emerson","PLC-2776","2025-05-10","Current","2025-12-12","Medium","false","Pending"
"WAR-048","Boston Pharma","Warehouse","PLC","Rockwell","PLC-7498","2024-10-25","Current","2026-01-10","Medium","false","Pending"
"API-001","San Diego Biotech","API Manufacturing","Environmental Monitor","Emerson","EnvironmentalMonitor-3490","2025-02-16","Current","2026-01-17","Critical","true","Pending"
"API-003","San Diego Biotech","API Manufacturing","Environmental Monitor","Emerson","EnvironmentalMonitor-6544","2025-07-29","Current","2026-01-14","Critical","true","Pending"
"API-004","San Diego Biotech","API Manufacturing","Environmental Monitor","Rockwell","EnvironmentalMonitor-5771","2025-09-14","Current","2025-12-30","Critical","true","Pending"
"API-005","San Diego Biotech","API Manufacturing","MES","Siemens","MES-7271","2025-07-09","Current","2025-11-18","Critical","true","Pending"
"API-006","San Diego Biotech","API Manufacturing","Batch Controller","Schneider","BatchController-2625","2025-06-30","Current","2026-01-06","Critical","true","Pending"
"API-007","San Diego Biotech","API Manufacturing","Safety PLC","Siemens","SafetyPLC-6673","2025-03-25","Current","2025-11-08","Critical","true","Validated"
"API-008","San Diego Biotech","API Manufacturing","PLC","Emerson","PLC-8088","2025-05-13","Current","2025-12-11","Critical","true","Pending"
"API-009","San Diego Biotech","API Manufacturing","HMI","Emerson","HMI-5791","2025-07-31","Overdue","2025-11-28","Critical","true","Pending"
"API-010","San Diego Biotech","API Manufacturing","LIMS","Rockwell","LIMS-8872","2024-11-29","Overdue","2025-11-03","Critical","true","Validated"
"API-012","San Diego Biotech","API Manufacturing","MES","Rockwell","MES-5219","2025-02-18","Current","2026-01-22","Critical","true","Validated"
"API-013","San Diego Biotech","API Manufacturing","LIMS","Schneider","LIMS-7824","2024-11-16","Current","2025-12-28","Critical","true","Validated"
"API-015","San Diego Biotech","API Manufacturing","Safety PLC","Emerson","SafetyPLC-3135","2025-08-20","Overdue","2026-01-09","Critical","true","Pending"
"API-016","San Diego Biotech","API Manufacturing","LIMS","Rockwell","LIMS-4774","2025-05-16","Current","2025-11-04","Critical","true","Pending"
"API-017","San Diego Biotech","API Manufacturing","LIMS","Honeywell","LIMS-7057","2025-05-08","Current","2026-01-12","Critical","true","Validated"
"API-018","San Diego Biotech","API Manufacturing","Serialization System","Rockwell","SerializationSystem-8482","2025-05-11","Current","2025-12-02","Critical","true","Pending"
"API-019","San Diego Biotech","API Manufacturing","SCADA","Honeywell","SCADA-6874","2025-05-15","Overdue","2025-12-03","Critical","true","Validated"
"API-020","San Diego Biotech","API Manufacturing","Temperature Controller","Emerson","TemperatureController-4491","2025-01-05","Current","2025-11-29","Critical","true","Pending"
"API-021","San Diego Biotech","API Manufacturing","Temperature Controller","Honeywell","TemperatureController-9133","2025-05-19","Current","2025-11-17","Critical","true","Validated"
"API-022","San Diego Biotech","API Manufacturing","Temperature Controller","Schneider","TemperatureController-5498","2025-09-14","Overdue","2025-12-29","Critical","true","Validated"
"API-023","San Diego Biotech","API Manufacturing","MES","Honeywell","MES-8225","2025-06-01","Current","2025-12-11","Critical","true","Pending"
"API-024","San Diego Biotech","API Manufacturing","MES","Honeywell","MES-3032","2025-03-13","Current","2025-11-09","Critical","true","Pending"
"API-025","San Diego Biotech","API Manufacturing","Environmental Monitor","Schneider","EnvironmentalMonitor-8003","2025-09-18","Current","2025-10-28","Critical","true","Validated"
