tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
TMMK-STM-0011,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Press Controller,1,Critical,Rockwell,ROC-PressController-7822,SN-I7AL3QJMWL,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 6",2024-09-19,192.168.10.10,Ethernet/IP,100,,2025-05-08,2026-06-06
TMMK-STM-0012,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,SICK,SIC-ServoDrive-4933,SN-6Y46O0YN4C,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2025-04-12,192.168.10.10,EtherCAT,100,,2025-11-06,2026-07-01
TMMK-STM-0013,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Cognex,COG-ServoDrive-7592,SN-4SRXO4QZ70,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2024-11-23,192.168.10.10,OPC UA,100,,2025-01-26,2027-06-07
TMMK-STM-0014,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Komatsu,KOM-ServoDrive-9144,SN-M1D9DOWSTY,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2021-02-03,192.168.10.10,EtherCAT,100,,2026-01-12,2027-09-22
TMMK-STM-0015,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Fanuc,FAN-ServoDrive-6236,SN-FTMCNHLY6D,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2021-04-11,192.168.10.10,OPC UA,100,,2025-03-06,2027-06-06
TMMK-STM-0016,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Cognex,COG-ServoDrive-8597,SN-UQAUB1O03F,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2024-12-22,192.168.10.10,EtherCAT,100,,2025-02-10,2027-06-28
TMMK-STM-0017,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Fanuc,FAN-ServoDrive-3991,SN-L6XNMA5R1M,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2024-10-05,192.168.10.10,EtherCAT,100,,2025-10-14,2028-01-15
TMMK-STM-0018,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Siemens,SIE-ServoDrive-3383,SN-8ODL5QLEGM,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2023-06-27,192.168.10.10,OPC UA,100,,2025-12-19,2027-10-03
TMMK-STM-0019,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Cognex,COG-ServoDrive-9907,SN-PZ9FTPMNZH,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2026-01-20,192.168.10.10,OPC UA,100,,2025-09-02,2027-02-02
TMMK-STM-0020,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Cognex,COG-ServoDrive-4242,SN-YT43RPIMWT,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2023-09-22,192.168.10.10,EtherCAT,100,,2025-10-04,2026-11-15
TMMK-STM-0021,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Fanuc,FAN-ServoDrive-9248,SN-5U6LTR5CAS,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2020-06-14,192.168.10.10,Ethernet/IP,100,,2025-06-06,2026-09-01
TMMK-STM-0022,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Schuler,SCH-ServoDrive-8600,SN-1OU2JEB4RB,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2021-03-18,192.168.10.10,Ethernet/IP,100,,2025-11-13,2026-11-03
TMMK-STM-0023,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Fanuc,FAN-ServoDrive-4006,SN-6PCDV82FVG,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2024-03-17,192.168.10.10,Ethernet/IP,100,,2025-12-05,2027-09-19
TMMK-STM-0024,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,SICK,SIC-ServoDrive-8574,SN-7QUE24F5C2,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 10",2022-05-01,192.168.10.10,Ethernet/IP,100,,2025-09-23,2027-12-06
TMMK-STM-0025,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Rockwell,ROC-ServoDrive-6165,SN-N09LIU21YM,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2024-12-16,192.168.10.10,Modbus TCP,100,,2025-07-31,2027-10-07
TMMK-STM-0026,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Siemens,SIE-ServoDrive-5680,SN-4MCZ366XAZ,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2025-08-29,192.168.10.10,EtherCAT,100,,2025-02-08,2027-09-19
TMMK-STM-0027,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Komatsu,KOM-ServoDrive-3861,SN-YKKPU7LGRW,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2024-09-05,192.168.10.10,EtherCAT,100,,2025-09-29,2027-01-20
TMMK-STM-0028,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Schuler,SCH-ServoDrive-6031,SN-T8M4XULQSK,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2021-08-25,192.168.10.10,PROFINET,100,,2025-02-14,2026-10-05
TMMK-STM-0029,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Siemens,SIE-ServoDrive-3085,SN-C91UX70UEV,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 7",2022-08-09,192.168.10.10,EtherCAT,100,,2025-08-05,2026-12-14
TMMK-STM-0030,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Siemens,SIE-ServoDrive-5126,SN-GU4KXLHM94,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2025-11-16,192.168.10.10,PROFINET,100,,2025-09-25,2028-01-15
TMMK-STM-0031,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Schuler,SCH-ServoDrive-1537,SN-KLTU9ZSF4R,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 7",2025-08-01,192.168.10.10,Ethernet/IP,100,,2025-10-30,2026-05-12
TMMK-STM-0032,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Servo Drive,2,High,Komatsu,KOM-ServoDrive-4566,SN-RN5H9C98HZ,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2024-05-29,192.168.10.10,OPC UA,100,,2025-08-23,2026-07-14
TMMK-STM-0033,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Schuler,SCH-ServoDrive-9962,SN-SEUSUEEDO6,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2025-10-22,192.168.10.10,PROFINET,100,,2025-02-10,2027-02-14
TMMK-STM-0034,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Servo Drive,2,High,Rockwell,ROC-ServoDrive-2468,SN-CC8IPWGUNV,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 10",2022-12-31,192.168.10.10,PROFINET,100,,2025-11-15,2027-01-01
TMMK-STM-0035,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Servo Drive,2,High,Komatsu,KOM-ServoDrive-3795,SN-5MTJRDTBOV,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2020-03-04,192.168.10.10,EtherCAT,100,,2026-01-12,2027-06-15
TMMK-STM-0036,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Servo Drive,2,High,Siemens,SIE-ServoDrive-1037,SN-SUQB1YXSB2,Servo Drive for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2024-12-14,192.168.10.10,EtherCAT,100,,2025-04-19,2027-08-13
TMMK-STM-0037,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Transfer Robot,1,Critical,Komatsu,KOM-TransferRobot-6033,SN-DKW2Z4KOYC,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2020-07-17,192.168.10.10,Modbus TCP,100,,2025-08-29,2028-01-20
TMMK-STM-0038,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Transfer Robot,1,Critical,Schuler,SCH-TransferRobot-2853,SN-N6G6XSVQ2H,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2021-08-30,192.168.10.10,Modbus TCP,100,,2025-04-10,2027-01-25
TMMK-STM-0039,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Transfer Robot,1,Critical,Komatsu,KOM-TransferRobot-5570,SN-UXC2NM4FID,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2024-07-15,192.168.10.10,Ethernet/IP,100,,2026-01-13,2027-04-20
TMMK-STM-0040,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Transfer Robot,1,Critical,Schuler,SCH-TransferRobot-8752,SN-N33HYL8JRI,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 6",2024-02-03,192.168.10.10,EtherCAT,100,,2025-04-11,2027-12-29
TMMK-STM-0041,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Transfer Robot,1,Critical,SICK,SIC-TransferRobot-8140,SN-58DTFHZVPY,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2021-11-27,192.168.10.10,EtherCAT,100,,2025-03-11,2027-10-23
TMMK-STM-0042,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Transfer Robot,1,Critical,Rockwell,ROC-TransferRobot-9270,SN-SO2LMXCZG3,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2024-11-20,192.168.10.10,EtherCAT,100,,2025-11-15,2027-03-19
TMMK-STM-0043,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Transfer Robot,1,Critical,Keyence,KEY-TransferRobot-1767,SN-R7O7S6MHQY,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2022-02-06,192.168.10.10,OPC UA,100,,2025-11-22,2027-09-08
TMMK-STM-0044,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Transfer Robot,1,Critical,Cognex,COG-TransferRobot-1963,SN-5RJIPTSONJ,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2024-12-19,192.168.10.10,Modbus TCP,100,,2025-09-18,2026-07-20
TMMK-STM-0045,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Transfer Robot,1,Critical,Rockwell,ROC-TransferRobot-6994,SN-XYR6CWTJT5,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2025-05-25,192.168.10.10,PROFINET,100,,2025-02-13,2026-08-14
TMMK-STM-0046,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Transfer Robot,1,Critical,SICK,SIC-TransferRobot-5473,SN-U1DMOVKYKD,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2021-01-31,192.168.10.10,OPC UA,100,,2025-04-21,2026-06-18
TMMK-STM-0047,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Transfer Robot,1,Critical,Fanuc,FAN-TransferRobot-8177,SN-4OO4USJ52G,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 6",2021-10-09,192.168.10.10,Ethernet/IP,100,,2025-03-29,2027-05-28
TMMK-STM-0048,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Transfer Robot,1,Critical,Cognex,COG-TransferRobot-9275,SN-1YWOODPWC7,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2023-10-29,192.168.10.10,OPC UA,100,,2025-09-23,2027-07-12
TMMK-STM-0049,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Transfer Robot,1,Critical,Fanuc,FAN-TransferRobot-9289,SN-Q6PXH13BO7,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2020-10-03,192.168.10.10,EtherCAT,100,,2025-02-09,2027-10-11
TMMK-STM-0050,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Transfer Robot,1,Critical,Siemens,SIE-TransferRobot-5522,SN-3Q6JI9P6XQ,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2022-04-22,192.168.10.10,Modbus TCP,100,,2025-06-26,2027-05-26
TMMK-STM-0051,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Transfer Robot,1,Critical,Schuler,SCH-TransferRobot-9658,SN-IRSB6R6RPO,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2020-07-08,192.168.10.10,Ethernet/IP,100,,2025-01-29,2027-11-29
TMMK-STM-0052,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Transfer Robot,1,Critical,Keyence,KEY-TransferRobot-5333,SN-EPKXGWX5UJ,Transfer Robot for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2022-10-23,192.168.10.10,Ethernet/IP,100,,2025-06-28,2027-10-15
TMMK-STM-0053,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Vision System,2,High,Fanuc,FAN-VisionSystem-4481,SN-7W586CZQG4,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2024-08-25,192.168.10.10,Ethernet/IP,100,,2025-05-17,2027-01-22
TMMK-STM-0054,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Vision System,2,High,Schuler,SCH-VisionSystem-3828,SN-Q0NNE3MZOU,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2025-12-31,192.168.10.10,Modbus TCP,100,,2025-06-01,2027-06-16
TMMK-STM-0055,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Vision System,2,High,Siemens,SIE-VisionSystem-5668,SN-TJZX49HFMO,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2021-05-18,192.168.10.10,Modbus TCP,100,,2025-05-29,2028-01-08
TMMK-STM-0056,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Vision System,2,High,Cognex,COG-VisionSystem-7644,SN-80AWH8EEKN,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2025-12-23,192.168.10.10,Modbus TCP,100,,2025-05-12,2026-02-05
TMMK-STM-0057,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Vision System,2,High,Siemens,SIE-VisionSystem-8281,SN-YHQXJD8TNN,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2024-05-30,192.168.10.10,PROFINET,100,,2025-06-17,2027-10-02
TMMK-STM-0058,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Vision System,2,High,Cognex,COG-VisionSystem-8859,SN-ZRZH3HOUK2,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2025-05-13,192.168.10.10,Modbus TCP,100,,2025-07-14,2027-07-05
TMMK-STM-0059,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Vision System,2,High,Rockwell,ROC-VisionSystem-4339,SN-D48DOU7WSZ,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2025-12-21,192.168.10.10,OPC UA,100,,2025-03-31,2026-10-26
TMMK-STM-0060,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Vision System,2,High,SICK,SIC-VisionSystem-1586,SN-AKUX8VDBTW,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2020-03-11,192.168.10.10,EtherCAT,100,,2026-01-22,2026-03-13
TMMK-STM-0061,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Vision System,2,High,Schuler,SCH-VisionSystem-6138,SN-VYE6BQ0YUL,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2020-12-13,192.168.10.10,Ethernet/IP,100,,2025-10-12,2027-05-11
TMMK-STM-0062,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Vision System,2,High,Keyence,KEY-VisionSystem-2509,SN-2F9FAPJIG2,Vision System for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2023-01-06,192.168.10.10,Modbus TCP,100,,2025-07-11,2026-03-08
TMMK-STM-0063,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Safety PLC,1,Critical,Siemens,SIE-SafetyPLC-8369,SN-U9E3LOH7M9,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2021-02-16,192.168.10.10,Modbus TCP,100,SIS-STM,2025-08-04,2027-08-02
TMMK-STM-0064,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Safety PLC,1,Critical,Rockwell,ROC-SafetyPLC-3289,SN-W2Q13KR5AG,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2023-04-13,192.168.10.10,EtherCAT,100,SIS-STM,2025-11-11,2026-02-18
TMMK-STM-0065,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Safety PLC,1,Critical,SICK,SIC-SafetyPLC-9973,SN-4566N0F4I9,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2024-04-30,192.168.10.10,Ethernet/IP,100,SIS-STM,2025-04-26,2026-12-10
TMMK-STM-0066,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Safety PLC,1,Critical,Schuler,SCH-SafetyPLC-4026,SN-XZ1HSYL4YH,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 6",2024-05-03,192.168.10.10,PROFINET,100,SIS-STM,2025-06-05,2027-10-13
TMMK-STM-0067,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Safety PLC,1,Critical,Siemens,SIE-SafetyPLC-8580,SN-0XVOR8AN9F,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 10",2024-03-07,192.168.10.10,Ethernet/IP,100,SIS-STM,2025-02-14,2026-02-07
TMMK-STM-0068,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Safety PLC,1,Critical,Cognex,COG-SafetyPLC-8212,SN-60Y9IZPAUS,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 7",2024-03-31,192.168.10.10,PROFINET,100,SIS-STM,2025-08-03,2026-06-07
TMMK-STM-0069,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Safety PLC,1,Critical,Rockwell,ROC-SafetyPLC-5155,SN-ORIH8ZVTMO,Safety PLC for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2022-06-10,192.168.10.10,Modbus TCP,100,SIS-STM,2025-12-10,2027-02-10
TMMK-STM-0070,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,HMI Panel,1,Critical,Siemens,SIE-HMIPanel-7998,SN-YXSVH2GZ63,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2023-10-01,192.168.10.10,EtherCAT,100,,2025-11-28,2027-11-24
TMMK-STM-0071,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,HMI Panel,1,Critical,Rockwell,ROC-HMIPanel-3231,SN-DM3OKRN7BX,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2024-05-11,192.168.10.10,EtherCAT,100,,2025-10-03,2027-04-10
TMMK-STM-0072,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,HMI Panel,1,Critical,Schuler,SCH-HMIPanel-3554,SN-2FL021BV1J,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 3",2025-08-05,192.168.10.10,OPC UA,100,,2025-11-08,2026-06-24
TMMK-STM-0073,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,HMI Panel,1,Critical,Fanuc,FAN-HMIPanel-9766,SN-MMH9FI8JHZ,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2023-09-18,192.168.10.10,Modbus TCP,100,,2025-09-04,2026-04-30
TMMK-STM-0074,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,HMI Panel,1,Critical,Schuler,SCH-HMIPanel-9377,SN-3DLVHYXYSG,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2021-06-30,192.168.10.10,Modbus TCP,100,,2025-07-07,2027-05-05
TMMK-STM-0075,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,HMI Panel,1,Critical,Cognex,COG-HMIPanel-5012,SN-KMOG2BFO8F,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 8",2020-08-11,192.168.10.10,EtherCAT,100,,2025-11-23,2027-02-08
TMMK-STM-0076,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,HMI Panel,1,Critical,Siemens,SIE-HMIPanel-6771,SN-LNBJIVGHYM,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 6",2025-05-09,192.168.10.10,EtherCAT,100,,2025-10-07,2027-08-06
TMMK-STM-0077,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,HMI Panel,1,Critical,SICK,SIC-HMIPanel-8789,SN-UR6G6O9XHT,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2024-03-11,192.168.10.10,OPC UA,100,,2025-08-02,2027-08-30
TMMK-STM-0078,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,HMI Panel,1,Critical,SICK,SIC-HMIPanel-2647,SN-896OVDVHA8,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2022-09-08,192.168.10.10,OPC UA,100,,2025-08-06,2027-06-09
TMMK-STM-0079,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,HMI Panel,1,Critical,Rockwell,ROC-HMIPanel-5835,SN-5ZAKZ16J1F,HMI Panel for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 4",2023-10-09,192.168.10.10,Ethernet/IP,100,,2025-02-05,2026-10-25
