tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location
"BOD-015","Detroit Assembly","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","ABB","ConveyorController-3753","Body Shop - Station 15"
"BOD-016","Detroit Assembly","Body Shop","Quality Scanner","Critical","Quality Scanner for Body Shop operations","KUKA","QualityScanner-3554","Body Shop - Station 16"
"BOD-017","Detroit Assembly","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Fanuc","AssemblyRobot-7053","Body Shop - Station 17"
"BOD-018","Detroit Assembly","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Siemens","ConveyorController-8605","Body Shop - Station 18"
"BOD-019","Detroit Assembly","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","KUKA","SafetyPLC-1258","Body Shop - Station 19"
"BOD-020","Detroit Assembly","Body Shop","Vision System","Critical","Vision System for Body Shop operations","ABB","VisionSystem-9052","Body Shop - Station 20"
"BOD-021","Detroit Assembly","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","Siemens","WeldingController-9028","Body Shop - Station 21"
"BOD-022","Detroit Assembly","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Rockwell","ConveyorController-4880","Body Shop - Station 22"
"BOD-023","Detroit Assembly","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","KUKA","SafetyPLC-6186","Body Shop - Station 23"
"BOD-024","Detroit Assembly","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","ABB","SCADASystem-9164","Body Shop - Station 24"
"BOD-025","Detroit Assembly","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","KUKA","SafetyPLC-6735","Body Shop - Station 25"
"BOD-026","Detroit Assembly","Body Shop","Robot Controller","Critical","Robot Controller for Body Shop operations","Siemens","RobotController-6004","Body Shop - Station 26"
"BOD-027","Detroit Assembly","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","Rockwell","SafetyPLC-1079","Body Shop - Station 27"
"PAI-001","Detroit Assembly","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","Siemens","PaintRobot-8624","Paint Shop - Station 1"
"PAI-002","Detroit Assembly","Paint Shop","HMI Station","Critical","HMI Station for Paint Shop operations","KUKA","HMIStation-6521","Paint Shop - Station 2"
"PAI-003","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","KUKA","ConveyorController-7922","Paint Shop - Station 3"
"PAI-004","Detroit Assembly","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","KUKA","PaintController-8012","Paint Shop - Station 4"
"PAI-005","Detroit Assembly","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","ABB","PaintController-4967","Paint Shop - Station 5"
"PAI-006","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Siemens","ConveyorController-4891","Paint Shop - Station 6"
"PAI-007","Detroit Assembly","Paint Shop","Robot Controller","Critical","Robot Controller for Paint Shop operations","ABB","RobotController-2733","Paint Shop - Station 7"
"PAI-008","Detroit Assembly","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","KUKA","SCADASystem-8588","Paint Shop - Station 8"
"PAI-009","Detroit Assembly","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Fanuc","SCADASystem-7611","Paint Shop - Station 9"
"PAI-010","Detroit Assembly","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","ABB","WeldingController-9538","Paint Shop - Station 10"
"PAI-011","Detroit Assembly","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Rockwell","SafetyPLC-1795","Paint Shop - Station 11"
"PAI-012","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Rockwell","ConveyorController-8392","Paint Shop - Station 12"
"PAI-013","Detroit Assembly","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","Fanuc","VisionSystem-6902","Paint Shop - Station 13"
"PAI-014","Detroit Assembly","Paint Shop","HMI Station","Critical","HMI Station for Paint Shop operations","Fanuc","HMIStation-4215","Paint Shop - Station 14"
"PAI-015","Detroit Assembly","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Fanuc","SafetyPLC-9242","Paint Shop - Station 15"
"PAI-016","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","ABB","ConveyorController-6339","Paint Shop - Station 16"
"PAI-017","Detroit Assembly","Paint Shop","HMI Station","Critical","HMI Station for Paint Shop operations","ABB","HMIStation-6520","Paint Shop - Station 17"
"PAI-018","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Fanuc","ConveyorController-9808","Paint Shop - Station 18"
"PAI-019","Detroit Assembly","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Siemens","SafetyPLC-5119","Paint Shop - Station 19"
"PAI-020","Detroit Assembly","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Siemens","AssemblyRobot-8536","Paint Shop - Station 20"
"PAI-021","Detroit Assembly","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","KUKA","WeldingRobot-1610","Paint Shop - Station 21"
"PAI-022","Detroit Assembly","Paint Shop","Robot Controller","Critical","Robot Controller for Paint Shop operations","ABB","RobotController-9406","Paint Shop - Station 22"
"PAI-023","Detroit Assembly","Paint Shop","Robot Controller","Critical","Robot Controller for Paint Shop operations","KUKA","RobotController-4467","Paint Shop - Station 23"
"PAI-024","Detroit Assembly","Paint Shop","Robot Controller","Critical","Robot Controller for Paint Shop operations","Fanuc","RobotController-6098","Paint Shop - Station 24"
"PAI-025","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Rockwell","ConveyorController-4387","Paint Shop - Station 25"
"PAI-026","Detroit Assembly","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","ABB","SCADASystem-3463","Paint Shop - Station 26"
"PAI-027","Detroit Assembly","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","ABB","VisionSystem-8774","Paint Shop - Station 27"
"PAI-028","Detroit Assembly","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Rockwell","AssemblyRobot-1565","Paint Shop - Station 28"
"PAI-029","Detroit Assembly","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","Rockwell","PaintController-5712","Paint Shop - Station 29"
"PAI-030","Detroit Assembly","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","ABB","PaintController-6126","Paint Shop - Station 30"
"PAI-031","Detroit Assembly","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Fanuc","ConveyorController-7529","Paint Shop - Station 31"
"PAI-032","Detroit Assembly","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","KUKA","WeldingController-3583","Paint Shop - Station 32"
"PAI-033","Detroit Assembly","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Siemens","SCADASystem-7980","Paint Shop - Station 33"
"PAI-034","Detroit Assembly","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","Rockwell","PaintRobot-7821","Paint Shop - Station 34"
"PAI-035","Detroit Assembly","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","Fanuc","VisionSystem-7149","Paint Shop - Station 35"
"PAI-036","Detroit Assembly","Paint Shop","Quality Scanner","Critical","Quality Scanner for Paint Shop operations","Fanuc","QualityScanner-1894","Paint Shop - Station 36"
"PAI-037","Detroit Assembly","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","Siemens","WeldingController-1652","Paint Shop - Station 37"
"PAI-038","Detroit Assembly","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","Rockwell","PaintRobot-9275","Paint Shop - Station 38"
"ASS-001","Detroit Assembly","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","Siemens","SCADASystem-1209","Assembly Line - Station 1"
"ASS-002","Detroit Assembly","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","ABB","SafetyPLC-7535","Assembly Line - Station 2"
"ASS-003","Detroit Assembly","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Fanuc","PaintController-2524","Assembly Line - Station 3"
"ASS-004","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Fanuc","RobotController-4402","Assembly Line - Station 4"
"ASS-005","Detroit Assembly","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Rockwell","AssemblyRobot-6876","Assembly Line - Station 5"
"ASS-006","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Siemens","PaintRobot-1711","Assembly Line - Station 6"
"ASS-007","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-7177","Assembly Line - Station 7"
"ASS-008","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","KUKA","PaintRobot-8725","Assembly Line - Station 8"
"ASS-009","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","KUKA","VisionSystem-7737","Assembly Line - Station 9"
"ASS-010","Detroit Assembly","Assembly Line","Quality Scanner","Critical","Quality Scanner for Assembly Line operations","Rockwell","QualityScanner-4936","Assembly Line - Station 10"
"ASS-011","Detroit Assembly","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Rockwell","PaintController-7518","Assembly Line - Station 11"
"ASS-012","Detroit Assembly","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","Siemens","HMIStation-5025","Assembly Line - Station 12"
"ASS-013","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Rockwell","VisionSystem-3158","Assembly Line - Station 13"
"ASS-014","Detroit Assembly","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","KUKA","PaintController-1732","Assembly Line - Station 14"
"ASS-015","Detroit Assembly","Assembly Line","Quality Scanner","Critical","Quality Scanner for Assembly Line operations","Fanuc","QualityScanner-1729","Assembly Line - Station 15"
"ASS-016","Detroit Assembly","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","ABB","HMIStation-9393","Assembly Line - Station 16"
"ASS-017","Detroit Assembly","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Siemens","SafetyPLC-5185","Assembly Line - Station 17"
"ASS-018","Detroit Assembly","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","KUKA","HMIStation-2213","Assembly Line - Station 18"
"ASS-019","Detroit Assembly","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Siemens","WeldingRobot-3361","Assembly Line - Station 19"
"ASS-020","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-8582","Assembly Line - Station 20"
"ASS-021","Detroit Assembly","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Siemens","AssemblyRobot-8732","Assembly Line - Station 21"
"ASS-022","Detroit Assembly","Assembly Line","Quality Scanner","Critical","Quality Scanner for Assembly Line operations","Fanuc","QualityScanner-1404","Assembly Line - Station 22"
"ASS-023","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","ABB","RobotController-5779","Assembly Line - Station 23"
"ASS-024","Detroit Assembly","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Rockwell","AssemblyRobot-5468","Assembly Line - Station 24"
"ASS-025","Detroit Assembly","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Siemens","WeldingController-7559","Assembly Line - Station 25"
"ASS-026","Detroit Assembly","Assembly Line","Quality Scanner","Critical","Quality Scanner for Assembly Line operations","Fanuc","QualityScanner-2348","Assembly Line - Station 26"
"ASS-027","Detroit Assembly","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Fanuc","SafetyPLC-3307","Assembly Line - Station 27"
"ASS-028","Detroit Assembly","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Fanuc","WeldingController-6564","Assembly Line - Station 28"
"ASS-029","Detroit Assembly","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Fanuc","WeldingController-5154","Assembly Line - Station 29"
"ASS-030","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-3889","Assembly Line - Station 30"
"ASS-031","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Rockwell","RobotController-9024","Assembly Line - Station 31"
"ASS-032","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Siemens","PaintRobot-9790","Assembly Line - Station 32"
"ASS-033","Detroit Assembly","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Rockwell","WeldingRobot-1608","Assembly Line - Station 33"
"ASS-034","Detroit Assembly","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","Siemens","ConveyorController-5090","Assembly Line - Station 34"
"ASS-035","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-8972","Assembly Line - Station 35"
"ASS-036","Detroit Assembly","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Rockwell","WeldingRobot-5925","Assembly Line - Station 36"
"ASS-037","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Fanuc","RobotController-2338","Assembly Line - Station 37"
"ASS-038","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Rockwell","RobotController-9234","Assembly Line - Station 38"
"ASS-039","Detroit Assembly","Assembly Line","Quality Scanner","Critical","Quality Scanner for Assembly Line operations","KUKA","QualityScanner-9623","Assembly Line - Station 39"
"ASS-040","Detroit Assembly","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","KUKA","SafetyPLC-8028","Assembly Line - Station 40"
"ASS-041","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","KUKA","RobotController-2530","Assembly Line - Station 41"
"ASS-042","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Fanuc","VisionSystem-3597","Assembly Line - Station 42"
"ASS-043","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","KUKA","RobotController-1379","Assembly Line - Station 43"
"ASS-044","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Siemens","VisionSystem-8343","Assembly Line - Station 44"
"ASS-045","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","KUKA","PaintRobot-1062","Assembly Line - Station 45"
"ASS-046","Detroit Assembly","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Siemens","WeldingRobot-6231","Assembly Line - Station 46"
"ASS-047","Detroit Assembly","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","ABB","ConveyorController-7668","Assembly Line - Station 47"
"ASS-048","Detroit Assembly","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","Siemens","SCADASystem-7789","Assembly Line - Station 48"
"ASS-049","Detroit Assembly","Assembly Line","Quality Scanner","Critical","Quality Scanner for Assembly Line operations","Fanuc","QualityScanner-6999","Assembly Line - Station 49"
"ASS-050","Detroit Assembly","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Siemens","PaintController-1587","Assembly Line - Station 50"
"ASS-051","Detroit Assembly","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","Fanuc","ConveyorController-6370","Assembly Line - Station 51"
"ASS-052","Detroit Assembly","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","ABB","ConveyorController-8784","Assembly Line - Station 52"
"ASS-053","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","ABB","RobotController-9130","Assembly Line - Station 53"
"ASS-054","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","KUKA","VisionSystem-1400","Assembly Line - Station 54"
"ASS-055","Detroit Assembly","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Rockwell","AssemblyRobot-5606","Assembly Line - Station 55"
"ASS-056","Detroit Assembly","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Siemens","WeldingRobot-3595","Assembly Line - Station 56"
"ASS-057","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Rockwell","RobotController-2667","Assembly Line - Station 57"
"ASS-058","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Fanuc","RobotController-7856","Assembly Line - Station 58"
"ASS-059","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Rockwell","VisionSystem-8091","Assembly Line - Station 59"
"ASS-060","Detroit Assembly","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","Siemens","SCADASystem-7804","Assembly Line - Station 60"
"ASS-061","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Rockwell","VisionSystem-8866","Assembly Line - Station 61"
"ASS-062","Detroit Assembly","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Siemens","VisionSystem-5855","Assembly Line - Station 62"
"ASS-063","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","ABB","RobotController-3402","Assembly Line - Station 63"
"ASS-064","Detroit Assembly","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Siemens","PaintController-6368","Assembly Line - Station 64"
"ASS-065","Detroit Assembly","Assembly Line","Robot Controller","Critical","Robot Controller for Assembly Line operations","Siemens","RobotController-2237","Assembly Line - Station 65"
"ASS-066","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","KUKA","PaintRobot-1056","Assembly Line - Station 66"
"ASS-067","Detroit Assembly","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","ABB","PaintRobot-7950","Assembly Line - Station 67"
"POW-001","Detroit Assembly","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","KUKA","AssemblyRobot-1347","Powertrain - Station 1"
"POW-002","Detroit Assembly","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Fanuc","SafetyPLC-6813","Powertrain - Station 2"
"POW-003","Detroit Assembly","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","Siemens","WeldingController-9770","Powertrain - Station 3"
"POW-004","Detroit Assembly","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Siemens","AssemblyRobot-4062","Powertrain - Station 4"
"POW-005","Detroit Assembly","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Siemens","SafetyPLC-8278","Powertrain - Station 5"
"POW-006","Detroit Assembly","Powertrain","Quality Scanner","Medium","Quality Scanner for Powertrain operations","Rockwell","QualityScanner-8044","Powertrain - Station 6"
"POW-007","Detroit Assembly","Powertrain","Paint Robot","Medium","Paint Robot for Powertrain operations","Rockwell","PaintRobot-9292","Powertrain - Station 7"
"POW-008","Detroit Assembly","Powertrain","Robot Controller","Medium","Robot Controller for Powertrain operations","Fanuc","RobotController-4162","Powertrain - Station 8"
"POW-009","Detroit Assembly","Powertrain","SCADA System","Medium","SCADA System for Powertrain operations","ABB","SCADASystem-5809","Powertrain - Station 9"
"POW-010","Detroit Assembly","Powertrain","Conveyor Controller","Medium","Conveyor Controller for Powertrain operations","ABB","ConveyorController-6775","Powertrain - Station 10"
"POW-011","Detroit Assembly","Powertrain","Vision System","Medium","Vision System for Powertrain operations","KUKA","VisionSystem-5344","Powertrain - Station 11"
"POW-012","Detroit Assembly","Powertrain","Welding Robot","Medium","Welding Robot for Powertrain operations","ABB","WeldingRobot-7009","Powertrain - Station 12"
"POW-013","Detroit Assembly","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Siemens","AssemblyRobot-3157","Powertrain - Station 13"
"POW-014","Detroit Assembly","Powertrain","Robot Controller","Medium","Robot Controller for Powertrain operations","Rockwell","RobotController-7150","Powertrain - Station 14"
"POW-015","Detroit Assembly","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","Rockwell","PaintController-7589","Powertrain - Station 15"
"POW-016","Detroit Assembly","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","Rockwell","WeldingController-1740","Powertrain - Station 16"
"POW-017","Detroit Assembly","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Siemens","AssemblyRobot-4054","Powertrain - Station 17"
"POW-018","Detroit Assembly","Powertrain","HMI Station","Medium","HMI Station for Powertrain operations","Rockwell","HMIStation-6543","Powertrain - Station 18"
"POW-019","Detroit Assembly","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","ABB","PaintController-6168","Powertrain - Station 19"
"POW-020","Detroit Assembly","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Rockwell","SafetyPLC-2198","Powertrain - Station 20"
"QUA-001","Detroit Assembly","Quality Control","Welding Robot","High","Welding Robot for Quality Control operations","ABB","WeldingRobot-1518","Quality Control - Station 1"
"QUA-002","Detroit Assembly","Quality Control","Quality Scanner","High","Quality Scanner for Quality Control operations","ABB","QualityScanner-6265","Quality Control - Station 2"
"QUA-003","Detroit Assembly","Quality Control","Welding Robot","High","Welding Robot for Quality Control operations","ABB","WeldingRobot-7988","Quality Control - Station 3"
"QUA-004","Detroit Assembly","Quality Control","Robot Controller","High","Robot Controller for Quality Control operations","ABB","RobotController-3993","Quality Control - Station 4"
"QUA-005","Detroit Assembly","Quality Control","Welding Controller","High","Welding Controller for Quality Control operations","Fanuc","WeldingController-4742","Quality Control - Station 5"
"QUA-006","Detroit Assembly","Quality Control","Quality Scanner","High","Quality Scanner for Quality Control operations","KUKA","QualityScanner-3992","Quality Control - Station 6"
"QUA-007","Detroit Assembly","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Siemens","SafetyPLC-4385","Quality Control - Station 7"
"QUA-008","Detroit Assembly","Quality Control","Robot Controller","High","Robot Controller for Quality Control operations","KUKA","RobotController-4337","Quality Control - Station 8"
"QUA-009","Detroit Assembly","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Siemens","SafetyPLC-4021","Quality Control - Station 9"
"QUA-010","Detroit Assembly","Quality Control","HMI Station","High","HMI Station for Quality Control operations","ABB","HMIStation-9390","Quality Control - Station 10"
"QUA-011","Detroit Assembly","Quality Control","Vision System","High","Vision System for Quality Control operations","ABB","VisionSystem-6505","Quality Control - Station 11"
"QUA-012","Detroit Assembly","Quality Control","Robot Controller","High","Robot Controller for Quality Control operations","Siemens","RobotController-9924","Quality Control - Station 12"
"QUA-013","Detroit Assembly","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Rockwell","SCADASystem-4541","Quality Control - Station 13"
"QUA-014","Detroit Assembly","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Rockwell","SCADASystem-6526","Quality Control - Station 14"
"QUA-015","Detroit Assembly","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","KUKA","ConveyorController-6579","Quality Control - Station 15"
"QUA-016","Detroit Assembly","Quality Control","Welding Controller","High","Welding Controller for Quality Control operations","Siemens","WeldingController-2224","Quality Control - Station 16"
"QUA-017","Detroit Assembly","Quality Control","Robot Controller","High","Robot Controller for Quality Control operations","Rockwell","RobotController-4775","Quality Control - Station 17"
"QUA-018","Detroit Assembly","Quality Control","SCADA System","High","SCADA System for Quality Control operations","Fanuc","SCADASystem-1825","Quality Control - Station 18"
"QUA-019","Detroit Assembly","Quality Control","Paint Controller","High","Paint Controller for Quality Control operations","Siemens","PaintController-5628","Quality Control - Station 19"
"QUA-020","Detroit Assembly","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Siemens","SafetyPLC-9831","Quality Control - Station 20"
"QUA-021","Detroit Assembly","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","ABB","ConveyorController-6505","Quality Control - Station 21"
"QUA-022","Detroit Assembly","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Rockwell","SafetyPLC-1978","Quality Control - Station 22"
"QUA-023","Detroit Assembly","Quality Control","Welding Robot","High","Welding Robot for Quality Control operations","Fanuc","WeldingRobot-2910","Quality Control - Station 23"
"QUA-024","Detroit Assembly","Quality Control","Vision System","High","Vision System for Quality Control operations","KUKA","VisionSystem-1339","Quality Control - Station 24"
"QUA-025","Detroit Assembly","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","Rockwell","AssemblyRobot-2790","Quality Control - Station 25"
"QUA-026","Detroit Assembly","Quality Control","Quality Scanner","High","Quality Scanner for Quality Control operations","Fanuc","QualityScanner-8908","Quality Control - Station 26"
"QUA-027","Detroit Assembly","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","ABB","AssemblyRobot-8514","Quality Control - Station 27"
"QUA-028","Detroit Assembly","Quality Control","Paint Controller","High","Paint Controller for Quality Control operations","KUKA","PaintController-1994","Quality Control - Station 28"
"QUA-029","Detroit Assembly","Quality Control","Paint Controller","High","Paint Controller for Quality Control operations","KUKA","PaintController-9852","Quality Control - Station 29"
"QUA-030","Detroit Assembly","Quality Control","Welding Robot","High","Welding Robot for Quality Control operations","Fanuc","WeldingRobot-4910","Quality Control - Station 30"
