tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,supplier_integration,jit_enabled,inventory_level,lead_time,supplier_count,kanban_cards
"SC-PAI-003","Toyota Georgetown","Paint Shop","JIT Controller","Medium","JIT Controller for Paint Shop supply chain management","SAP","JITController-3590","Paint Shop - Supply Chain Station 3","Yes","No","1064 units","13 days","17","31"
"SC-PAI-004","Toyota Georgetown","Paint Shop","Kanban Controller","Medium","Kanban Controller for Paint Shop supply chain management","Oracle","KanbanController-3173","Paint Shop - Supply Chain Station 4","Yes","Yes","747 units","5 days","13","35"
"SC-PAI-005","Toyota Georgetown","Paint Shop","Material Tracking System","Medium","Material Tracking System for Paint Shop supply chain management","IBM","MaterialTrackingSystem-3733","Paint Shop - Supply Chain Station 5","No","Yes","625 units","3 days","24","42"
"SC-PAI-006","Toyota Georgetown","Paint Shop","Supplier Quality System","Medium","Supplier Quality System for Paint Shop supply chain management","Microsoft","SupplierQualitySystem-6924","Paint Shop - Supply Chain Station 6","Yes","No","909 units","3 days","6","47"
"SC-PAI-007","Toyota Georgetown","Paint Shop","Supplier Quality System","Medium","Supplier Quality System for Paint Shop supply chain management","SAP","SupplierQualitySystem-7650","Paint Shop - Supply Chain Station 7","Yes","Yes","455 units","7 days","23","31"
"SC-PAI-008","Toyota Georgetown","Paint Shop","Inventory Management System","Medium","Inventory Management System for Paint Shop supply chain management","SAP","InventoryManagementSystem-9217","Paint Shop - Supply Chain Station 8","Yes","Yes","313 units","10 days","17","25"
"SC-PAI-009","Toyota Georgetown","Paint Shop","Inventory Management System","Medium","Inventory Management System for Paint Shop supply chain management","SAP","InventoryManagementSystem-1473","Paint Shop - Supply Chain Station 9","Yes","Yes","242 units","6 days","19","26"
"SC-PAI-010","Toyota Georgetown","Paint Shop","JIT Controller","Medium","JIT Controller for Paint Shop supply chain management","SAP","JITController-3038","Paint Shop - Supply Chain Station 10","Yes","Yes","109 units","8 days","16","55"
"SC-ASS-001","Toyota Georgetown","Assembly Line","Inventory Management System","Medium","Inventory Management System for Assembly Line supply chain management","Microsoft","InventoryManagementSystem-6061","Assembly Line - Supply Chain Station 1","No","Yes","162 units","14 days","11","33"
"SC-ASS-002","Toyota Georgetown","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","Custom","JITController-6969","Assembly Line - Supply Chain Station 2","No","Yes","987 units","12 days","19","46"
"SC-ASS-003","Toyota Georgetown","Assembly Line","Kanban Controller","Medium","Kanban Controller for Assembly Line supply chain management","Custom","KanbanController-8935","Assembly Line - Supply Chain Station 3","Yes","No","753 units","3 days","18","39"
"SC-ASS-004","Toyota Georgetown","Assembly Line","Inventory Management System","Medium","Inventory Management System for Assembly Line supply chain management","IBM","InventoryManagementSystem-4465","Assembly Line - Supply Chain Station 4","Yes","Yes","768 units","1 days","20","54"
"SC-ASS-005","Toyota Georgetown","Assembly Line","Material Tracking System","Medium","Material Tracking System for Assembly Line supply chain management","Microsoft","MaterialTrackingSystem-3278","Assembly Line - Supply Chain Station 5","Yes","Yes","260 units","12 days","9","40"
"SC-ASS-006","Toyota Georgetown","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","SAP","JITController-3634","Assembly Line - Supply Chain Station 6","Yes","No","681 units","6 days","24","30"
"SC-ASS-007","Toyota Georgetown","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","IBM","JITController-4214","Assembly Line - Supply Chain Station 7","Yes","Yes","897 units","1 days","5","45"
"SC-ASS-008","Toyota Georgetown","Assembly Line","Supplier Quality System","Medium","Supplier Quality System for Assembly Line supply chain management","SAP","SupplierQualitySystem-2840","Assembly Line - Supply Chain Station 8","Yes","No","779 units","3 days","17","11"
"SC-ASS-009","Toyota Georgetown","Assembly Line","Supplier Portal","Medium","Supplier Portal for Assembly Line supply chain management","SAP","SupplierPortal-1453","Assembly Line - Supply Chain Station 9","No","Yes","172 units","1 days","21","50"
"SC-POW-001","Toyota Georgetown","Powertrain","JIT Controller","Medium","JIT Controller for Powertrain supply chain management","Oracle","JITController-5674","Powertrain - Supply Chain Station 1","No","Yes","890 units","7 days","13","46"
"SC-POW-002","Toyota Georgetown","Powertrain","Material Tracking System","Medium","Material Tracking System for Powertrain supply chain management","Microsoft","MaterialTrackingSystem-4809","Powertrain - Supply Chain Station 2","No","Yes","382 units","11 days","18","50"
"SC-POW-003","Toyota Georgetown","Powertrain","Kanban Controller","Medium","Kanban Controller for Powertrain supply chain management","Custom","KanbanController-4465","Powertrain - Supply Chain Station 3","Yes","Yes","821 units","6 days","9","45"
"SC-POW-004","Toyota Georgetown","Powertrain","Material Tracking System","Medium","Material Tracking System for Powertrain supply chain management","Custom","MaterialTrackingSystem-8197","Powertrain - Supply Chain Station 4","No","Yes","250 units","4 days","15","45"
"SC-POW-005","Toyota Georgetown","Powertrain","Supplier Quality System","Medium","Supplier Quality System for Powertrain supply chain management","Oracle","SupplierQualitySystem-4184","Powertrain - Supply Chain Station 5","No","No","460 units","9 days","16","49"
"SC-POW-006","Toyota Georgetown","Powertrain","Inventory Management System","Medium","Inventory Management System for Powertrain supply chain management","IBM","InventoryManagementSystem-1506","Powertrain - Supply Chain Station 6","Yes","No","678 units","6 days","8","45"
"SC-POW-007","Toyota Georgetown","Powertrain","Supplier Quality System","Medium","Supplier Quality System for Powertrain supply chain management","IBM","SupplierQualitySystem-6222","Powertrain - Supply Chain Station 7","No","No","622 units","6 days","13","43"
"SC-POW-008","Toyota Georgetown","Powertrain","Inventory Management System","Medium","Inventory Management System for Powertrain supply chain management","IBM","InventoryManagementSystem-3579","Powertrain - Supply Chain Station 8","No","No","794 units","2 days","6","36"
"SC-QUA-001","Toyota Georgetown","Quality Control","Inventory Management System","Medium","Inventory Management System for Quality Control supply chain management","IBM","InventoryManagementSystem-1448","Quality Control - Supply Chain Station 1","Yes","No","349 units","6 days","7","22"
"SC-QUA-002","Toyota Georgetown","Quality Control","Inventory Management System","Medium","Inventory Management System for Quality Control supply chain management","Oracle","InventoryManagementSystem-5752","Quality Control - Supply Chain Station 2","Yes","No","370 units","12 days","22","51"
"SC-QUA-003","Toyota Georgetown","Quality Control","Material Tracking System","Medium","Material Tracking System for Quality Control supply chain management","Custom","MaterialTrackingSystem-5240","Quality Control - Supply Chain Station 3","No","No","305 units","6 days","18","28"
"SC-QUA-004","Toyota Georgetown","Quality Control","Kanban Controller","Medium","Kanban Controller for Quality Control supply chain management","Oracle","KanbanController-3920","Quality Control - Supply Chain Station 4","Yes","No","606 units","7 days","12","57"
"SC-QUA-005","Toyota Georgetown","Quality Control","Kanban Controller","Medium","Kanban Controller for Quality Control supply chain management","SAP","KanbanController-6755","Quality Control - Supply Chain Station 5","Yes","Yes","216 units","13 days","9","52"
"SC-QUA-006","Toyota Georgetown","Quality Control","Inventory Management System","Medium","Inventory Management System for Quality Control supply chain management","Microsoft","InventoryManagementSystem-8035","Quality Control - Supply Chain Station 6","Yes","No","529 units","13 days","12","46"
"SC-QUA-007","Toyota Georgetown","Quality Control","Material Tracking System","Medium","Material Tracking System for Quality Control supply chain management","Microsoft","MaterialTrackingSystem-9302","Quality Control - Supply Chain Station 7","No","No","470 units","13 days","16","37"
"SC-QUA-008","Toyota Georgetown","Quality Control","Material Tracking System","Medium","Material Tracking System for Quality Control supply chain management","IBM","MaterialTrackingSystem-7447","Quality Control - Supply Chain Station 8","No","No","274 units","11 days","7","12"
"SC-QUA-009","Toyota Georgetown","Quality Control","Supplier Quality System","Medium","Supplier Quality System for Quality Control supply chain management","Oracle","SupplierQualitySystem-3542","Quality Control - Supply Chain Station 9","No","Yes","253 units","5 days","7","23"
"SC-STA-001","Toyota Georgetown","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","Microsoft","KanbanController-2662","Stamping - Supply Chain Station 1","Yes","Yes","731 units","1 days","21","10"
"SC-STA-002","Toyota Georgetown","Stamping","Supplier Portal","Medium","Supplier Portal for Stamping supply chain management","IBM","SupplierPortal-8930","Stamping - Supply Chain Station 2","Yes","Yes","482 units","5 days","5","50"
"SC-STA-003","Toyota Georgetown","Stamping","Inventory Management System","Medium","Inventory Management System for Stamping supply chain management","IBM","InventoryManagementSystem-2678","Stamping - Supply Chain Station 3","Yes","Yes","699 units","11 days","16","22"
"SC-STA-004","Toyota Georgetown","Stamping","Material Tracking System","Medium","Material Tracking System for Stamping supply chain management","SAP","MaterialTrackingSystem-9384","Stamping - Supply Chain Station 4","No","Yes","650 units","9 days","18","39"
"SC-STA-005","Toyota Georgetown","Stamping","Material Tracking System","Medium","Material Tracking System for Stamping supply chain management","IBM","MaterialTrackingSystem-4696","Stamping - Supply Chain Station 5","Yes","Yes","956 units","1 days","7","55"
"SC-STA-006","Toyota Georgetown","Stamping","Supplier Portal","Medium","Supplier Portal for Stamping supply chain management","Custom","SupplierPortal-5556","Stamping - Supply Chain Station 6","No","No","344 units","3 days","21","47"
"SC-STA-007","Toyota Georgetown","Stamping","JIT Controller","Medium","JIT Controller for Stamping supply chain management","SAP","JITController-8154","Stamping - Supply Chain Station 7","Yes","No","842 units","11 days","9","24"
"SC-BOD-001","Honda Marysville","Body Shop","Kanban Controller","Medium","Kanban Controller for Body Shop supply chain management","Oracle","KanbanController-7906","Body Shop - Supply Chain Station 1","No","No","726 units","9 days","22","14"
"SC-BOD-002","Honda Marysville","Body Shop","JIT Controller","Medium","JIT Controller for Body Shop supply chain management","Oracle","JITController-3516","Body Shop - Supply Chain Station 2","Yes","No","982 units","13 days","23","21"
"SC-BOD-003","Honda Marysville","Body Shop","Inventory Management System","Medium","Inventory Management System for Body Shop supply chain management","Microsoft","InventoryManagementSystem-4682","Body Shop - Supply Chain Station 3","No","Yes","215 units","4 days","23","49"
"SC-PAI-001","Honda Marysville","Paint Shop","JIT Controller","Medium","JIT Controller for Paint Shop supply chain management","IBM","JITController-8470","Paint Shop - Supply Chain Station 1","No","Yes","592 units","3 days","16","31"
"SC-PAI-002","Honda Marysville","Paint Shop","Supplier Portal","Medium","Supplier Portal for Paint Shop supply chain management","IBM","SupplierPortal-5819","Paint Shop - Supply Chain Station 2","Yes","Yes","768 units","3 days","8","15"
"SC-PAI-003","Honda Marysville","Paint Shop","Material Tracking System","Medium","Material Tracking System for Paint Shop supply chain management","Custom","MaterialTrackingSystem-7957","Paint Shop - Supply Chain Station 3","Yes","Yes","377 units","13 days","11","20"
"SC-PAI-004","Honda Marysville","Paint Shop","Inventory Management System","Medium","Inventory Management System for Paint Shop supply chain management","Oracle","InventoryManagementSystem-9271","Paint Shop - Supply Chain Station 4","No","No","620 units","2 days","14","27"
"SC-PAI-005","Honda Marysville","Paint Shop","Supplier Portal","Medium","Supplier Portal for Paint Shop supply chain management","IBM","SupplierPortal-5512","Paint Shop - Supply Chain Station 5","Yes","No","214 units","5 days","15","28"
"SC-PAI-006","Honda Marysville","Paint Shop","Kanban Controller","Medium","Kanban Controller for Paint Shop supply chain management","Custom","KanbanController-7751","Paint Shop - Supply Chain Station 6","Yes","Yes","416 units","10 days","22","18"
"SC-PAI-007","Honda Marysville","Paint Shop","Kanban Controller","Medium","Kanban Controller for Paint Shop supply chain management","Custom","KanbanController-5856","Paint Shop - Supply Chain Station 7","Yes","No","292 units","7 days","10","57"
"SC-PAI-008","Honda Marysville","Paint Shop","Supplier Quality System","Medium","Supplier Quality System for Paint Shop supply chain management","Microsoft","SupplierQualitySystem-7974","Paint Shop - Supply Chain Station 8","Yes","Yes","624 units","5 days","6","19"
"SC-PAI-009","Honda Marysville","Paint Shop","Supplier Quality System","Medium","Supplier Quality System for Paint Shop supply chain management","Oracle","SupplierQualitySystem-1218","Paint Shop - Supply Chain Station 9","Yes","Yes","754 units","6 days","9","27"
"SC-PAI-010","Honda Marysville","Paint Shop","Supplier Quality System","Medium","Supplier Quality System for Paint Shop supply chain management","SAP","SupplierQualitySystem-1964","Paint Shop - Supply Chain Station 10","Yes","Yes","978 units","4 days","14","48"
"SC-ASS-001","Honda Marysville","Assembly Line","Material Tracking System","Medium","Material Tracking System for Assembly Line supply chain management","SAP","MaterialTrackingSystem-3156","Assembly Line - Supply Chain Station 1","Yes","No","832 units","6 days","17","57"
"SC-ASS-002","Honda Marysville","Assembly Line","Supplier Quality System","Medium","Supplier Quality System for Assembly Line supply chain management","Custom","SupplierQualitySystem-9683","Assembly Line - Supply Chain Station 2","Yes","Yes","940 units","12 days","23","47"
"SC-ASS-003","Honda Marysville","Assembly Line","Inventory Management System","Medium","Inventory Management System for Assembly Line supply chain management","IBM","InventoryManagementSystem-3706","Assembly Line - Supply Chain Station 3","Yes","No","788 units","9 days","21","13"
"SC-ASS-004","Honda Marysville","Assembly Line","Supplier Quality System","Medium","Supplier Quality System for Assembly Line supply chain management","SAP","SupplierQualitySystem-5538","Assembly Line - Supply Chain Station 4","Yes","Yes","251 units","8 days","11","58"
"SC-ASS-005","Honda Marysville","Assembly Line","Inventory Management System","Medium","Inventory Management System for Assembly Line supply chain management","SAP","InventoryManagementSystem-1898","Assembly Line - Supply Chain Station 5","Yes","Yes","896 units","14 days","18","28"
"SC-ASS-006","Honda Marysville","Assembly Line","Material Tracking System","Medium","Material Tracking System for Assembly Line supply chain management","IBM","MaterialTrackingSystem-2689","Assembly Line - Supply Chain Station 6","Yes","Yes","308 units","3 days","23","26"
"SC-ASS-007","Honda Marysville","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","Custom","JITController-5054","Assembly Line - Supply Chain Station 7","Yes","Yes","311 units","6 days","21","56"
"SC-POW-001","Honda Marysville","Powertrain","Supplier Portal","Medium","Supplier Portal for Powertrain supply chain management","SAP","SupplierPortal-3060","Powertrain - Supply Chain Station 1","Yes","Yes","1061 units","13 days","19","40"
"SC-POW-002","Honda Marysville","Powertrain","JIT Controller","Medium","JIT Controller for Powertrain supply chain management","SAP","JITController-1601","Powertrain - Supply Chain Station 2","Yes","No","956 units","6 days","22","28"
"SC-POW-003","Honda Marysville","Powertrain","Inventory Management System","Medium","Inventory Management System for Powertrain supply chain management","IBM","InventoryManagementSystem-8210","Powertrain - Supply Chain Station 3","Yes","Yes","304 units","8 days","9","56"
"SC-POW-004","Honda Marysville","Powertrain","Supplier Portal","Medium","Supplier Portal for Powertrain supply chain management","Oracle","SupplierPortal-4374","Powertrain - Supply Chain Station 4","No","Yes","704 units","3 days","15","26"
"SC-POW-005","Honda Marysville","Powertrain","JIT Controller","Medium","JIT Controller for Powertrain supply chain management","SAP","JITController-5125","Powertrain - Supply Chain Station 5","Yes","No","128 units","12 days","22","32"
"SC-QUA-001","Honda Marysville","Quality Control","Material Tracking System","Medium","Material Tracking System for Quality Control supply chain management","SAP","MaterialTrackingSystem-3204","Quality Control - Supply Chain Station 1","No","No","492 units","1 days","6","28"
"SC-QUA-002","Honda Marysville","Quality Control","JIT Controller","Medium","JIT Controller for Quality Control supply chain management","IBM","JITController-8261","Quality Control - Supply Chain Station 2","Yes","Yes","812 units","7 days","24","47"
"SC-QUA-003","Honda Marysville","Quality Control","JIT Controller","Medium","JIT Controller for Quality Control supply chain management","IBM","JITController-3018","Quality Control - Supply Chain Station 3","No","No","863 units","14 days","10","26"
"SC-QUA-004","Honda Marysville","Quality Control","JIT Controller","Medium","JIT Controller for Quality Control supply chain management","IBM","JITController-8836","Quality Control - Supply Chain Station 4","Yes","Yes","814 units","3 days","21","54"
"SC-QUA-005","Honda Marysville","Quality Control","Supplier Quality System","Medium","Supplier Quality System for Quality Control supply chain management","SAP","SupplierQualitySystem-6520","Quality Control - Supply Chain Station 5","Yes","Yes","633 units","6 days","10","51"
"SC-QUA-006","Honda Marysville","Quality Control","JIT Controller","Medium","JIT Controller for Quality Control supply chain management","Custom","JITController-9096","Quality Control - Supply Chain Station 6","No","No","878 units","10 days","8","53"
"SC-QUA-007","Honda Marysville","Quality Control","Supplier Portal","Medium","Supplier Portal for Quality Control supply chain management","Microsoft","SupplierPortal-8441","Quality Control - Supply Chain Station 7","No","No","520 units","11 days","16","23"
"SC-QUA-008","Honda Marysville","Quality Control","Kanban Controller","Medium","Kanban Controller for Quality Control supply chain management","Oracle","KanbanController-6720","Quality Control - Supply Chain Station 8","Yes","Yes","366 units","7 days","11","55"
"SC-QUA-009","Honda Marysville","Quality Control","Supplier Quality System","Medium","Supplier Quality System for Quality Control supply chain management","IBM","SupplierQualitySystem-2262","Quality Control - Supply Chain Station 9","Yes","Yes","645 units","6 days","5","14"
"SC-QUA-010","Honda Marysville","Quality Control","Kanban Controller","Medium","Kanban Controller for Quality Control supply chain management","SAP","KanbanController-6600","Quality Control - Supply Chain Station 10","Yes","No","958 units","8 days","21","39"
"SC-STA-001","Honda Marysville","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","Oracle","KanbanController-5736","Stamping - Supply Chain Station 1","No","Yes","744 units","6 days","14","48"
"SC-STA-002","Honda Marysville","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","Custom","KanbanController-3445","Stamping - Supply Chain Station 2","Yes","Yes","501 units","9 days","24","53"
"SC-STA-003","Honda Marysville","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","Custom","KanbanController-5112","Stamping - Supply Chain Station 3","Yes","Yes","231 units","8 days","20","36"
"SC-STA-004","Honda Marysville","Stamping","JIT Controller","Medium","JIT Controller for Stamping supply chain management","Custom","JITController-7069","Stamping - Supply Chain Station 4","Yes","Yes","905 units","7 days","14","53"
"SC-STA-005","Honda Marysville","Stamping","Inventory Management System","Medium","Inventory Management System for Stamping supply chain management","SAP","InventoryManagementSystem-9993","Stamping - Supply Chain Station 5","No","No","742 units","4 days","7","25"
"SC-STA-006","Honda Marysville","Stamping","Material Tracking System","Medium","Material Tracking System for Stamping supply chain management","Microsoft","MaterialTrackingSystem-2357","Stamping - Supply Chain Station 6","Yes","Yes","701 units","8 days","22","26"
"SC-BOD-001","Ford Dearborn","Body Shop","Inventory Management System","Medium","Inventory Management System for Body Shop supply chain management","IBM","InventoryManagementSystem-3505","Body Shop - Supply Chain Station 1","Yes","Yes","830 units","3 days","14","42"
"SC-BOD-002","Ford Dearborn","Body Shop","JIT Controller","Medium","JIT Controller for Body Shop supply chain management","Custom","JITController-1569","Body Shop - Supply Chain Station 2","Yes","Yes","412 units","1 days","6","58"
"SC-BOD-003","Ford Dearborn","Body Shop","Material Tracking System","Medium","Material Tracking System for Body Shop supply chain management","Custom","MaterialTrackingSystem-5604","Body Shop - Supply Chain Station 3","No","No","947 units","12 days","23","49"
"SC-PAI-001","Ford Dearborn","Paint Shop","Supplier Portal","Medium","Supplier Portal for Paint Shop supply chain management","SAP","SupplierPortal-9789","Paint Shop - Supply Chain Station 1","Yes","No","1084 units","12 days","23","54"
"SC-PAI-002","Ford Dearborn","Paint Shop","JIT Controller","Medium","JIT Controller for Paint Shop supply chain management","Oracle","JITController-6359","Paint Shop - Supply Chain Station 2","Yes","Yes","981 units","10 days","17","13"
"SC-PAI-003","Ford Dearborn","Paint Shop","Inventory Management System","Medium","Inventory Management System for Paint Shop supply chain management","IBM","InventoryManagementSystem-4102","Paint Shop - Supply Chain Station 3","Yes","No","403 units","4 days","8","28"
"SC-PAI-004","Ford Dearborn","Paint Shop","Supplier Portal","Medium","Supplier Portal for Paint Shop supply chain management","IBM","SupplierPortal-7350","Paint Shop - Supply Chain Station 4","Yes","No","849 units","14 days","13","18"
"SC-PAI-005","Ford Dearborn","Paint Shop","Material Tracking System","Medium","Material Tracking System for Paint Shop supply chain management","IBM","MaterialTrackingSystem-9351","Paint Shop - Supply Chain Station 5","Yes","Yes","801 units","14 days","10","26"
"SC-PAI-006","Ford Dearborn","Paint Shop","Material Tracking System","Medium","Material Tracking System for Paint Shop supply chain management","Oracle","MaterialTrackingSystem-3213","Paint Shop - Supply Chain Station 6","Yes","No","757 units","3 days","5","30"
"SC-PAI-007","Ford Dearborn","Paint Shop","Kanban Controller","Medium","Kanban Controller for Paint Shop supply chain management","IBM","KanbanController-9145","Paint Shop - Supply Chain Station 7","Yes","Yes","375 units","11 days","10","41"
"SC-PAI-008","Ford Dearborn","Paint Shop","Material Tracking System","Medium","Material Tracking System for Paint Shop supply chain management","Microsoft","MaterialTrackingSystem-3886","Paint Shop - Supply Chain Station 8","No","Yes","893 units","7 days","10","17"
"SC-ASS-001","Ford Dearborn","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","SAP","JITController-4880","Assembly Line - Supply Chain Station 1","No","Yes","242 units","11 days","10","37"
"SC-ASS-002","Ford Dearborn","Assembly Line","Material Tracking System","Medium","Material Tracking System for Assembly Line supply chain management","Custom","MaterialTrackingSystem-9648","Assembly Line - Supply Chain Station 2","Yes","Yes","740 units","11 days","11","34"
"SC-ASS-003","Ford Dearborn","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","Oracle","JITController-7477","Assembly Line - Supply Chain Station 3","Yes","Yes","123 units","4 days","23","18"
"SC-ASS-004","Ford Dearborn","Assembly Line","Supplier Portal","Medium","Supplier Portal for Assembly Line supply chain management","IBM","SupplierPortal-3030","Assembly Line - Supply Chain Station 4","Yes","Yes","322 units","2 days","21","58"
"SC-ASS-005","Ford Dearborn","Assembly Line","JIT Controller","Medium","JIT Controller for Assembly Line supply chain management","Oracle","JITController-6052","Assembly Line - Supply Chain Station 5","Yes","No","1000 units","13 days","19","50"
"SC-ASS-006","Ford Dearborn","Assembly Line","Material Tracking System","Medium","Material Tracking System for Assembly Line supply chain management","Microsoft","MaterialTrackingSystem-6764","Assembly Line - Supply Chain Station 6","No","Yes","806 units","11 days","11","57"
"SC-ASS-007","Ford Dearborn","Assembly Line","Supplier Portal","Medium","Supplier Portal for Assembly Line supply chain management","SAP","SupplierPortal-5530","Assembly Line - Supply Chain Station 7","No","Yes","858 units","6 days","22","31"
"SC-ASS-008","Ford Dearborn","Assembly Line","Inventory Management System","Medium","Inventory Management System for Assembly Line supply chain management","SAP","InventoryManagementSystem-9649","Assembly Line - Supply Chain Station 8","No","No","941 units","1 days","17","36"
"SC-ASS-009","Ford Dearborn","Assembly Line","Material Tracking System","Medium","Material Tracking System for Assembly Line supply chain management","SAP","MaterialTrackingSystem-4700","Assembly Line - Supply Chain Station 9","Yes","Yes","609 units","2 days","11","26"
"SC-POW-001","Ford Dearborn","Powertrain","Material Tracking System","Medium","Material Tracking System for Powertrain supply chain management","Oracle","MaterialTrackingSystem-9401","Powertrain - Supply Chain Station 1","Yes","Yes","849 units","13 days","21","18"
"SC-POW-002","Ford Dearborn","Powertrain","Supplier Portal","Medium","Supplier Portal for Powertrain supply chain management","Microsoft","SupplierPortal-5672","Powertrain - Supply Chain Station 2","No","No","118 units","12 days","13","39"
"SC-POW-003","Ford Dearborn","Powertrain","Supplier Quality System","Medium","Supplier Quality System for Powertrain supply chain management","SAP","SupplierQualitySystem-3386","Powertrain - Supply Chain Station 3","Yes","Yes","824 units","9 days","14","44"
"SC-POW-004","Ford Dearborn","Powertrain","Supplier Portal","Medium","Supplier Portal for Powertrain supply chain management","IBM","SupplierPortal-4071","Powertrain - Supply Chain Station 4","No","Yes","256 units","13 days","8","34"
"SC-POW-005","Ford Dearborn","Powertrain","Supplier Quality System","Medium","Supplier Quality System for Powertrain supply chain management","IBM","SupplierQualitySystem-6707","Powertrain - Supply Chain Station 5","Yes","Yes","525 units","4 days","14","12"
"SC-POW-006","Ford Dearborn","Powertrain","Supplier Quality System","Medium","Supplier Quality System for Powertrain supply chain management","Custom","SupplierQualitySystem-6618","Powertrain - Supply Chain Station 6","No","Yes","888 units","12 days","22","59"
"SC-POW-007","Ford Dearborn","Powertrain","JIT Controller","Medium","JIT Controller for Powertrain supply chain management","SAP","JITController-1263","Powertrain - Supply Chain Station 7","Yes","Yes","835 units","2 days","6","37"
"SC-POW-008","Ford Dearborn","Powertrain","Inventory Management System","Medium","Inventory Management System for Powertrain supply chain management","Microsoft","InventoryManagementSystem-2113","Powertrain - Supply Chain Station 8","Yes","Yes","376 units","7 days","12","23"
"SC-POW-009","Ford Dearborn","Powertrain","Inventory Management System","Medium","Inventory Management System for Powertrain supply chain management","SAP","InventoryManagementSystem-8836","Powertrain - Supply Chain Station 9","Yes","Yes","669 units","6 days","20","47"
"SC-QUA-001","Ford Dearborn","Quality Control","Inventory Management System","Medium","Inventory Management System for Quality Control supply chain management","Custom","InventoryManagementSystem-6906","Quality Control - Supply Chain Station 1","No","Yes","1088 units","7 days","20","37"
"SC-QUA-002","Ford Dearborn","Quality Control","Inventory Management System","Medium","Inventory Management System for Quality Control supply chain management","Custom","InventoryManagementSystem-7091","Quality Control - Supply Chain Station 2","Yes","No","300 units","7 days","11","14"
"SC-QUA-003","Ford Dearborn","Quality Control","Material Tracking System","Medium","Material Tracking System for Quality Control supply chain management","Microsoft","MaterialTrackingSystem-2229","Quality Control - Supply Chain Station 3","Yes","Yes","615 units","9 days","12","10"
"SC-QUA-004","Ford Dearborn","Quality Control","JIT Controller","Medium","JIT Controller for Quality Control supply chain management","SAP","JITController-3819","Quality Control - Supply Chain Station 4","No","Yes","505 units","13 days","21","35"
"SC-QUA-005","Ford Dearborn","Quality Control","JIT Controller","Medium","JIT Controller for Quality Control supply chain management","IBM","JITController-3925","Quality Control - Supply Chain Station 5","No","Yes","1010 units","4 days","17","58"
